CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_ktam.py
MEM 0.281250 1755703498.2055
MEM 32.285156 1755703498.3075
MEM 51.144531 1755703498.4078
MEM 68.691406 1755703498.5080
MEM 84.035156 1755703498.6084
MEM 91.703125 1755703498.7086
MEM 97.328125 1755703498.8089
MEM 101.878906 1755703498.9093
MEM 103.253906 1755703499.0096
MEM 103.378906 1755703499.1099
MEM 103.378906 1755703499.2103
MEM 103.378906 1755703499.3106
MEM 103.378906 1755703499.4109
MEM 103.378906 1755703499.5112
MEM 103.378906 1755703499.6115
MEM 103.378906 1755703499.7119
MEM 103.378906 1755703499.8122
MEM 103.378906 1755703499.9125
MEM 103.378906 1755703500.0128
MEM 103.378906 1755703500.1132
MEM 103.378906 1755703500.2135
MEM 103.378906 1755703500.3138
MEM 103.378906 1755703500.4142
MEM 103.378906 1755703500.5145
MEM 103.378906 1755703500.6148
MEM 103.378906 1755703500.7153
MEM 103.378906 1755703500.8156
MEM 103.378906 1755703500.9159
MEM 103.378906 1755703501.0163
MEM 103.378906 1755703501.1166
MEM 103.378906 1755703501.2169
MEM 103.378906 1755703501.3173
MEM 103.378906 1755703501.4176
MEM 103.378906 1755703501.5179
MEM 103.378906 1755703501.6183
MEM 103.378906 1755703501.7186
MEM 103.378906 1755703501.8189
MEM 103.378906 1755703501.9193
MEM 103.503906 1755703502.0196
MEM 103.503906 1755703502.1200
MEM 103.503906 1755703502.2203
MEM 103.503906 1755703502.3207
MEM 103.503906 1755703502.4210
MEM 103.503906 1755703502.5214
MEM 103.503906 1755703502.6217
MEM 103.503906 1755703502.7220
MEM 103.503906 1755703502.8224
MEM 103.503906 1755703502.9227
MEM 103.503906 1755703503.0246
MEM 103.503906 1755703503.1250
MEM 103.503906 1755703503.2253
MEM 103.628906 1755703503.3257
MEM 103.628906 1755703503.4260
MEM 103.628906 1755703503.5264
MEM 103.628906 1755703503.6267
MEM 103.628906 1755703503.7270
MEM 103.628906 1755703503.8274
MEM 103.628906 1755703503.9277
MEM 103.628906 1755703504.0281
MEM 103.628906 1755703504.1284
MEM 103.628906 1755703504.2287
MEM 103.628906 1755703504.3291
MEM 103.628906 1755703504.4294
MEM 103.628906 1755703504.5297
MEM 103.753906 1755703504.6300
MEM 103.753906 1755703504.7304
MEM 103.753906 1755703504.8307
MEM 103.753906 1755703504.9310
MEM 103.753906 1755703505.0314
MEM 103.753906 1755703505.1317
MEM 103.753906 1755703505.2321
MEM 103.753906 1755703505.3324
MEM 103.753906 1755703505.4328
MEM 103.753906 1755703505.5331
MEM 103.753906 1755703505.6334
MEM 103.753906 1755703505.7338
MEM 103.753906 1755703505.8341
MEM 103.753906 1755703505.9344
MEM 103.878906 1755703506.0347
MEM 103.878906 1755703506.1351
MEM 103.878906 1755703506.2354
MEM 103.878906 1755703506.3358
MEM 103.878906 1755703506.4361
MEM 103.878906 1755703506.5364
MEM 103.878906 1755703506.6368
MEM 103.878906 1755703506.7371
MEM 103.878906 1755703506.8374
MEM 103.007812 1755703506.9378
