CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_uni_bi_small.py
MEM 0.441406 1755715712.4164
MEM 31.730469 1755715712.5181
MEM 50.191406 1755715712.6184
MEM 67.437500 1755715712.7187
MEM 81.601562 1755715712.8190
MEM 89.507812 1755715712.9193
MEM 96.277344 1755715713.0196
MEM 101.550781 1755715713.1200
MEM 102.800781 1755715713.2203
MEM 104.800781 1755715713.3207
MEM 104.925781 1755715713.4210
MEM 105.050781 1755715713.5213
MEM 105.175781 1755715713.6217
MEM 105.175781 1755715713.7220
MEM 105.175781 1755715713.8224
MEM 105.175781 1755715713.9227
MEM 105.300781 1755715714.0231
MEM 105.300781 1755715714.1234
MEM 105.300781 1755715714.2238
MEM 105.300781 1755715714.3241
MEM 105.300781 1755715714.4245
MEM 105.300781 1755715714.5248
MEM 105.300781 1755715714.6252
MEM 105.300781 1755715714.7255
MEM 105.300781 1755715714.8258
MEM 105.300781 1755715714.9262
MEM 105.300781 1755715715.0265
MEM 105.300781 1755715715.1268
MEM 105.300781 1755715715.2271
MEM 105.300781 1755715715.3275
MEM 105.300781 1755715715.4278
MEM 105.300781 1755715715.5282
MEM 105.300781 1755715715.6285
MEM 105.300781 1755715715.7288
MEM 105.300781 1755715715.8292
MEM 105.300781 1755715715.9295
MEM 105.300781 1755715716.0298
MEM 105.300781 1755715716.1302
MEM 105.300781 1755715716.2305
MEM 105.300781 1755715716.3308
MEM 105.300781 1755715716.4312
MEM 105.300781 1755715716.5315
MEM 105.300781 1755715716.6318
MEM 105.300781 1755715716.7321
MEM 105.300781 1755715716.8325
MEM 105.300781 1755715716.9328
MEM 105.300781 1755715717.0332
MEM 105.300781 1755715717.1335
MEM 105.300781 1755715717.2338
MEM 105.300781 1755715717.3341
MEM 105.300781 1755715717.4345
MEM 105.300781 1755715717.5349
MEM 105.300781 1755715717.6353
MEM 105.300781 1755715717.7357
MEM 105.300781 1755715717.8360
MEM 105.300781 1755715717.9364
MEM 105.300781 1755715718.0367
MEM 105.300781 1755715718.1370
MEM 105.300781 1755715718.2374
MEM 105.300781 1755715718.3377
MEM 105.300781 1755715718.4381
MEM 105.300781 1755715718.5384
MEM 105.300781 1755715718.6387
MEM 105.300781 1755715718.7391
MEM 105.300781 1755715718.8394
MEM 105.300781 1755715718.9397
MEM 105.300781 1755715719.0401
MEM 105.300781 1755715719.1404
MEM 105.300781 1755715719.2408
MEM 105.300781 1755715719.3411
MEM 105.300781 1755715719.4415
MEM 105.300781 1755715719.5418
MEM 105.300781 1755715719.6422
MEM 105.300781 1755715719.7425
MEM 105.300781 1755715719.8428
MEM 105.300781 1755715719.9431
MEM 105.300781 1755715720.0435
MEM 105.300781 1755715720.1438
MEM 105.300781 1755715720.2441
MEM 105.300781 1755715720.3445
MEM 105.300781 1755715720.4448
MEM 105.300781 1755715720.5452
MEM 105.300781 1755715720.6455
MEM 105.300781 1755715720.7458
MEM 105.300781 1755715720.8462
MEM 105.300781 1755715720.9465
MEM 105.300781 1755715721.0468
MEM 105.300781 1755715721.1471
MEM 105.300781 1755715721.2475
MEM 105.300781 1755715721.3478
MEM 105.300781 1755715721.4481
MEM 105.300781 1755715721.5485
MEM 105.300781 1755715721.6488
MEM 105.300781 1755715721.7491
MEM 105.300781 1755715721.8495
MEM 105.300781 1755715721.9498
MEM 105.300781 1755715722.0501
MEM 105.300781 1755715722.1505
MEM 105.300781 1755715722.2508
MEM 105.300781 1755715722.3511
MEM 105.300781 1755715722.4515
MEM 105.300781 1755715722.5518
MEM 105.300781 1755715722.6522
MEM 105.300781 1755715722.7525
MEM 105.300781 1755715722.8528
MEM 105.300781 1755715722.9532
MEM 105.300781 1755715723.0535
MEM 105.300781 1755715723.1538
MEM 105.300781 1755715723.2542
MEM 105.300781 1755715723.3545
MEM 105.300781 1755715723.4548
MEM 105.425781 1755715723.5551
MEM 105.425781 1755715723.6555
MEM 105.425781 1755715723.7558
MEM 105.425781 1755715723.8561
MEM 105.425781 1755715723.9565
MEM 105.425781 1755715724.0569
MEM 105.425781 1755715724.1572
MEM 105.425781 1755715724.2575
MEM 105.425781 1755715724.3579
MEM 105.425781 1755715724.4582
MEM 105.425781 1755715724.5585
MEM 105.425781 1755715724.6589
MEM 105.425781 1755715724.7592
MEM 105.425781 1755715724.8596
MEM 105.425781 1755715724.9600
MEM 105.425781 1755715725.0603
MEM 105.425781 1755715725.1606
MEM 105.425781 1755715725.2610
MEM 105.425781 1755715725.3613
MEM 105.425781 1755715725.4617
MEM 105.425781 1755715725.5620
MEM 105.425781 1755715725.6623
MEM 105.425781 1755715725.7627
MEM 105.425781 1755715725.8630
MEM 105.425781 1755715725.9634
MEM 105.425781 1755715726.0637
MEM 105.425781 1755715726.1641
MEM 105.425781 1755715726.2644
MEM 105.425781 1755715726.3648
MEM 105.425781 1755715726.4651
MEM 105.425781 1755715726.5655
MEM 105.425781 1755715726.6658
MEM 105.550781 1755715726.7661
MEM 105.550781 1755715726.8665
MEM 105.550781 1755715726.9668
MEM 105.550781 1755715727.0672
MEM 105.550781 1755715727.1675
MEM 105.550781 1755715727.2678
MEM 105.550781 1755715727.3681
MEM 105.550781 1755715727.4684
MEM 105.550781 1755715727.5687
MEM 105.550781 1755715727.6691
MEM 105.550781 1755715727.7695
MEM 105.550781 1755715727.8698
MEM 105.550781 1755715727.9701
MEM 105.550781 1755715728.0705
MEM 105.550781 1755715728.1708
MEM 105.550781 1755715728.2712
MEM 105.550781 1755715728.3715
MEM 105.550781 1755715728.4718
MEM 105.550781 1755715728.5721
MEM 105.550781 1755715728.6725
MEM 105.550781 1755715728.7728
MEM 105.550781 1755715728.8731
MEM 105.550781 1755715728.9735
MEM 105.550781 1755715729.0738
MEM 105.550781 1755715729.1742
MEM 105.550781 1755715729.2745
MEM 105.550781 1755715729.3748
MEM 105.550781 1755715729.4751
MEM 105.550781 1755715729.5755
MEM 105.550781 1755715729.6758
MEM 0.000000 1755715729.7761
