CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_ktam.py
MEM 0.281250 1755720765.1794
MEM 32.578125 1755720765.2815
MEM 52.156250 1755720765.3818
MEM 69.164062 1755720765.4821
MEM 84.730469 1755720765.5824
MEM 92.136719 1755720765.6826
MEM 97.386719 1755720765.7828
MEM 101.851562 1755720765.8830
MEM 103.226562 1755720765.9833
MEM 103.351562 1755720766.0835
MEM 103.351562 1755720766.1838
MEM 103.351562 1755720766.2840
MEM 103.351562 1755720766.3842
MEM 103.351562 1755720766.4844
MEM 103.351562 1755720766.5846
MEM 103.351562 1755720766.6848
MEM 103.351562 1755720766.7850
MEM 103.351562 1755720766.8852
MEM 103.351562 1755720766.9854
MEM 103.351562 1755720767.0856
MEM 103.351562 1755720767.1858
MEM 103.351562 1755720767.2860
MEM 103.351562 1755720767.3862
MEM 103.351562 1755720767.4864
MEM 103.351562 1755720767.5866
MEM 103.351562 1755720767.6868
MEM 103.351562 1755720767.7870
MEM 103.351562 1755720767.8872
MEM 103.351562 1755720767.9874
MEM 103.351562 1755720768.0876
MEM 103.351562 1755720768.1878
MEM 103.351562 1755720768.2880
MEM 103.351562 1755720768.3882
MEM 103.351562 1755720768.4884
MEM 103.351562 1755720768.5886
MEM 103.351562 1755720768.6888
MEM 103.351562 1755720768.7891
MEM 103.351562 1755720768.8893
MEM 103.351562 1755720768.9895
MEM 103.351562 1755720769.0897
MEM 103.476562 1755720769.1899
MEM 103.476562 1755720769.2901
MEM 103.476562 1755720769.3903
MEM 103.476562 1755720769.4905
MEM 103.476562 1755720769.5907
MEM 103.476562 1755720769.6909
MEM 103.476562 1755720769.7911
MEM 103.476562 1755720769.8913
MEM 103.476562 1755720769.9915
MEM 103.476562 1755720770.0917
MEM 103.476562 1755720770.1919
MEM 103.476562 1755720770.2921
MEM 103.601562 1755720770.3924
MEM 103.601562 1755720770.4926
MEM 103.601562 1755720770.5928
MEM 103.601562 1755720770.6930
MEM 103.601562 1755720770.7932
MEM 103.601562 1755720770.8934
MEM 103.601562 1755720770.9936
MEM 103.601562 1755720771.0938
MEM 103.601562 1755720771.1940
MEM 103.601562 1755720771.2942
MEM 103.601562 1755720771.3944
MEM 103.601562 1755720771.4946
MEM 103.601562 1755720771.5948
MEM 103.601562 1755720771.6950
MEM 103.601562 1755720771.7952
MEM 103.726562 1755720771.8954
MEM 103.726562 1755720771.9956
MEM 103.726562 1755720772.0958
MEM 103.726562 1755720772.1960
MEM 103.726562 1755720772.2962
MEM 103.726562 1755720772.3964
MEM 103.726562 1755720772.4966
MEM 103.726562 1755720772.5968
MEM 103.726562 1755720772.6970
MEM 103.726562 1755720772.7972
MEM 103.726562 1755720772.8974
MEM 103.726562 1755720772.9976
MEM 103.851562 1755720773.0978
MEM 103.851562 1755720773.1980
MEM 103.851562 1755720773.2982
MEM 103.851562 1755720773.3984
MEM 103.851562 1755720773.4986
MEM 103.851562 1755720773.5988
MEM 102.960938 1755720773.6991
