CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_uni_bi_small.py
MEM 0.281250 1755872863.4026
MEM 32.410156 1755872863.5029
MEM 52.023438 1755872863.6031
MEM 69.199219 1755872863.7034
MEM 84.652344 1755872863.8037
MEM 91.992188 1755872863.9040
MEM 97.117188 1755872864.0045
MEM 100.781250 1755872864.1061
MEM 102.406250 1755872864.2064
MEM 104.781250 1755872864.3067
MEM 104.906250 1755872864.4070
MEM 105.031250 1755872864.5072
MEM 105.156250 1755872864.6075
MEM 105.156250 1755872864.7078
MEM 105.156250 1755872864.8081
MEM 105.156250 1755872864.9083
MEM 105.156250 1755872865.0087
MEM 105.156250 1755872865.1090
MEM 105.156250 1755872865.2094
MEM 105.156250 1755872865.3097
MEM 105.156250 1755872865.4100
MEM 105.156250 1755872865.5104
MEM 105.281250 1755872865.6107
MEM 105.281250 1755872865.7110
MEM 105.281250 1755872865.8114
MEM 105.281250 1755872865.9117
MEM 105.281250 1755872866.0121
MEM 105.281250 1755872866.1124
MEM 105.281250 1755872866.2127
MEM 105.281250 1755872866.3131
MEM 105.281250 1755872866.4134
MEM 105.281250 1755872866.5137
MEM 105.281250 1755872866.6141
MEM 105.281250 1755872866.7144
MEM 105.281250 1755872866.8147
MEM 105.281250 1755872866.9150
MEM 105.281250 1755872867.0153
MEM 105.281250 1755872867.1156
MEM 105.281250 1755872867.2159
MEM 105.281250 1755872867.3162
MEM 105.281250 1755872867.4164
MEM 105.281250 1755872867.5167
MEM 105.281250 1755872867.6171
MEM 105.281250 1755872867.7174
MEM 105.281250 1755872867.8177
MEM 105.281250 1755872867.9180
MEM 105.281250 1755872868.0184
MEM 105.281250 1755872868.1187
MEM 105.281250 1755872868.2190
MEM 105.281250 1755872868.3193
MEM 105.281250 1755872868.4195
MEM 105.281250 1755872868.5212
MEM 105.281250 1755872868.6214
MEM 105.281250 1755872868.7217
MEM 105.281250 1755872868.8241
MEM 105.281250 1755872868.9244
MEM 105.281250 1755872869.0247
MEM 105.281250 1755872869.1251
MEM 105.281250 1755872869.2275
MEM 105.281250 1755872869.3279
MEM 105.281250 1755872869.4283
MEM 105.281250 1755872869.5287
MEM 105.281250 1755872869.6290
MEM 105.281250 1755872869.7293
MEM 105.281250 1755872869.8296
MEM 105.281250 1755872869.9299
MEM 105.281250 1755872870.0301
MEM 105.281250 1755872870.1304
MEM 105.281250 1755872870.2306
MEM 105.281250 1755872870.3309
MEM 105.281250 1755872870.4312
MEM 105.281250 1755872870.5315
MEM 105.281250 1755872870.6317
MEM 105.281250 1755872870.7320
MEM 105.281250 1755872870.8322
MEM 105.281250 1755872870.9325
MEM 105.281250 1755872871.0328
MEM 105.281250 1755872871.1330
MEM 105.281250 1755872871.2333
MEM 105.281250 1755872871.3336
MEM 105.281250 1755872871.4338
MEM 105.281250 1755872871.5340
MEM 105.281250 1755872871.6343
MEM 105.281250 1755872871.7346
MEM 105.281250 1755872871.8349
MEM 105.281250 1755872871.9352
MEM 105.281250 1755872872.0355
MEM 105.281250 1755872872.1357
MEM 105.281250 1755872872.2361
MEM 105.281250 1755872872.3363
MEM 105.281250 1755872872.4366
MEM 105.281250 1755872872.5369
MEM 105.281250 1755872872.6372
MEM 105.281250 1755872872.7375
MEM 105.281250 1755872872.8378
MEM 105.281250 1755872872.9381
MEM 105.281250 1755872873.0384
MEM 105.281250 1755872873.1388
MEM 105.281250 1755872873.2391
MEM 105.281250 1755872873.3394
MEM 105.281250 1755872873.4397
MEM 105.281250 1755872873.5400
MEM 105.281250 1755872873.6403
MEM 105.281250 1755872873.7406
MEM 105.281250 1755872873.8410
MEM 105.281250 1755872873.9412
MEM 105.281250 1755872874.0415
MEM 105.281250 1755872874.1418
MEM 105.281250 1755872874.2421
MEM 105.281250 1755872874.3424
MEM 105.406250 1755872874.4427
MEM 105.406250 1755872874.5429
MEM 105.406250 1755872874.6432
MEM 105.406250 1755872874.7435
MEM 105.406250 1755872874.8438
MEM 105.406250 1755872874.9441
MEM 105.406250 1755872875.0444
MEM 105.406250 1755872875.1447
MEM 105.406250 1755872875.2449
MEM 105.406250 1755872875.3451
MEM 105.406250 1755872875.4453
MEM 105.406250 1755872875.5456
MEM 105.406250 1755872875.6459
MEM 105.406250 1755872875.7462
MEM 105.406250 1755872875.8465
MEM 105.406250 1755872875.9468
MEM 105.406250 1755872876.0470
MEM 105.406250 1755872876.1473
MEM 105.406250 1755872876.2476
MEM 105.406250 1755872876.3479
MEM 105.406250 1755872876.4482
MEM 105.406250 1755872876.5484
MEM 105.406250 1755872876.6487
MEM 105.406250 1755872876.7490
MEM 105.406250 1755872876.8493
MEM 105.406250 1755872876.9496
MEM 105.406250 1755872877.0499
MEM 105.406250 1755872877.1501
MEM 105.406250 1755872877.2504
MEM 105.406250 1755872877.3507
MEM 105.531250 1755872877.4511
MEM 105.531250 1755872877.5513
MEM 105.531250 1755872877.6516
MEM 105.531250 1755872877.7519
MEM 105.531250 1755872877.8521
MEM 105.531250 1755872877.9524
MEM 105.531250 1755872878.0527
MEM 105.531250 1755872878.1529
MEM 105.531250 1755872878.2532
MEM 105.531250 1755872878.3536
MEM 105.531250 1755872878.4538
MEM 105.531250 1755872878.5541
MEM 105.531250 1755872878.6544
MEM 105.531250 1755872878.7547
MEM 105.531250 1755872878.8551
MEM 105.531250 1755872878.9554
MEM 105.531250 1755872879.0557
MEM 105.531250 1755872879.1560
MEM 105.531250 1755872879.2563
MEM 105.531250 1755872879.3566
MEM 105.531250 1755872879.4569
MEM 105.531250 1755872879.5572
MEM 105.531250 1755872879.6575
MEM 105.531250 1755872879.7578
MEM 105.531250 1755872879.8581
MEM 105.531250 1755872879.9584
MEM 105.531250 1755872880.0587
MEM 105.656250 1755872880.1591
MEM 105.656250 1755872880.2594
MEM 105.656250 1755872880.3597
