CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_heterodimerization_small.py
MEM 0.281250 1756241283.7362
MEM 24.519531 1756241283.8364
MEM 25.792969 1756241283.9367
MEM 26.667969 1756241284.0369
MEM 29.984375 1756241284.1372
MEM 31.109375 1756241284.2375
MEM 39.257812 1756241284.3393
MEM 39.859375 1756241284.4395
MEM 45.062500 1756241284.5398
MEM 46.464844 1756241284.6400
MEM 47.992188 1756241284.7403
MEM 52.660156 1756241284.8406
MEM 53.937500 1756241284.9409
MEM 59.820312 1756241285.0412
MEM 67.078125 1756241285.1414
MEM 67.347656 1756241285.2417
MEM 67.984375 1756241285.3419
MEM 78.820312 1756241285.4422
MEM 79.125000 1756241285.5425
MEM 79.980469 1756241285.6428
MEM 79.980469 1756241285.7430
MEM 79.980469 1756241285.8433
MEM 80.113281 1756241285.9436
MEM 81.656250 1756241286.0438
MEM 82.949219 1756241286.1441
MEM 85.648438 1756241286.2444
MEM 85.648438 1756241286.3447
MEM 88.621094 1756241286.4449
MEM 91.519531 1756241286.5452
MEM 91.964844 1756241286.6455
MEM 98.902344 1756241286.7458
MEM 100.277344 1756241286.8461
MEM 103.312500 1756241286.9464
MEM 103.312500 1756241287.0467
MEM 103.312500 1756241287.1470
MEM 103.996094 1756241287.2473
MEM 103.996094 1756241287.3476
MEM 104.156250 1756241287.4478
MEM 104.425781 1756241287.5481
MEM 104.425781 1756241287.6484
MEM 106.484375 1756241287.7487
MEM 108.234375 1756241287.8490
MEM 110.816406 1756241287.9493
MEM 115.316406 1756241288.0496
MEM 115.316406 1756241288.1498
MEM 116.441406 1756241288.2502
MEM 117.441406 1756241288.3505
MEM 118.691406 1756241288.4508
MEM 118.816406 1756241288.5512
MEM 118.941406 1756241288.6515
MEM 118.941406 1756241288.7528
MEM 119.066406 1756241288.8532
MEM 119.066406 1756241288.9535
