CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_uni_bi_small.py
MEM 0.281250 1756222893.8597
MEM 32.234375 1756222893.9615
MEM 51.015625 1756222894.0618
MEM 68.144531 1756222894.1621
MEM 82.886719 1756222894.2624
MEM 91.132812 1756222894.3627
MEM 96.882812 1756222894.4630
MEM 101.906250 1756222894.5634
MEM 103.906250 1756222894.6637
MEM 105.031250 1756222894.7640
MEM 105.156250 1756222894.8643
MEM 105.281250 1756222894.9647
MEM 105.406250 1756222895.0650
MEM 105.406250 1756222895.1654
MEM 105.406250 1756222895.2657
MEM 105.406250 1756222895.3660
MEM 105.531250 1756222895.4664
MEM 105.531250 1756222895.5667
MEM 105.531250 1756222895.6671
MEM 105.531250 1756222895.7674
MEM 105.531250 1756222895.8678
MEM 105.531250 1756222895.9682
MEM 105.531250 1756222896.0685
MEM 105.531250 1756222896.1689
MEM 105.531250 1756222896.2692
MEM 105.531250 1756222896.3696
MEM 105.531250 1756222896.4699
MEM 105.531250 1756222896.5703
MEM 105.531250 1756222896.6706
MEM 105.531250 1756222896.7710
MEM 105.531250 1756222896.8713
MEM 105.531250 1756222896.9716
MEM 105.531250 1756222897.0720
MEM 105.531250 1756222897.1722
MEM 105.531250 1756222897.2726
MEM 105.531250 1756222897.3729
MEM 105.531250 1756222897.4732
MEM 105.531250 1756222897.5735
MEM 105.531250 1756222897.6738
MEM 105.531250 1756222897.7742
MEM 105.531250 1756222897.8745
MEM 105.531250 1756222897.9748
MEM 105.531250 1756222898.0751
MEM 105.531250 1756222898.1755
MEM 105.531250 1756222898.2758
MEM 105.531250 1756222898.3761
MEM 105.531250 1756222898.4765
MEM 105.531250 1756222898.5768
MEM 105.531250 1756222898.6771
MEM 105.531250 1756222898.7775
MEM 105.531250 1756222898.8778
MEM 105.531250 1756222898.9782
MEM 105.531250 1756222899.0785
MEM 105.531250 1756222899.1789
MEM 105.531250 1756222899.2792
MEM 105.531250 1756222899.3795
MEM 105.531250 1756222899.4798
MEM 105.531250 1756222899.5802
MEM 105.531250 1756222899.6805
MEM 105.531250 1756222899.7808
MEM 105.531250 1756222899.8811
MEM 105.531250 1756222899.9815
MEM 105.531250 1756222900.0819
MEM 105.531250 1756222900.1822
MEM 105.531250 1756222900.2825
MEM 105.531250 1756222900.3829
MEM 105.531250 1756222900.4832
MEM 105.531250 1756222900.5836
MEM 105.531250 1756222900.6839
MEM 105.531250 1756222900.7842
MEM 105.531250 1756222900.8845
MEM 105.531250 1756222900.9849
MEM 105.531250 1756222901.0852
MEM 105.531250 1756222901.1855
MEM 105.531250 1756222901.2859
MEM 105.531250 1756222901.3862
MEM 105.531250 1756222901.4865
MEM 105.531250 1756222901.5869
MEM 105.531250 1756222901.6872
MEM 105.531250 1756222901.7875
MEM 105.531250 1756222901.8879
MEM 105.531250 1756222901.9882
MEM 105.531250 1756222902.0886
MEM 105.531250 1756222902.1889
MEM 105.531250 1756222902.2892
MEM 105.531250 1756222902.3896
MEM 105.531250 1756222902.4899
MEM 105.531250 1756222902.5902
MEM 105.531250 1756222902.6905
MEM 105.531250 1756222902.7908
MEM 105.531250 1756222902.8911
MEM 105.531250 1756222902.9913
MEM 105.531250 1756222903.0916
MEM 105.531250 1756222903.1919
MEM 105.531250 1756222903.2922
MEM 105.531250 1756222903.3925
MEM 105.531250 1756222903.4928
MEM 105.531250 1756222903.5931
MEM 105.531250 1756222903.6934
MEM 105.531250 1756222903.7937
MEM 105.531250 1756222903.8940
MEM 105.531250 1756222903.9944
MEM 105.656250 1756222904.0947
MEM 105.656250 1756222904.1950
MEM 105.656250 1756222904.2954
MEM 105.656250 1756222904.3957
MEM 105.656250 1756222904.4960
MEM 105.656250 1756222904.5964
MEM 105.656250 1756222904.6967
MEM 105.656250 1756222904.7970
MEM 105.656250 1756222904.8974
MEM 105.656250 1756222904.9977
MEM 105.656250 1756222905.0980
MEM 105.656250 1756222905.1984
MEM 105.781250 1756222905.2987
MEM 105.781250 1756222905.3991
MEM 105.781250 1756222905.4994
MEM 105.781250 1756222905.5997
