CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_uni_bi_small.py
MEM 0.281250 1756229898.9706
MEM 32.535156 1756229899.0709
MEM 52.265625 1756229899.1711
MEM 69.679688 1756229899.2714
MEM 85.164062 1756229899.3716
MEM 92.597656 1756229899.4719
MEM 97.847656 1756229899.5721
MEM 102.527344 1756229899.6723
MEM 105.402344 1756229899.7726
MEM 105.402344 1756229899.8728
MEM 105.652344 1756229899.9730
MEM 105.777344 1756229900.0732
MEM 105.777344 1756229900.1734
MEM 105.777344 1756229900.2736
MEM 105.777344 1756229900.3738
MEM 105.777344 1756229900.4740
MEM 105.777344 1756229900.5742
MEM 105.777344 1756229900.6744
MEM 105.777344 1756229900.7746
MEM 105.777344 1756229900.8748
MEM 105.777344 1756229900.9750
MEM 105.777344 1756229901.0752
MEM 105.777344 1756229901.1754
MEM 105.777344 1756229901.2756
MEM 105.777344 1756229901.3759
MEM 105.777344 1756229901.4761
MEM 105.777344 1756229901.5763
MEM 105.777344 1756229901.6765
MEM 105.777344 1756229901.7767
MEM 105.777344 1756229901.8769
MEM 105.777344 1756229901.9771
MEM 105.777344 1756229902.0773
MEM 105.777344 1756229902.1775
MEM 105.777344 1756229902.2777
MEM 105.777344 1756229902.3779
MEM 105.902344 1756229902.4781
MEM 105.902344 1756229902.5783
MEM 105.902344 1756229902.6785
MEM 105.902344 1756229902.7787
MEM 105.902344 1756229902.8789
MEM 105.902344 1756229902.9791
MEM 105.902344 1756229903.0793
MEM 105.902344 1756229903.1795
MEM 105.902344 1756229903.2797
MEM 105.902344 1756229903.3799
MEM 105.902344 1756229903.4801
MEM 105.902344 1756229903.5803
MEM 105.902344 1756229903.6805
MEM 105.902344 1756229903.7807
MEM 105.902344 1756229903.8809
MEM 105.902344 1756229903.9812
MEM 105.902344 1756229904.0814
MEM 105.902344 1756229904.1816
MEM 105.902344 1756229904.2818
MEM 105.902344 1756229904.3820
MEM 105.902344 1756229904.4822
MEM 105.902344 1756229904.5824
MEM 105.902344 1756229904.6826
MEM 105.902344 1756229904.7828
MEM 105.902344 1756229904.8830
MEM 105.902344 1756229904.9832
MEM 105.902344 1756229905.0834
MEM 105.902344 1756229905.1836
MEM 105.902344 1756229905.2838
MEM 105.902344 1756229905.3840
MEM 105.902344 1756229905.4842
MEM 105.902344 1756229905.5844
MEM 105.902344 1756229905.6846
MEM 105.902344 1756229905.7848
MEM 105.902344 1756229905.8850
MEM 105.902344 1756229905.9852
MEM 105.902344 1756229906.0854
MEM 105.902344 1756229906.1856
MEM 105.902344 1756229906.2858
MEM 105.902344 1756229906.3860
MEM 105.902344 1756229906.4863
MEM 105.902344 1756229906.5865
MEM 105.902344 1756229906.6867
MEM 105.902344 1756229906.7869
MEM 105.902344 1756229906.8871
MEM 105.902344 1756229906.9873
MEM 105.902344 1756229907.0875
MEM 105.902344 1756229907.1877
MEM 105.902344 1756229907.2879
MEM 105.902344 1756229907.3881
