CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_heterodimerization_small.py
MEM 0.269531 1756230024.3235
MEM 24.425781 1756230024.4238
MEM 29.921875 1756230024.5240
MEM 30.421875 1756230024.6242
MEM 38.980469 1756230024.7257
MEM 40.039062 1756230024.8259
MEM 45.441406 1756230024.9261
MEM 51.894531 1756230025.0263
MEM 57.312500 1756230025.1266
MEM 67.027344 1756230025.2268
MEM 68.187500 1756230025.3271
MEM 68.828125 1756230025.4273
MEM 78.558594 1756230025.5276
MEM 80.132812 1756230025.6279
MEM 80.257812 1756230025.7281
MEM 81.250000 1756230025.8284
MEM 83.031250 1756230025.9286
MEM 83.562500 1756230026.0289
MEM 85.582031 1756230026.1291
MEM 88.566406 1756230026.2294
MEM 91.285156 1756230026.3295
MEM 96.593750 1756230026.4298
MEM 101.683594 1756230026.5300
MEM 102.878906 1756230026.6303
MEM 103.160156 1756230026.7305
MEM 103.437500 1756230026.8307
MEM 103.437500 1756230026.9309
MEM 103.570312 1756230027.0311
MEM 103.839844 1756230027.1313
MEM 103.839844 1756230027.2315
MEM 103.839844 1756230027.3318
MEM 103.839844 1756230027.4320
MEM 103.839844 1756230027.5322
MEM 106.488281 1756230027.6324
MEM 107.738281 1756230027.7327
MEM 110.917969 1756230027.8329
MEM 114.792969 1756230027.9332
MEM 115.917969 1756230028.0334
MEM 115.917969 1756230028.1337
MEM 118.167969 1756230028.2340
MEM 118.292969 1756230028.3342
MEM 118.417969 1756230028.4344
MEM 118.417969 1756230028.5346
MEM 118.542969 1756230028.6349
