CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_ktam.py
MEM 0.281250 1756230031.3722
MEM 32.601562 1756230031.4740
MEM 52.027344 1756230031.5743
MEM 69.625000 1756230031.6746
MEM 85.062500 1756230031.7749
MEM 92.281250 1756230031.8752
MEM 97.531250 1756230031.9754
MEM 102.179688 1756230032.0757
MEM 103.429688 1756230032.1760
MEM 103.554688 1756230032.2762
MEM 103.554688 1756230032.3764
MEM 103.554688 1756230032.4766
MEM 103.554688 1756230032.5769
MEM 103.554688 1756230032.6771
MEM 103.554688 1756230032.7773
MEM 103.554688 1756230032.8775
MEM 103.554688 1756230032.9777
MEM 103.554688 1756230033.0779
MEM 103.554688 1756230033.1781
MEM 103.554688 1756230033.2784
MEM 103.554688 1756230033.3786
MEM 103.554688 1756230033.4788
MEM 103.554688 1756230033.5790
MEM 103.554688 1756230033.6792
MEM 103.554688 1756230033.7794
MEM 103.554688 1756230033.8796
MEM 103.554688 1756230033.9799
MEM 103.554688 1756230034.0801
MEM 103.554688 1756230034.1803
MEM 103.554688 1756230034.2805
MEM 103.554688 1756230034.3807
MEM 103.554688 1756230034.4809
MEM 103.554688 1756230034.5811
MEM 103.554688 1756230034.6813
MEM 103.554688 1756230034.7815
MEM 103.554688 1756230034.8817
MEM 103.554688 1756230034.9819
MEM 103.554688 1756230035.0822
MEM 103.554688 1756230035.1824
MEM 103.679688 1756230035.2826
MEM 103.679688 1756230035.3828
MEM 103.679688 1756230035.4830
MEM 103.679688 1756230035.5833
MEM 103.679688 1756230035.6835
MEM 103.679688 1756230035.7837
MEM 103.679688 1756230035.8839
MEM 103.679688 1756230035.9841
MEM 103.679688 1756230036.0844
MEM 103.679688 1756230036.1846
MEM 103.679688 1756230036.2848
MEM 103.679688 1756230036.3850
MEM 103.679688 1756230036.4852
MEM 103.679688 1756230036.5855
MEM 103.679688 1756230036.6857
MEM 103.679688 1756230036.7859
MEM 103.804688 1756230036.8861
MEM 103.804688 1756230036.9863
MEM 103.804688 1756230037.0866
MEM 103.804688 1756230037.1868
MEM 103.804688 1756230037.2871
MEM 103.804688 1756230037.3873
MEM 103.804688 1756230037.4875
MEM 103.804688 1756230037.5877
MEM 103.804688 1756230037.6879
MEM 103.804688 1756230037.7881
MEM 103.804688 1756230037.8883
MEM 103.804688 1756230037.9886
MEM 103.804688 1756230038.0888
MEM 103.804688 1756230038.1890
MEM 103.804688 1756230038.2892
MEM 103.804688 1756230038.3894
MEM 103.804688 1756230038.4896
MEM 103.929688 1756230038.5899
MEM 103.929688 1756230038.6901
MEM 103.929688 1756230038.7903
MEM 103.929688 1756230038.8905
MEM 103.929688 1756230038.9907
MEM 103.929688 1756230039.0909
MEM 103.929688 1756230039.1911
MEM 103.929688 1756230039.2914
MEM 103.929688 1756230039.3916
MEM 103.929688 1756230039.4918
MEM 103.929688 1756230039.5920
MEM 103.929688 1756230039.6922
MEM 103.929688 1756230039.7924
MEM 103.929688 1756230039.8926
MEM 104.054688 1756230039.9929
MEM 0.000000 1756230040.0932
