CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_heterodimerization_small.py
MEM 0.441406 1756230738.7858
MEM 24.414062 1756230738.8861
MEM 24.414062 1756230738.9864
MEM 25.812500 1756230739.0867
MEM 29.449219 1756230739.1870
MEM 29.812500 1756230739.2873
MEM 29.812500 1756230739.3877
MEM 30.464844 1756230739.4880
MEM 37.949219 1756230739.5883
MEM 39.683594 1756230739.6886
MEM 39.683594 1756230739.7889
MEM 42.183594 1756230739.8892
MEM 46.085938 1756230739.9895
MEM 46.492188 1756230740.0898
MEM 51.980469 1756230740.1901
MEM 53.019531 1756230740.2904
MEM 53.988281 1756230740.3908
MEM 60.300781 1756230740.4911
MEM 68.062500 1756230740.5914
MEM 68.406250 1756230740.6917
MEM 68.796875 1756230740.7919
MEM 78.671875 1756230740.8923
MEM 79.542969 1756230740.9926
MEM 80.492188 1756230741.0930
MEM 80.492188 1756230741.1933
MEM 80.492188 1756230741.2936
MEM 80.617188 1756230741.3939
MEM 80.617188 1756230741.4942
MEM 80.617188 1756230741.5945
MEM 80.617188 1756230741.6949
MEM 82.089844 1756230741.7952
MEM 83.390625 1756230741.8955
MEM 83.964844 1756230741.9958
MEM 85.855469 1756230742.0961
MEM 88.574219 1756230742.1964
MEM 90.105469 1756230742.2967
MEM 91.570312 1756230742.3970
MEM 95.648438 1756230742.4973
MEM 98.898438 1756230742.5976
MEM 102.992188 1756230742.6979
MEM 102.992188 1756230742.7982
MEM 102.992188 1756230742.8986
MEM 103.554688 1756230742.9989
MEM 103.554688 1756230743.0992
MEM 103.554688 1756230743.1995
MEM 103.554688 1756230743.2998
MEM 103.554688 1756230743.4001
MEM 103.554688 1756230743.5004
MEM 103.554688 1756230743.6007
MEM 103.554688 1756230743.7010
MEM 103.554688 1756230743.8013
MEM 103.554688 1756230743.9017
MEM 103.554688 1756230744.0020
MEM 103.554688 1756230744.1023
MEM 103.554688 1756230744.2026
MEM 103.554688 1756230744.3030
MEM 103.554688 1756230744.4034
MEM 103.554688 1756230744.5037
MEM 103.554688 1756230744.6040
MEM 103.554688 1756230744.7044
MEM 103.554688 1756230744.8047
MEM 103.554688 1756230744.9050
MEM 103.554688 1756230745.0054
MEM 103.554688 1756230745.1057
MEM 103.554688 1756230745.2060
MEM 103.554688 1756230745.3065
MEM 103.554688 1756230745.4067
MEM 103.980469 1756230745.5071
MEM 103.980469 1756230745.6074
MEM 103.980469 1756230745.7078
MEM 103.980469 1756230745.8080
MEM 103.980469 1756230745.9084
MEM 103.980469 1756230746.0087
MEM 103.980469 1756230746.1090
MEM 103.980469 1756230746.2094
MEM 103.980469 1756230746.3097
MEM 103.980469 1756230746.4101
MEM 103.980469 1756230746.5104
MEM 103.980469 1756230746.6107
MEM 103.980469 1756230746.7110
MEM 103.980469 1756230746.8114
MEM 103.980469 1756230746.9117
MEM 103.980469 1756230747.0120
MEM 103.980469 1756230747.1123
MEM 103.980469 1756230747.2127
MEM 103.980469 1756230747.3130
MEM 103.980469 1756230747.4133
MEM 103.980469 1756230747.5137
MEM 103.980469 1756230747.6140
MEM 103.980469 1756230747.7143
MEM 103.980469 1756230747.8148
MEM 103.980469 1756230747.9151
MEM 105.480469 1756230748.0154
MEM 107.855469 1756230748.1158
MEM 106.789062 1756230748.2161
MEM 110.707031 1756230748.3164
MEM 114.957031 1756230748.4167
MEM 116.082031 1756230748.5170
MEM 116.082031 1756230748.6173
MEM 117.832031 1756230748.7177
MEM 118.457031 1756230748.8180
MEM 118.457031 1756230748.9184
MEM 118.582031 1756230749.0188
MEM 118.582031 1756230749.1191
MEM 118.582031 1756230749.2194
