CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_ktam.py
MEM 0.281250 1756230235.5330
MEM 32.316406 1756230235.6340
MEM 51.269531 1756230235.7343
MEM 69.437500 1756230235.8346
MEM 84.773438 1756230235.9349
MEM 92.105469 1756230236.0352
MEM 97.605469 1756230236.1355
MEM 102.156250 1756230236.2357
MEM 103.656250 1756230236.3360
MEM 103.781250 1756230236.4363
MEM 103.781250 1756230236.5365
MEM 103.781250 1756230236.6368
MEM 103.781250 1756230236.7371
MEM 103.781250 1756230236.8373
MEM 103.781250 1756230236.9375
MEM 103.781250 1756230237.0378
MEM 103.781250 1756230237.1381
MEM 103.781250 1756230237.2384
MEM 103.781250 1756230237.3386
MEM 103.781250 1756230237.4389
MEM 103.781250 1756230237.5392
MEM 103.781250 1756230237.6394
MEM 103.781250 1756230237.7397
MEM 103.781250 1756230237.8400
MEM 103.781250 1756230237.9402
MEM 103.781250 1756230238.0405
MEM 103.781250 1756230238.1409
MEM 103.781250 1756230238.2411
MEM 103.781250 1756230238.3413
MEM 103.781250 1756230238.4416
MEM 103.781250 1756230238.5418
MEM 103.781250 1756230238.6421
MEM 103.781250 1756230238.7424
MEM 103.781250 1756230238.8427
MEM 103.781250 1756230238.9430
MEM 103.781250 1756230239.0433
MEM 103.781250 1756230239.1436
MEM 103.781250 1756230239.2439
MEM 103.781250 1756230239.3444
MEM 103.781250 1756230239.4450
MEM 103.781250 1756230239.5453
MEM 103.781250 1756230239.6455
MEM 103.781250 1756230239.7458
MEM 103.781250 1756230239.8461
MEM 103.781250 1756230239.9463
MEM 103.906250 1756230240.0467
MEM 103.906250 1756230240.1470
MEM 103.906250 1756230240.2472
MEM 103.906250 1756230240.3475
MEM 103.906250 1756230240.4478
MEM 103.906250 1756230240.5481
MEM 103.906250 1756230240.6484
MEM 103.906250 1756230240.7486
MEM 103.906250 1756230240.8489
MEM 103.906250 1756230240.9491
MEM 103.906250 1756230241.0494
MEM 103.906250 1756230241.1497
MEM 103.906250 1756230241.2500
MEM 103.906250 1756230241.3503
MEM 104.031250 1756230241.4506
MEM 104.031250 1756230241.5510
MEM 104.031250 1756230241.6513
MEM 104.031250 1756230241.7516
MEM 104.031250 1756230241.8519
MEM 104.031250 1756230241.9521
MEM 104.031250 1756230242.0524
MEM 104.031250 1756230242.1528
MEM 104.031250 1756230242.2530
MEM 104.031250 1756230242.3533
MEM 104.031250 1756230242.4536
MEM 104.031250 1756230242.5539
MEM 104.031250 1756230242.6542
MEM 104.156250 1756230242.7544
MEM 104.156250 1756230242.8547
MEM 104.156250 1756230242.9549
MEM 104.156250 1756230243.0552
MEM 104.156250 1756230243.1555
MEM 104.156250 1756230243.2558
MEM 104.156250 1756230243.3560
MEM 104.156250 1756230243.4570
MEM 104.156250 1756230243.5572
MEM 104.156250 1756230243.6575
MEM 104.156250 1756230243.7578
MEM 104.156250 1756230243.8580
MEM 104.156250 1756230243.9583
MEM 104.156250 1756230244.0586
MEM 104.281250 1756230244.1589
MEM 104.281250 1756230244.2592
