CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_ktam.py
MEM 0.441406 1756243488.1199
MEM 31.554688 1756243488.2202
MEM 48.320312 1756243488.3205
MEM 67.265625 1756243488.4208
MEM 79.761719 1756243488.5212
MEM 89.269531 1756243488.6215
MEM 95.570312 1756243488.7218
MEM 101.320312 1756243488.8221
MEM 102.445312 1756243488.9225
MEM 103.070312 1756243489.0228
MEM 103.195312 1756243489.1232
MEM 103.195312 1756243489.2235
MEM 103.195312 1756243489.3239
MEM 103.195312 1756243489.4242
MEM 103.195312 1756243489.5246
MEM 103.195312 1756243489.6249
MEM 103.195312 1756243489.7253
MEM 103.195312 1756243489.8256
MEM 103.195312 1756243489.9259
MEM 103.195312 1756243490.0263
MEM 103.195312 1756243490.1267
MEM 103.195312 1756243490.2270
MEM 103.195312 1756243490.3274
MEM 103.195312 1756243490.4277
MEM 103.195312 1756243490.5281
MEM 103.195312 1756243490.6284
MEM 103.195312 1756243490.7287
MEM 103.195312 1756243490.8291
MEM 103.195312 1756243490.9294
MEM 103.195312 1756243491.0297
MEM 103.195312 1756243491.1301
MEM 103.195312 1756243491.2304
MEM 103.195312 1756243491.3307
MEM 103.195312 1756243491.4311
MEM 103.195312 1756243491.5315
MEM 103.195312 1756243491.6318
MEM 103.195312 1756243491.7322
MEM 103.195312 1756243491.8325
MEM 103.195312 1756243491.9329
MEM 103.195312 1756243492.0333
MEM 103.195312 1756243492.1336
MEM 103.195312 1756243492.2340
MEM 103.195312 1756243492.3344
MEM 103.195312 1756243492.4347
MEM 103.320312 1756243492.5350
MEM 103.320312 1756243492.6354
MEM 103.320312 1756243492.7357
MEM 103.320312 1756243492.8360
MEM 103.320312 1756243492.9364
MEM 103.320312 1756243493.0367
MEM 103.320312 1756243493.1370
MEM 103.320312 1756243493.2374
MEM 103.320312 1756243493.3377
MEM 103.320312 1756243493.4381
MEM 103.320312 1756243493.5384
MEM 103.320312 1756243493.6387
MEM 103.320312 1756243493.7391
MEM 103.320312 1756243493.8394
MEM 103.320312 1756243493.9397
MEM 103.445312 1756243494.0401
MEM 103.445312 1756243494.1404
MEM 103.445312 1756243494.2407
MEM 103.445312 1756243494.3411
MEM 103.445312 1756243494.4414
MEM 103.445312 1756243494.5417
MEM 103.445312 1756243494.6421
MEM 103.445312 1756243494.7424
MEM 103.445312 1756243494.8427
MEM 103.445312 1756243494.9431
MEM 103.445312 1756243495.0434
MEM 103.445312 1756243495.1437
MEM 103.445312 1756243495.2441
MEM 103.570312 1756243495.3444
MEM 103.570312 1756243495.4461
MEM 103.570312 1756243495.5465
MEM 103.570312 1756243495.6468
MEM 103.570312 1756243495.7472
MEM 103.570312 1756243495.8475
MEM 103.570312 1756243495.9478
MEM 103.570312 1756243496.0482
MEM 103.570312 1756243496.1485
MEM 103.570312 1756243496.2488
MEM 103.570312 1756243496.3492
MEM 103.570312 1756243496.4495
MEM 103.570312 1756243496.5499
MEM 103.570312 1756243496.6502
MEM 103.695312 1756243496.7506
MEM 103.695312 1756243496.8509
MEM 103.695312 1756243496.9513
MEM 103.695312 1756243497.0516
