CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_uni_bi_small.py
MEM 0.281250 1756243507.8549
MEM 31.562500 1756243507.9564
MEM 50.027344 1756243508.0567
MEM 67.242188 1756243508.1570
MEM 80.144531 1756243508.2573
MEM 89.402344 1756243508.3576
MEM 95.718750 1756243508.4579
MEM 101.414062 1756243508.5583
MEM 102.539062 1756243508.6587
MEM 105.914062 1756243508.7590
MEM 105.914062 1756243508.8593
MEM 106.039062 1756243508.9597
MEM 106.164062 1756243509.0600
MEM 106.164062 1756243509.1604
MEM 106.164062 1756243509.2607
MEM 106.289062 1756243509.3610
MEM 106.289062 1756243509.4614
MEM 106.289062 1756243509.5617
MEM 106.289062 1756243509.6620
MEM 106.289062 1756243509.7624
MEM 106.289062 1756243509.8627
MEM 106.289062 1756243509.9631
MEM 106.289062 1756243510.0634
MEM 106.289062 1756243510.1638
MEM 106.289062 1756243510.2641
MEM 106.289062 1756243510.3644
MEM 106.289062 1756243510.4648
MEM 106.289062 1756243510.5651
MEM 106.289062 1756243510.6655
MEM 106.289062 1756243510.7658
MEM 106.289062 1756243510.8662
MEM 106.289062 1756243510.9666
MEM 106.289062 1756243511.0669
MEM 106.289062 1756243511.1673
MEM 106.289062 1756243511.2676
MEM 106.289062 1756243511.3680
MEM 106.289062 1756243511.4683
MEM 106.289062 1756243511.5687
MEM 106.289062 1756243511.6690
MEM 106.289062 1756243511.7694
MEM 106.289062 1756243511.8697
MEM 106.289062 1756243511.9700
MEM 106.289062 1756243512.0704
MEM 106.289062 1756243512.1707
MEM 106.289062 1756243512.2710
MEM 106.289062 1756243512.3714
MEM 106.289062 1756243512.4717
MEM 106.289062 1756243512.5720
MEM 106.289062 1756243512.6724
MEM 106.289062 1756243512.7727
MEM 106.289062 1756243512.8730
MEM 106.289062 1756243512.9734
MEM 106.289062 1756243513.0738
MEM 106.289062 1756243513.1741
MEM 106.289062 1756243513.2744
MEM 106.289062 1756243513.3748
MEM 106.289062 1756243513.4751
MEM 106.289062 1756243513.5755
MEM 106.289062 1756243513.6758
MEM 106.289062 1756243513.7762
MEM 106.289062 1756243513.8765
MEM 106.289062 1756243513.9769
MEM 106.289062 1756243514.0772
MEM 106.289062 1756243514.1776
MEM 106.289062 1756243514.2779
MEM 106.289062 1756243514.3783
MEM 106.289062 1756243514.4786
MEM 106.289062 1756243514.5789
MEM 106.289062 1756243514.6793
MEM 106.289062 1756243514.7797
MEM 106.289062 1756243514.8800
