CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_heterodimerization_small.py
MEM 0.281250 1756232138.5684
MEM 24.261719 1756232138.6688
MEM 26.414062 1756232138.7690
MEM 30.109375 1756232138.8693
MEM 37.960938 1756232138.9706
MEM 39.875000 1756232139.0708
MEM 45.269531 1756232139.1711
MEM 48.468750 1756232139.2713
MEM 54.109375 1756232139.3715
MEM 60.054688 1756232139.4718
MEM 68.117188 1756232139.5720
MEM 68.515625 1756232139.6723
MEM 72.093750 1756232139.7725
MEM 79.664062 1756232139.8728
MEM 80.531250 1756232139.9731
MEM 80.531250 1756232140.0733
MEM 82.035156 1756232140.1736
MEM 83.570312 1756232140.2738
MEM 85.644531 1756232140.3740
MEM 89.660156 1756232140.4743
MEM 89.742188 1756232140.5745
MEM 92.234375 1756232140.6747
MEM 97.609375 1756232140.7750
MEM 102.550781 1756232140.8752
MEM 102.609375 1756232140.9755
MEM 103.175781 1756232141.0758
MEM 103.300781 1756232141.1761
MEM 103.300781 1756232141.2763
MEM 103.722656 1756232141.3765
MEM 103.722656 1756232141.4766
MEM 103.722656 1756232141.5768
MEM 103.722656 1756232141.6770
MEM 106.472656 1756232141.7773
MEM 108.222656 1756232141.8776
MEM 109.722656 1756232141.9778
MEM 115.261719 1756232142.0781
MEM 115.261719 1756232142.1783
MEM 116.386719 1756232142.2786
MEM 116.386719 1756232142.3789
MEM 118.636719 1756232142.4791
MEM 118.761719 1756232142.5793
MEM 118.886719 1756232142.6796
MEM 119.011719 1756232142.7798
MEM 118.050781 1756232142.8801
