CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_uni_bi_small.py
MEM 0.281250 1756232164.9849
MEM 31.847656 1756232165.0852
MEM 50.996094 1756232165.1855
MEM 69.281250 1756232165.2857
MEM 84.445312 1756232165.3860
MEM 91.777344 1756232165.4863
MEM 97.402344 1756232165.5866
MEM 101.925781 1756232165.6868
MEM 104.425781 1756232165.7871
MEM 105.050781 1756232165.8873
MEM 105.175781 1756232165.9876
MEM 105.300781 1756232166.0878
MEM 105.425781 1756232166.1880
MEM 105.425781 1756232166.2882
MEM 105.425781 1756232166.3885
MEM 105.425781 1756232166.4887
MEM 105.425781 1756232166.5889
MEM 105.550781 1756232166.6892
MEM 105.550781 1756232166.7894
MEM 105.550781 1756232166.8896
MEM 105.550781 1756232166.9918
MEM 105.550781 1756232167.0920
MEM 105.550781 1756232167.1922
MEM 105.550781 1756232167.2925
MEM 105.550781 1756232167.3927
MEM 105.550781 1756232167.4929
MEM 105.550781 1756232167.5932
MEM 105.550781 1756232167.6934
MEM 105.550781 1756232167.7936
MEM 105.550781 1756232167.8939
MEM 105.550781 1756232167.9941
MEM 105.550781 1756232168.0944
MEM 105.550781 1756232168.1947
MEM 105.550781 1756232168.2949
MEM 105.550781 1756232168.3951
MEM 105.550781 1756232168.4953
MEM 105.550781 1756232168.5956
MEM 105.550781 1756232168.6958
MEM 105.550781 1756232168.7960
MEM 105.550781 1756232168.8962
MEM 105.550781 1756232168.9965
MEM 105.550781 1756232169.0967
MEM 105.550781 1756232169.1970
MEM 105.550781 1756232169.2972
MEM 105.550781 1756232169.3974
MEM 105.550781 1756232169.4976
MEM 105.550781 1756232169.5978
MEM 105.550781 1756232169.6980
MEM 105.550781 1756232169.7982
MEM 105.550781 1756232169.8985
MEM 105.550781 1756232169.9987
MEM 105.550781 1756232170.0990
MEM 105.550781 1756232170.1992
MEM 105.550781 1756232170.2994
MEM 105.550781 1756232170.3996
MEM 105.550781 1756232170.4999
MEM 105.550781 1756232170.6001
MEM 105.550781 1756232170.7003
MEM 105.550781 1756232170.8005
MEM 105.550781 1756232170.9007
MEM 105.550781 1756232171.0009
MEM 105.550781 1756232171.1011
MEM 105.550781 1756232171.2013
MEM 105.550781 1756232171.3016
MEM 105.550781 1756232171.4022
MEM 105.550781 1756232171.5024
MEM 105.550781 1756232171.6026
MEM 105.550781 1756232171.7028
MEM 105.550781 1756232171.8030
MEM 105.550781 1756232171.9033
MEM 105.550781 1756232172.0035
MEM 105.550781 1756232172.1037
MEM 105.550781 1756232172.2039
MEM 105.550781 1756232172.3041
MEM 105.550781 1756232172.4043
MEM 105.550781 1756232172.5046
MEM 105.550781 1756232172.6048
MEM 105.550781 1756232172.7050
MEM 105.550781 1756232172.8052
MEM 105.550781 1756232172.9054
MEM 105.550781 1756232173.0056
MEM 105.550781 1756232173.1058
MEM 105.550781 1756232173.2060
MEM 105.550781 1756232173.3062
MEM 105.550781 1756232173.4064
MEM 105.550781 1756232173.5066
MEM 105.550781 1756232173.6068
MEM 105.550781 1756232173.7071
MEM 105.550781 1756232173.8073
MEM 105.550781 1756232173.9075
MEM 105.550781 1756232174.0077
MEM 105.550781 1756232174.1080
MEM 105.550781 1756232174.2082
MEM 105.550781 1756232174.3085
MEM 105.550781 1756232174.4087
MEM 105.550781 1756232174.5092
MEM 105.550781 1756232174.6094
MEM 105.550781 1756232174.7097
MEM 105.550781 1756232174.8099
MEM 105.550781 1756232174.9101
MEM 105.550781 1756232175.0103
MEM 105.550781 1756232175.1105
MEM 105.550781 1756232175.2108
MEM 105.550781 1756232175.3110
MEM 105.550781 1756232175.4112
MEM 105.550781 1756232175.5114
MEM 105.550781 1756232175.6116
MEM 105.550781 1756232175.7119
MEM 105.550781 1756232175.8121
MEM 105.550781 1756232175.9123
MEM 105.550781 1756232176.0125
MEM 105.550781 1756232176.1128
MEM 105.550781 1756232176.2130
MEM 105.550781 1756232176.3132
MEM 105.550781 1756232176.4134
MEM 105.550781 1756232176.5136
MEM 105.550781 1756232176.6138
MEM 105.550781 1756232176.7140
MEM 105.550781 1756232176.8143
MEM 105.550781 1756232176.9145
MEM 105.550781 1756232177.0147
MEM 105.550781 1756232177.1149
MEM 105.550781 1756232177.2151
MEM 105.550781 1756232177.3153
MEM 105.550781 1756232177.4156
MEM 105.550781 1756232177.5158
MEM 105.550781 1756232177.6160
MEM 105.550781 1756232177.7162
MEM 105.550781 1756232177.8164
MEM 105.550781 1756232177.9166
MEM 105.550781 1756232178.0168
MEM 105.550781 1756232178.1170
MEM 105.550781 1756232178.2172
MEM 105.675781 1756232178.3175
MEM 105.675781 1756232178.4177
MEM 105.675781 1756232178.5179
MEM 105.675781 1756232178.6181
MEM 105.675781 1756232178.7183
MEM 105.675781 1756232178.8185
MEM 105.675781 1756232178.9187
MEM 105.675781 1756232179.0190
MEM 105.675781 1756232179.1192
MEM 105.675781 1756232179.2194
MEM 105.675781 1756232179.3197
MEM 105.675781 1756232179.4199
MEM 105.675781 1756232179.5201
MEM 105.675781 1756232179.6203
MEM 105.675781 1756232179.7206
MEM 105.675781 1756232179.8208
MEM 105.675781 1756232179.9210
MEM 105.675781 1756232180.0212
MEM 105.675781 1756232180.1214
MEM 105.675781 1756232180.2216
MEM 105.675781 1756232180.3218
MEM 105.675781 1756232180.4221
MEM 105.675781 1756232180.5223
MEM 105.675781 1756232180.6225
MEM 105.675781 1756232180.7227
MEM 105.675781 1756232180.8229
MEM 105.800781 1756232180.9231
MEM 105.800781 1756232181.0233
MEM 105.800781 1756232181.1235
MEM 105.800781 1756232181.2238
MEM 105.800781 1756232181.3240
MEM 105.800781 1756232181.4242
MEM 105.800781 1756232181.5244
MEM 105.800781 1756232181.6246
MEM 105.800781 1756232181.7248
MEM 105.800781 1756232181.8250
MEM 105.800781 1756232181.9252
MEM 102.535156 1756232182.0256
