CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_uni_bi_small.py
MEM 0.441406 1756233850.4222
MEM 24.039062 1756233850.5226
MEM 42.207031 1756233850.6241
MEM 62.714844 1756233850.7244
MEM 73.816406 1756233850.8247
MEM 86.996094 1756233850.9250
MEM 93.484375 1756233851.0254
MEM 98.109375 1756233851.1258
MEM 102.175781 1756233851.2261
MEM 104.925781 1756233851.3264
MEM 104.925781 1756233851.4269
MEM 105.175781 1756233851.5274
MEM 105.175781 1756233851.6278
MEM 105.300781 1756233851.7281
MEM 105.300781 1756233851.8284
MEM 105.300781 1756233851.9287
MEM 105.300781 1756233852.0291
MEM 105.300781 1756233852.1295
MEM 105.300781 1756233852.2299
MEM 105.300781 1756233852.3303
MEM 105.300781 1756233852.4308
MEM 105.300781 1756233852.5312
MEM 105.300781 1756233852.6316
MEM 105.300781 1756233852.7319
MEM 105.300781 1756233852.8323
MEM 105.300781 1756233852.9326
MEM 105.300781 1756233853.0332
MEM 105.300781 1756233853.1337
MEM 105.300781 1756233853.2341
MEM 105.425781 1756233853.3344
MEM 105.425781 1756233853.4348
MEM 105.425781 1756233853.5351
MEM 105.425781 1756233853.6354
MEM 105.425781 1756233853.7358
MEM 105.425781 1756233853.8362
MEM 105.425781 1756233853.9367
MEM 105.425781 1756233854.0372
MEM 105.425781 1756233854.1376
MEM 105.425781 1756233854.2380
MEM 105.425781 1756233854.3384
MEM 105.425781 1756233854.4388
MEM 105.425781 1756233854.5392
MEM 105.425781 1756233854.6395
MEM 105.425781 1756233854.7399
MEM 105.425781 1756233854.8402
MEM 105.425781 1756233854.9406
MEM 105.425781 1756233855.0410
MEM 105.425781 1756233855.1415
MEM 105.425781 1756233855.2420
MEM 105.425781 1756233855.3423
MEM 105.425781 1756233855.4426
MEM 105.425781 1756233855.5431
MEM 105.425781 1756233855.6434
MEM 105.425781 1756233855.7438
MEM 105.425781 1756233855.8442
MEM 105.425781 1756233855.9447
MEM 105.425781 1756233856.0452
MEM 105.425781 1756233856.1455
