CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_uni_bi_small.py
MEM 0.429688 1756230882.4681
MEM 23.968750 1756230882.5685
MEM 42.648438 1756230882.6697
MEM 62.449219 1756230882.7700
MEM 72.281250 1756230882.8703
MEM 86.898438 1756230882.9706
MEM 92.308594 1756230883.0709
MEM 97.433594 1756230883.1713
MEM 101.835938 1756230883.2716
MEM 103.335938 1756230883.3720
MEM 104.960938 1756230883.4724
MEM 105.085938 1756230883.5727
MEM 105.210938 1756230883.6731
MEM 105.335938 1756230883.7735
MEM 105.335938 1756230883.8738
MEM 105.335938 1756230883.9742
MEM 105.335938 1756230884.0746
MEM 105.335938 1756230884.1749
MEM 105.335938 1756230884.2753
MEM 105.460938 1756230884.3757
MEM 105.460938 1756230884.4760
MEM 105.460938 1756230884.5763
MEM 105.460938 1756230884.6765
MEM 105.460938 1756230884.7767
MEM 105.460938 1756230884.8769
MEM 105.460938 1756230884.9772
MEM 105.460938 1756230885.0774
MEM 105.460938 1756230885.1776
MEM 105.460938 1756230885.2778
MEM 105.460938 1756230885.3780
MEM 105.460938 1756230885.4782
MEM 105.460938 1756230885.5785
MEM 105.460938 1756230885.6787
MEM 105.460938 1756230885.7790
MEM 105.460938 1756230885.8792
MEM 105.460938 1756230885.9794
MEM 105.460938 1756230886.0796
MEM 105.460938 1756230886.1798
MEM 105.460938 1756230886.2800
MEM 105.460938 1756230886.3802
MEM 105.460938 1756230886.4805
MEM 105.460938 1756230886.5807
MEM 105.460938 1756230886.6809
MEM 105.460938 1756230886.7811
MEM 105.460938 1756230886.8813
MEM 105.460938 1756230886.9815
MEM 105.460938 1756230887.0817
MEM 105.460938 1756230887.1819
MEM 105.460938 1756230887.2821
MEM 105.460938 1756230887.3823
MEM 105.460938 1756230887.4825
MEM 105.460938 1756230887.5828
MEM 105.460938 1756230887.6830
MEM 105.460938 1756230887.7832
MEM 105.460938 1756230887.8835
MEM 105.460938 1756230887.9837
MEM 105.460938 1756230888.0839
MEM 105.460938 1756230888.1841
MEM 105.460938 1756230888.2844
MEM 105.460938 1756230888.3846
MEM 105.460938 1756230888.4848
MEM 105.460938 1756230888.5850
MEM 105.460938 1756230888.6852
MEM 105.460938 1756230888.7854
MEM 105.460938 1756230888.8856
MEM 105.460938 1756230888.9859
MEM 105.460938 1756230889.0861
MEM 105.460938 1756230889.1863
MEM 105.460938 1756230889.2866
MEM 105.460938 1756230889.3868
MEM 105.460938 1756230889.4870
MEM 105.460938 1756230889.5872
MEM 105.460938 1756230889.6875
MEM 105.460938 1756230889.7878
MEM 105.460938 1756230889.8881
MEM 105.460938 1756230889.9884
MEM 105.460938 1756230890.0887
MEM 105.460938 1756230890.1890
MEM 105.460938 1756230890.2894
MEM 105.460938 1756230890.3896
MEM 105.460938 1756230890.4899
MEM 105.460938 1756230890.5901
MEM 105.460938 1756230890.6903
MEM 105.460938 1756230890.7906
MEM 105.460938 1756230890.8908
MEM 105.460938 1756230890.9910
MEM 105.460938 1756230891.0912
MEM 105.460938 1756230891.1915
MEM 105.460938 1756230891.2917
MEM 105.460938 1756230891.3919
MEM 105.460938 1756230891.4921
MEM 105.460938 1756230891.5924
MEM 105.460938 1756230891.6926
MEM 105.460938 1756230891.7928
MEM 105.460938 1756230891.8931
MEM 105.460938 1756230891.9933
MEM 105.460938 1756230892.0935
MEM 105.460938 1756230892.1937
MEM 105.460938 1756230892.2939
MEM 105.460938 1756230892.3941
MEM 105.460938 1756230892.4944
MEM 105.460938 1756230892.5946
MEM 105.460938 1756230892.6948
MEM 105.460938 1756230892.7950
MEM 105.460938 1756230892.8952
MEM 105.460938 1756230892.9955
MEM 105.460938 1756230893.0957
MEM 105.460938 1756230893.1959
MEM 105.460938 1756230893.2961
MEM 105.460938 1756230893.3963
MEM 105.585938 1756230893.4965
MEM 105.585938 1756230893.5968
MEM 105.585938 1756230893.6970
MEM 105.585938 1756230893.7972
MEM 105.585938 1756230893.8975
MEM 105.585938 1756230893.9977
MEM 105.585938 1756230894.0979
MEM 105.585938 1756230894.1981
MEM 105.585938 1756230894.2984
MEM 105.585938 1756230894.3986
MEM 105.585938 1756230894.4988
MEM 105.585938 1756230894.5990
MEM 105.585938 1756230894.6992
MEM 105.585938 1756230894.7994
MEM 105.585938 1756230894.8996
MEM 105.585938 1756230894.9998
MEM 105.585938 1756230895.1000
MEM 105.585938 1756230895.2002
MEM 105.585938 1756230895.3005
MEM 105.585938 1756230895.4007
MEM 105.585938 1756230895.5009
MEM 105.585938 1756230895.6011
MEM 105.585938 1756230895.7013
MEM 105.585938 1756230895.8016
MEM 105.585938 1756230895.9018
MEM 105.585938 1756230896.0020
MEM 105.585938 1756230896.1022
MEM 105.585938 1756230896.2024
MEM 105.585938 1756230896.3026
MEM 105.585938 1756230896.4028
MEM 105.710938 1756230896.5030
MEM 105.710938 1756230896.6032
MEM 105.710938 1756230896.7035
MEM 105.710938 1756230896.8037
MEM 105.710938 1756230896.9039
MEM 105.710938 1756230897.0041
MEM 105.710938 1756230897.1044
MEM 105.710938 1756230897.2046
MEM 105.710938 1756230897.3048
MEM 105.710938 1756230897.4050
MEM 105.710938 1756230897.5052
MEM 105.710938 1756230897.6054
MEM 105.710938 1756230897.7056
MEM 105.710938 1756230897.8060
MEM 105.710938 1756230897.9063
MEM 105.710938 1756230898.0066
MEM 105.710938 1756230898.1068
MEM 105.710938 1756230898.2071
MEM 105.710938 1756230898.3073
MEM 105.710938 1756230898.4075
MEM 105.710938 1756230898.5078
MEM 105.710938 1756230898.6080
MEM 105.710938 1756230898.7082
MEM 105.710938 1756230898.8085
MEM 105.710938 1756230898.9088
MEM 105.710938 1756230899.0091
MEM 105.710938 1756230899.1093
MEM 105.835938 1756230899.2096
MEM 105.835938 1756230899.3098
MEM 105.835938 1756230899.4101
MEM 104.867188 1756230899.5104
