CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_uni_bi_small.py
MEM 0.441406 1756928974.6822
MEM 32.421875 1756928974.7836
MEM 51.710938 1756928974.8839
MEM 69.304688 1756928974.9842
MEM 84.050781 1756928975.0845
MEM 91.660156 1756928975.1848
MEM 97.285156 1756928975.2851
MEM 101.910156 1756928975.3855
MEM 102.683594 1756928975.4858
MEM 105.933594 1756928975.5861
MEM 106.058594 1756928975.6865
MEM 106.183594 1756928975.7868
MEM 106.183594 1756928975.8871
MEM 106.308594 1756928975.9875
MEM 106.308594 1756928976.0878
MEM 106.308594 1756928976.1881
MEM 106.308594 1756928976.2885
MEM 106.308594 1756928976.3888
MEM 106.308594 1756928976.4891
MEM 106.308594 1756928976.5894
MEM 106.308594 1756928976.6898
MEM 106.308594 1756928976.7901
MEM 106.308594 1756928976.8904
MEM 106.308594 1756928976.9908
MEM 106.308594 1756928977.0911
MEM 106.308594 1756928977.1914
MEM 106.308594 1756928977.2918
MEM 106.308594 1756928977.3921
MEM 106.308594 1756928977.4924
MEM 106.308594 1756928977.5928
MEM 106.308594 1756928977.6931
MEM 106.308594 1756928977.7934
MEM 106.308594 1756928977.8938
MEM 106.308594 1756928977.9941
MEM 106.308594 1756928978.0945
MEM 106.308594 1756928978.1948
MEM 106.308594 1756928978.2951
MEM 106.308594 1756928978.3955
MEM 106.308594 1756928978.4958
MEM 106.308594 1756928978.5961
MEM 106.308594 1756928978.6964
MEM 106.308594 1756928978.7968
MEM 106.308594 1756928978.8971
MEM 106.308594 1756928978.9974
MEM 106.308594 1756928979.0977
MEM 106.308594 1756928979.1980
MEM 106.308594 1756928979.2983
MEM 106.308594 1756928979.3987
MEM 106.308594 1756928979.4990
MEM 106.308594 1756928979.5993
MEM 106.308594 1756928979.6996
MEM 106.308594 1756928979.8000
MEM 106.308594 1756928979.9003
MEM 106.308594 1756928980.0007
MEM 106.308594 1756928980.1010
MEM 106.308594 1756928980.2013
MEM 106.308594 1756928980.3016
MEM 106.308594 1756928980.4020
MEM 106.308594 1756928980.5023
MEM 106.308594 1756928980.6026
MEM 106.308594 1756928980.7029
MEM 106.308594 1756928980.8033
MEM 106.308594 1756928980.9036
MEM 106.308594 1756928981.0039
MEM 106.308594 1756928981.1043
MEM 106.308594 1756928981.2046
MEM 106.308594 1756928981.3049
MEM 106.308594 1756928981.4052
MEM 106.308594 1756928981.5056
MEM 106.308594 1756928981.6059
MEM 106.308594 1756928981.7062
MEM 106.308594 1756928981.8066
MEM 106.308594 1756928981.9069
MEM 106.308594 1756928982.0072
MEM 106.308594 1756928982.1076
MEM 106.308594 1756928982.2079
MEM 106.308594 1756928982.3082
MEM 106.308594 1756928982.4086
MEM 106.433594 1756928982.5089
MEM 106.433594 1756928982.6092
MEM 106.433594 1756928982.7096
MEM 106.433594 1756928982.8099
MEM 106.433594 1756928982.9102
MEM 106.433594 1756928983.0106
MEM 106.433594 1756928983.1109
MEM 106.433594 1756928983.2112
MEM 106.433594 1756928983.3116
MEM 106.433594 1756928983.4119
MEM 106.433594 1756928983.5122
MEM 106.433594 1756928983.6125
MEM 106.433594 1756928983.7129
MEM 106.433594 1756928983.8132
MEM 106.433594 1756928983.9135
MEM 106.433594 1756928984.0139
MEM 106.433594 1756928984.1142
MEM 106.433594 1756928984.2145
MEM 106.433594 1756928984.3148
MEM 106.433594 1756928984.4152
MEM 106.433594 1756928984.5155
MEM 106.433594 1756928984.6158
MEM 106.433594 1756928984.7162
MEM 106.433594 1756928984.8165
MEM 106.433594 1756928984.9169
MEM 106.433594 1756928985.0172
MEM 106.433594 1756928985.1175
MEM 106.433594 1756928985.2179
MEM 106.433594 1756928985.3182
MEM 106.433594 1756928985.4185
MEM 106.433594 1756928985.5189
MEM 106.433594 1756928985.6192
MEM 106.433594 1756928985.7195
MEM 106.433594 1756928985.8198
MEM 106.433594 1756928985.9202
MEM 106.433594 1756928986.0205
MEM 106.433594 1756928986.1208
MEM 106.433594 1756928986.2212
MEM 106.433594 1756928986.3215
MEM 106.433594 1756928986.4218
MEM 106.433594 1756928986.5222
MEM 106.433594 1756928986.6225
MEM 106.558594 1756928986.7229
MEM 106.558594 1756928986.8232
MEM 106.558594 1756928986.9235
MEM 106.558594 1756928987.0239
MEM 106.558594 1756928987.1242
MEM 106.558594 1756928987.2246
MEM 106.558594 1756928987.3249
MEM 106.558594 1756928987.4252
MEM 106.558594 1756928987.5255
MEM 106.558594 1756928987.6258
MEM 106.558594 1756928987.7262
MEM 106.558594 1756928987.8265
MEM 106.558594 1756928987.9268
MEM 106.558594 1756928988.0272
MEM 106.558594 1756928988.1275
MEM 106.558594 1756928988.2278
MEM 106.558594 1756928988.3281
MEM 106.558594 1756928988.4285
MEM 106.558594 1756928988.5288
MEM 106.558594 1756928988.6292
MEM 106.558594 1756928988.7295
MEM 106.558594 1756928988.8299
MEM 106.558594 1756928988.9302
MEM 106.558594 1756928989.0306
MEM 106.558594 1756928989.1309
MEM 106.558594 1756928989.2313
MEM 106.558594 1756928989.3316
MEM 106.558594 1756928989.4319
MEM 106.558594 1756928989.5323
MEM 106.558594 1756928989.6326
MEM 106.558594 1756928989.7329
MEM 106.558594 1756928989.8332
MEM 106.558594 1756928989.9355
MEM 106.558594 1756928990.0359
MEM 106.558594 1756928990.1362
MEM 106.558594 1756928990.2365
MEM 106.558594 1756928990.3368
MEM 106.558594 1756928990.4372
MEM 106.558594 1756928990.5375
MEM 106.558594 1756928990.6379
MEM 106.558594 1756928990.7382
MEM 106.558594 1756928990.8385
MEM 106.558594 1756928990.9389
MEM 106.558594 1756928991.0392
MEM 106.558594 1756928991.1395
MEM 106.558594 1756928991.2399
MEM 106.558594 1756928991.3402
MEM 106.558594 1756928991.4405
MEM 106.558594 1756928991.5409
MEM 105.726562 1756928991.6412
