CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_ktam.py
MEM 0.281250 1756925030.4705
MEM 33.156250 1756925030.5719
MEM 54.406250 1756925030.6721
MEM 70.210938 1756925030.7724
MEM 86.710938 1756925030.8726
MEM 93.289062 1756925030.9729
MEM 98.164062 1756925031.0731
MEM 102.183594 1756925031.1733
MEM 103.058594 1756925031.2736
MEM 103.183594 1756925031.3738
MEM 103.183594 1756925031.4740
MEM 103.183594 1756925031.5742
MEM 103.183594 1756925031.6745
MEM 103.183594 1756925031.7747
MEM 103.183594 1756925031.8749
MEM 103.183594 1756925031.9751
MEM 103.183594 1756925032.0753
MEM 103.183594 1756925032.1755
MEM 103.183594 1756925032.2757
MEM 103.183594 1756925032.3759
MEM 103.183594 1756925032.4761
MEM 103.183594 1756925032.5763
MEM 103.183594 1756925032.6765
MEM 103.183594 1756925032.7766
MEM 103.183594 1756925032.8769
MEM 103.183594 1756925032.9771
MEM 103.183594 1756925033.0773
MEM 103.308594 1756925033.1775
MEM 103.308594 1756925033.2777
MEM 103.308594 1756925033.3779
MEM 103.308594 1756925033.4781
MEM 103.308594 1756925033.5783
MEM 103.308594 1756925033.6785
MEM 103.308594 1756925033.7787
MEM 103.308594 1756925033.8789
MEM 103.308594 1756925033.9791
MEM 103.308594 1756925034.0793
MEM 103.308594 1756925034.1795
MEM 103.308594 1756925034.2797
MEM 103.308594 1756925034.3799
MEM 103.308594 1756925034.4801
MEM 103.308594 1756925034.5803
MEM 103.308594 1756925034.6805
MEM 103.308594 1756925034.7807
MEM 103.308594 1756925034.8809
MEM 103.308594 1756925034.9811
MEM 103.308594 1756925035.0813
MEM 103.308594 1756925035.1815
MEM 103.308594 1756925035.2817
MEM 103.308594 1756925035.3819
MEM 103.308594 1756925035.4821
MEM 103.308594 1756925035.5823
MEM 103.433594 1756925035.6825
MEM 103.433594 1756925035.7827
MEM 103.433594 1756925035.8829
MEM 103.433594 1756925035.9831
MEM 103.433594 1756925036.0833
MEM 103.433594 1756925036.1835
MEM 103.433594 1756925036.2837
MEM 103.433594 1756925036.3839
MEM 103.433594 1756925036.4841
MEM 103.433594 1756925036.5843
MEM 103.433594 1756925036.6845
MEM 103.433594 1756925036.7847
MEM 103.433594 1756925036.8849
MEM 103.558594 1756925036.9851
MEM 103.558594 1756925037.0852
MEM 103.558594 1756925037.1855
MEM 103.558594 1756925037.2856
MEM 103.558594 1756925037.3859
MEM 103.558594 1756925037.4860
MEM 103.558594 1756925037.5862
MEM 103.558594 1756925037.6864
MEM 103.558594 1756925037.7866
MEM 103.558594 1756925037.8868
MEM 103.558594 1756925037.9870
MEM 103.558594 1756925038.0872
MEM 103.558594 1756925038.1874
MEM 103.558594 1756925038.2876
MEM 103.683594 1756925038.3878
MEM 103.683594 1756925038.4880
MEM 103.683594 1756925038.5882
MEM 103.683594 1756925038.6884
MEM 103.683594 1756925038.7886
MEM 103.683594 1756925038.8888
MEM 0.000000 1756925038.9891
