CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_heterodimerization_small.py
MEM 0.128906 1756929768.4348
MEM 25.125000 1756929768.5351
MEM 35.789062 1756929768.6354
MEM 40.968750 1756929768.7357
MEM 46.136719 1756929768.8360
MEM 54.265625 1756929768.9363
MEM 63.136719 1756929769.0366
MEM 63.515625 1756929769.1369
MEM 64.937500 1756929769.2372
MEM 76.011719 1756929769.3375
MEM 76.714844 1756929769.4378
MEM 76.714844 1756929769.5381
MEM 78.660156 1756929769.6384
MEM 80.093750 1756929769.7387
MEM 80.777344 1756929769.8390
MEM 82.667969 1756929769.9393
MEM 85.683594 1756929770.0396
MEM 88.500000 1756929770.1399
MEM 90.945312 1756929770.2402
MEM 97.566406 1756929770.3405
MEM 100.125000 1756929770.4408
MEM 100.402344 1756929770.5411
MEM 100.812500 1756929770.6413
MEM 100.812500 1756929770.7416
MEM 100.812500 1756929770.8419
MEM 100.812500 1756929770.9422
MEM 100.812500 1756929771.0424
MEM 100.812500 1756929771.1427
MEM 100.812500 1756929771.2429
MEM 100.812500 1756929771.3432
MEM 100.812500 1756929771.4434
MEM 100.812500 1756929771.5437
MEM 100.812500 1756929771.6439
MEM 100.812500 1756929771.7441
MEM 101.300781 1756929771.8443
MEM 101.300781 1756929771.9445
MEM 101.300781 1756929772.0447
MEM 101.300781 1756929772.1449
MEM 101.300781 1756929772.2452
MEM 101.300781 1756929772.3454
MEM 103.574219 1756929772.4458
MEM 104.207031 1756929772.5461
MEM 106.707031 1756929772.6464
MEM 113.207031 1756929772.7467
MEM 114.332031 1756929772.8470
MEM 114.332031 1756929772.9472
MEM 114.832031 1756929773.0475
MEM 115.457031 1756929773.1479
MEM 118.582031 1756929773.2482
MEM 118.582031 1756929773.3484
MEM 118.707031 1756929773.4488
MEM 118.832031 1756929773.5491
MEM 117.980469 1756929773.6495
