CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_heterodimerization_small.py
MEM 0.281250 1756930412.3353
MEM 24.554688 1756930412.4355
MEM 34.796875 1756930412.5368
MEM 35.718750 1756930412.6371
MEM 41.179688 1756930412.7373
MEM 42.917969 1756930412.8376
MEM 49.359375 1756930412.9378
MEM 54.351562 1756930413.0381
MEM 62.933594 1756930413.1384
MEM 63.429688 1756930413.2387
MEM 64.218750 1756930413.3390
MEM 75.078125 1756930413.4393
MEM 76.496094 1756930413.5396
MEM 76.496094 1756930413.6399
MEM 76.625000 1756930413.7402
MEM 78.667969 1756930413.8407
MEM 79.945312 1756930413.9410
MEM 80.406250 1756930414.0413
MEM 82.421875 1756930414.1416
MEM 85.171875 1756930414.2418
MEM 88.238281 1756930414.3421
MEM 90.007812 1756930414.4424
MEM 95.125000 1756930414.5427
MEM 100.058594 1756930414.6430
MEM 100.058594 1756930414.7433
MEM 100.609375 1756930414.8436
MEM 100.609375 1756930414.9439
MEM 100.609375 1756930415.0441
MEM 100.734375 1756930415.1444
MEM 100.734375 1756930415.2447
MEM 100.734375 1756930415.3449
MEM 100.734375 1756930415.4452
MEM 101.000000 1756930415.5454
MEM 101.000000 1756930415.6457
MEM 101.000000 1756930415.7459
MEM 101.000000 1756930415.8461
MEM 101.000000 1756930415.9464
MEM 101.000000 1756930416.0466
MEM 101.000000 1756930416.1469
MEM 103.300781 1756930416.2472
MEM 105.050781 1756930416.3474
MEM 106.425781 1756930416.4478
MEM 111.175781 1756930416.5480
MEM 113.050781 1756930416.6483
MEM 114.175781 1756930416.7487
MEM 114.425781 1756930416.8489
MEM 114.800781 1756930416.9493
MEM 118.175781 1756930417.0496
MEM 118.425781 1756930417.1499
MEM 118.550781 1756930417.2507
MEM 118.550781 1756930417.3510
MEM 118.675781 1756930417.4513
MEM 115.910156 1756930417.5516
