CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_ktam.py
MEM 0.273438 1756928935.0873
MEM 32.371094 1756928935.1884
MEM 52.148438 1756928935.2887
MEM 69.480469 1756928935.3890
MEM 84.851562 1756928935.4893
MEM 92.156250 1756928935.5895
MEM 97.406250 1756928935.6898
MEM 102.175781 1756928935.7900
MEM 103.300781 1756928935.8903
MEM 103.425781 1756928935.9905
MEM 103.425781 1756928936.0908
MEM 103.425781 1756928936.1910
MEM 103.425781 1756928936.2912
MEM 103.425781 1756928936.3914
MEM 103.425781 1756928936.4917
MEM 103.425781 1756928936.5919
MEM 103.425781 1756928936.6921
MEM 103.425781 1756928936.7923
MEM 103.425781 1756928936.8925
MEM 103.425781 1756928936.9927
MEM 103.425781 1756928937.0929
MEM 103.425781 1756928937.1931
MEM 103.425781 1756928937.2933
MEM 103.425781 1756928937.3936
MEM 103.425781 1756928937.4939
MEM 103.425781 1756928937.5942
MEM 103.425781 1756928937.6944
MEM 103.425781 1756928937.7948
MEM 103.425781 1756928937.8950
MEM 103.425781 1756928937.9953
MEM 103.425781 1756928938.0955
MEM 103.425781 1756928938.1957
MEM 103.425781 1756928938.2959
MEM 103.425781 1756928938.3962
MEM 103.425781 1756928938.4964
MEM 103.425781 1756928938.5966
MEM 103.425781 1756928938.6969
MEM 103.425781 1756928938.7971
MEM 103.425781 1756928938.8973
MEM 103.425781 1756928938.9976
MEM 103.425781 1756928939.0978
MEM 103.425781 1756928939.1980
MEM 103.425781 1756928939.2983
MEM 103.425781 1756928939.3985
MEM 103.425781 1756928939.4987
MEM 103.425781 1756928939.5989
MEM 103.425781 1756928939.6992
MEM 103.425781 1756928939.7994
MEM 103.425781 1756928939.8996
MEM 103.425781 1756928939.9998
MEM 103.550781 1756928940.1001
MEM 103.550781 1756928940.2004
MEM 103.550781 1756928940.3006
MEM 103.550781 1756928940.4008
MEM 103.550781 1756928940.5010
MEM 103.550781 1756928940.6013
MEM 103.550781 1756928940.7015
MEM 103.550781 1756928940.8017
MEM 103.550781 1756928940.9019
MEM 103.550781 1756928941.0021
MEM 103.550781 1756928941.1023
MEM 103.550781 1756928941.2026
MEM 103.550781 1756928941.3028
MEM 103.550781 1756928941.4030
MEM 103.675781 1756928941.5032
MEM 103.675781 1756928941.6035
MEM 103.675781 1756928941.7037
MEM 103.675781 1756928941.8039
MEM 103.675781 1756928941.9041
MEM 103.675781 1756928942.0044
MEM 103.675781 1756928942.1046
MEM 103.675781 1756928942.2048
MEM 103.675781 1756928942.3050
MEM 103.675781 1756928942.4053
MEM 103.675781 1756928942.5056
MEM 103.675781 1756928942.6059
MEM 103.675781 1756928942.7062
MEM 103.675781 1756928942.8074
MEM 103.800781 1756928942.9076
MEM 103.800781 1756928943.0079
MEM 103.800781 1756928943.1081
MEM 103.800781 1756928943.2084
MEM 103.800781 1756928943.3086
MEM 103.800781 1756928943.4088
MEM 103.800781 1756928943.5090
MEM 103.800781 1756928943.6092
MEM 103.800781 1756928943.7094
MEM 103.800781 1756928943.8098
