CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_uni_bi_small.py
MEM 0.281250 1756928954.1848
MEM 32.921875 1756928954.2864
MEM 52.320312 1756928954.3867
MEM 69.921875 1756928954.4869
MEM 85.761719 1756928954.5872
MEM 92.316406 1756928954.6875
MEM 97.566406 1756928954.7877
MEM 102.343750 1756928954.8880
MEM 105.843750 1756928954.9883
MEM 105.843750 1756928955.0885
MEM 105.968750 1756928955.1887
MEM 106.218750 1756928955.2889
MEM 106.218750 1756928955.3892
MEM 106.218750 1756928955.4894
MEM 106.218750 1756928955.5896
MEM 106.218750 1756928955.6898
MEM 106.218750 1756928955.7900
MEM 106.218750 1756928955.8902
MEM 106.218750 1756928955.9904
MEM 106.218750 1756928956.0907
MEM 106.218750 1756928956.1909
MEM 106.218750 1756928956.2911
MEM 106.218750 1756928956.3913
MEM 106.218750 1756928956.4915
MEM 106.218750 1756928956.5917
MEM 106.218750 1756928956.6919
MEM 106.218750 1756928956.7922
MEM 106.343750 1756928956.8925
MEM 106.343750 1756928956.9928
MEM 106.343750 1756928957.0931
MEM 106.343750 1756928957.1933
MEM 106.343750 1756928957.2936
MEM 106.343750 1756928957.3939
MEM 106.343750 1756928957.4942
MEM 106.343750 1756928957.5945
MEM 106.343750 1756928957.6947
MEM 106.343750 1756928957.7950
MEM 106.343750 1756928957.8952
MEM 106.343750 1756928957.9975
MEM 106.343750 1756928958.0977
MEM 106.343750 1756928958.1980
MEM 106.343750 1756928958.2982
MEM 106.343750 1756928958.3985
MEM 106.343750 1756928958.4987
MEM 106.343750 1756928958.5989
MEM 106.343750 1756928958.6992
MEM 106.343750 1756928958.7994
MEM 106.343750 1756928958.8996
MEM 106.343750 1756928958.9998
MEM 106.343750 1756928959.1000
MEM 106.343750 1756928959.2003
MEM 106.343750 1756928959.3005
MEM 106.343750 1756928959.4009
MEM 106.343750 1756928959.5011
MEM 106.343750 1756928959.6013
MEM 106.343750 1756928959.7016
MEM 106.343750 1756928959.8018
MEM 106.343750 1756928959.9020
MEM 106.343750 1756928960.0023
MEM 106.343750 1756928960.1025
MEM 106.343750 1756928960.2027
MEM 106.343750 1756928960.3029
MEM 106.343750 1756928960.4031
MEM 106.343750 1756928960.5033
MEM 106.343750 1756928960.6035
MEM 106.343750 1756928960.7037
MEM 106.343750 1756928960.8039
MEM 106.343750 1756928960.9041
MEM 106.343750 1756928961.0043
MEM 106.343750 1756928961.1046
MEM 106.343750 1756928961.2048
MEM 106.343750 1756928961.3050
MEM 106.343750 1756928961.4052
MEM 106.343750 1756928961.5054
MEM 106.343750 1756928961.6056
MEM 106.343750 1756928961.7058
MEM 106.343750 1756928961.8061
MEM 106.343750 1756928961.9063
MEM 106.343750 1756928962.0066
MEM 106.343750 1756928962.1068
MEM 106.343750 1756928962.2071
MEM 106.343750 1756928962.3073
MEM 106.343750 1756928962.4076
MEM 106.343750 1756928962.5078
MEM 106.343750 1756928962.6080
MEM 106.343750 1756928962.7082
MEM 106.343750 1756928962.8085
MEM 106.343750 1756928962.9087
MEM 106.343750 1756928963.0089
MEM 106.343750 1756928963.1091
MEM 106.343750 1756928963.2093
MEM 106.343750 1756928963.3096
MEM 106.343750 1756928963.4098
MEM 106.343750 1756928963.5100
MEM 106.343750 1756928963.6103
MEM 106.343750 1756928963.7105
MEM 106.343750 1756928963.8107
MEM 106.343750 1756928963.9109
MEM 106.468750 1756928964.0112
MEM 106.468750 1756928964.1114
MEM 106.468750 1756928964.2116
MEM 106.468750 1756928964.3118
MEM 106.468750 1756928964.4120
MEM 106.468750 1756928964.5123
MEM 106.468750 1756928964.6125
MEM 106.468750 1756928964.7128
MEM 106.468750 1756928964.8130
MEM 106.468750 1756928964.9133
MEM 106.468750 1756928965.0135
MEM 106.468750 1756928965.1138
MEM 106.468750 1756928965.2140
MEM 106.468750 1756928965.3142
MEM 106.468750 1756928965.4145
MEM 106.468750 1756928965.5148
MEM 106.468750 1756928965.6150
MEM 106.468750 1756928965.7153
MEM 106.468750 1756928965.8155
MEM 106.468750 1756928965.9157
MEM 106.468750 1756928966.0159
MEM 106.468750 1756928966.1162
MEM 106.468750 1756928966.2164
MEM 106.468750 1756928966.3166
MEM 106.468750 1756928966.4168
MEM 106.468750 1756928966.5170
MEM 106.468750 1756928966.6172
MEM 106.468750 1756928966.7174
MEM 106.468750 1756928966.8177
MEM 106.468750 1756928966.9179
MEM 106.468750 1756928967.0181
MEM 106.468750 1756928967.1183
MEM 106.468750 1756928967.2185
MEM 106.468750 1756928967.3187
MEM 106.468750 1756928967.4189
MEM 106.468750 1756928967.5191
MEM 106.468750 1756928967.6194
MEM 106.468750 1756928967.7196
MEM 106.468750 1756928967.8199
MEM 106.468750 1756928967.9201
MEM 106.468750 1756928968.0204
MEM 106.468750 1756928968.1206
MEM 106.468750 1756928968.2208
MEM 106.468750 1756928968.3210
MEM 106.468750 1756928968.4213
MEM 106.468750 1756928968.5215
MEM 106.468750 1756928968.6217
MEM 106.468750 1756928968.7220
MEM 106.468750 1756928968.8222
MEM 106.468750 1756928968.9224
MEM 106.468750 1756928969.0226
MEM 106.468750 1756928969.1228
MEM 106.468750 1756928969.2230
MEM 106.468750 1756928969.3233
MEM 106.468750 1756928969.4235
MEM 106.468750 1756928969.5237
MEM 106.468750 1756928969.6240
MEM 106.468750 1756928969.7242
MEM 106.468750 1756928969.8244
MEM 106.468750 1756928969.9246
MEM 106.468750 1756928970.0248
MEM 106.468750 1756928970.1250
MEM 106.468750 1756928970.2253
MEM 106.468750 1756928970.3255
MEM 106.468750 1756928970.4257
MEM 106.468750 1756928970.5259
MEM 106.468750 1756928970.6261
MEM 106.468750 1756928970.7263
MEM 106.468750 1756928970.8265
MEM 106.468750 1756928970.9267
MEM 106.468750 1756928971.0269
MEM 0.000000 1756928971.1273
