CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_heterodimerization_small.py
MEM 0.281250 1756997959.0985
MEM 24.679688 1756997959.1989
MEM 25.078125 1756997959.2992
MEM 25.078125 1756997959.3994
MEM 34.960938 1756997959.4998
MEM 38.136719 1756997959.6008
MEM 41.996094 1756997959.7011
MEM 51.765625 1756997959.8013
MEM 62.867188 1756997959.9016
MEM 63.367188 1756997960.0019
MEM 64.394531 1756997960.1022
MEM 75.703125 1756997960.2025
MEM 76.542969 1756997960.3028
MEM 76.542969 1756997960.4030
MEM 78.628906 1756997960.5033
MEM 80.171875 1756997960.6037
MEM 82.746094 1756997960.7039
MEM 85.437500 1756997960.8042
MEM 87.230469 1756997960.9045
MEM 89.953125 1756997961.0048
MEM 97.070312 1756997961.1050
MEM 100.160156 1756997961.2053
MEM 100.160156 1756997961.3055
MEM 100.878906 1756997961.4058
MEM 100.878906 1756997961.5060
MEM 101.007812 1756997961.6062
MEM 103.527344 1756997961.7064
MEM 104.578125 1756997961.8067
MEM 107.078125 1756997961.9070
MEM 111.578125 1756997962.0073
MEM 114.453125 1756997962.1075
MEM 114.453125 1756997962.2078
MEM 114.828125 1756997962.3080
MEM 115.703125 1756997962.4083
MEM 118.703125 1756997962.5086
MEM 118.703125 1756997962.6088
MEM 118.828125 1756997962.7090
MEM 118.828125 1756997962.8098
MEM 118.953125 1756997962.9100
MEM 116.042969 1756997963.0104
