CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_heterodimerization_small.py
MEM 0.281250 1757007361.2992
MEM 24.671875 1757007361.3995
MEM 34.718750 1757007361.5017
MEM 35.703125 1757007361.6019
MEM 41.191406 1757007361.7022
MEM 42.929688 1757007361.8026
MEM 49.253906 1757007361.9028
MEM 54.050781 1757007362.0032
MEM 63.136719 1757007362.1035
MEM 63.472656 1757007362.2038
MEM 64.281250 1757007362.3041
MEM 67.968750 1757007362.4045
MEM 76.093750 1757007362.5048
MEM 76.910156 1757007362.6052
MEM 76.910156 1757007362.7054
MEM 77.035156 1757007362.8057
MEM 79.132812 1757007362.9060
MEM 80.554688 1757007363.0064
MEM 82.847656 1757007363.1067
MEM 86.863281 1757007363.2071
MEM 86.910156 1757007363.3074
MEM 88.843750 1757007363.4077
MEM 93.355469 1757007363.5080
MEM 98.570312 1757007363.6083
MEM 100.296875 1757007363.7087
MEM 100.296875 1757007363.8089
MEM 100.992188 1757007363.9092
MEM 100.992188 1757007364.0096
MEM 100.992188 1757007364.1099
MEM 100.992188 1757007364.2102
MEM 100.992188 1757007364.3105
MEM 100.992188 1757007364.4108
MEM 101.390625 1757007364.5111
MEM 101.390625 1757007364.6113
MEM 101.390625 1757007364.7116
MEM 102.914062 1757007364.8120
MEM 105.414062 1757007364.9123
MEM 105.253906 1757007365.0127
MEM 111.378906 1757007365.1130
MEM 113.253906 1757007365.2133
MEM 114.378906 1757007365.3137
MEM 114.378906 1757007365.4140
MEM 115.003906 1757007365.5143
MEM 116.628906 1757007365.6147
MEM 118.628906 1757007365.7150
MEM 118.753906 1757007365.8154
MEM 118.753906 1757007365.9157
MEM 118.878906 1757007366.0161
MEM 118.878906 1757007366.1164
MEM 117.113281 1757007366.2169
