CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_uni_bi_small.py
MEM 0.281250 1757008261.1555
MEM 33.843750 1757008261.2574
MEM 55.300781 1757008261.3576
MEM 72.105469 1757008261.4579
MEM 86.855469 1757008261.5581
MEM 95.011719 1757008261.6583
MEM 101.253906 1757008261.7585
MEM 102.378906 1757008261.8587
MEM 105.503906 1757008261.9590
MEM 105.628906 1757008262.0592
MEM 105.878906 1757008262.1594
MEM 105.878906 1757008262.2596
MEM 105.878906 1757008262.3598
MEM 105.878906 1757008262.4600
MEM 105.878906 1757008262.5602
MEM 105.878906 1757008262.6603
MEM 105.878906 1757008262.7605
MEM 105.878906 1757008262.8607
MEM 105.878906 1757008262.9609
MEM 105.878906 1757008263.0611
MEM 105.878906 1757008263.1613
MEM 105.878906 1757008263.2615
MEM 105.878906 1757008263.3617
MEM 105.878906 1757008263.4619
MEM 105.878906 1757008263.5621
MEM 105.878906 1757008263.6623
MEM 105.878906 1757008263.7625
MEM 105.878906 1757008263.8627
MEM 105.878906 1757008263.9629
MEM 105.878906 1757008264.0631
MEM 105.878906 1757008264.1633
MEM 105.878906 1757008264.2635
MEM 105.878906 1757008264.3637
MEM 106.003906 1757008264.4639
MEM 106.003906 1757008264.5641
MEM 106.003906 1757008264.6643
MEM 106.003906 1757008264.7645
MEM 106.003906 1757008264.8647
MEM 106.003906 1757008264.9648
MEM 106.003906 1757008265.0650
MEM 106.003906 1757008265.1653
MEM 106.003906 1757008265.2654
MEM 106.003906 1757008265.3656
MEM 106.003906 1757008265.4658
MEM 106.003906 1757008265.5660
MEM 106.003906 1757008265.6662
MEM 106.003906 1757008265.7664
MEM 106.003906 1757008265.8666
MEM 106.003906 1757008265.9668
MEM 106.003906 1757008266.0670
MEM 106.003906 1757008266.1672
MEM 106.003906 1757008266.2674
MEM 106.003906 1757008266.3676
MEM 106.003906 1757008266.4678
MEM 106.003906 1757008266.5680
MEM 106.003906 1757008266.6681
MEM 106.003906 1757008266.7683
MEM 106.003906 1757008266.8685
MEM 106.003906 1757008266.9687
MEM 106.003906 1757008267.0689
MEM 106.003906 1757008267.1691
MEM 106.003906 1757008267.2693
MEM 106.003906 1757008267.3695
MEM 106.003906 1757008267.4697
MEM 106.003906 1757008267.5699
MEM 106.003906 1757008267.6700
MEM 106.003906 1757008267.7703
MEM 106.003906 1757008267.8705
MEM 106.003906 1757008267.9706
MEM 106.003906 1757008268.0709
MEM 106.003906 1757008268.1710
MEM 106.003906 1757008268.2713
MEM 106.003906 1757008268.3714
MEM 106.003906 1757008268.4716
MEM 106.003906 1757008268.5718
MEM 106.003906 1757008268.6720
MEM 106.003906 1757008268.7722
MEM 106.003906 1757008268.8724
MEM 106.003906 1757008268.9726
MEM 106.003906 1757008269.0728
MEM 106.003906 1757008269.1730
MEM 106.003906 1757008269.2732
MEM 106.003906 1757008269.3734
MEM 106.003906 1757008269.4743
MEM 106.003906 1757008269.5745
MEM 106.003906 1757008269.6746
MEM 106.003906 1757008269.7748
MEM 106.003906 1757008269.8750
MEM 106.003906 1757008269.9752
MEM 106.003906 1757008270.0754
MEM 106.003906 1757008270.1756
MEM 106.003906 1757008270.2758
MEM 106.003906 1757008270.3760
MEM 106.003906 1757008270.4762
MEM 106.003906 1757008270.5764
MEM 106.003906 1757008270.6766
MEM 106.003906 1757008270.7768
MEM 106.003906 1757008270.8770
MEM 106.003906 1757008270.9772
MEM 106.003906 1757008271.0774
MEM 106.003906 1757008271.1776
MEM 106.003906 1757008271.2777
MEM 106.003906 1757008271.3779
MEM 106.128906 1757008271.4781
MEM 106.128906 1757008271.5783
MEM 106.128906 1757008271.6785
MEM 106.128906 1757008271.7787
MEM 106.128906 1757008271.8789
MEM 106.128906 1757008271.9791
MEM 106.128906 1757008272.0793
MEM 106.128906 1757008272.1795
MEM 106.128906 1757008272.2797
MEM 106.128906 1757008272.3799
MEM 106.128906 1757008272.4801
MEM 106.128906 1757008272.5803
MEM 106.128906 1757008272.6805
MEM 106.128906 1757008272.7807
MEM 106.128906 1757008272.8809
MEM 106.128906 1757008272.9811
MEM 106.128906 1757008273.0813
MEM 106.128906 1757008273.1815
MEM 106.128906 1757008273.2817
MEM 106.128906 1757008273.3819
MEM 106.128906 1757008273.4821
MEM 106.128906 1757008273.5823
MEM 106.128906 1757008273.6824
MEM 106.128906 1757008273.7826
MEM 106.128906 1757008273.8828
MEM 106.128906 1757008273.9830
MEM 106.128906 1757008274.0832
MEM 106.128906 1757008274.1834
MEM 106.128906 1757008274.2836
MEM 106.128906 1757008274.3838
MEM 106.128906 1757008274.4840
MEM 106.128906 1757008274.5842
MEM 106.128906 1757008274.6844
MEM 106.128906 1757008274.7846
MEM 106.128906 1757008274.8848
MEM 106.128906 1757008274.9850
MEM 106.128906 1757008275.0852
MEM 106.128906 1757008275.1854
MEM 106.128906 1757008275.2856
MEM 106.128906 1757008275.3858
MEM 106.128906 1757008275.4860
MEM 106.128906 1757008275.5862
MEM 106.128906 1757008275.6864
MEM 106.128906 1757008275.7866
MEM 106.128906 1757008275.8868
MEM 106.128906 1757008275.9870
MEM 106.128906 1757008276.0872
MEM 106.128906 1757008276.1874
MEM 106.128906 1757008276.2876
MEM 106.128906 1757008276.3878
MEM 106.128906 1757008276.4880
MEM 106.128906 1757008276.5882
MEM 106.128906 1757008276.6884
MEM 106.128906 1757008276.7886
MEM 105.191406 1757008276.8889
