CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_ktam.py
MEM 0.281250 1757366391.9048
MEM 32.296875 1757366392.0065
MEM 51.593750 1757366392.1068
MEM 69.144531 1757366392.2071
MEM 84.027344 1757366392.3074
MEM 91.535156 1757366392.4077
MEM 97.035156 1757366392.5080
MEM 101.914062 1757366392.6084
MEM 102.675781 1757366392.7087
MEM 103.425781 1757366392.8091
MEM 103.425781 1757366392.9095
MEM 103.425781 1757366393.0098
MEM 103.425781 1757366393.1102
MEM 103.425781 1757366393.2105
MEM 103.425781 1757366393.3108
MEM 103.425781 1757366393.4112
MEM 103.425781 1757366393.5115
MEM 103.425781 1757366393.6118
MEM 103.425781 1757366393.7122
MEM 103.425781 1757366393.8125
MEM 103.425781 1757366393.9128
MEM 103.425781 1757366394.0131
MEM 103.425781 1757366394.1135
MEM 103.425781 1757366394.2138
MEM 103.425781 1757366394.3141
MEM 103.425781 1757366394.4145
MEM 103.425781 1757366394.5148
MEM 103.425781 1757366394.6151
MEM 103.425781 1757366394.7155
MEM 103.425781 1757366394.8158
MEM 103.425781 1757366394.9161
MEM 103.425781 1757366395.0165
MEM 103.425781 1757366395.1168
MEM 103.425781 1757366395.2171
MEM 103.425781 1757366395.3175
MEM 103.425781 1757366395.4178
MEM 103.425781 1757366395.5181
MEM 103.425781 1757366395.6184
MEM 103.425781 1757366395.7188
MEM 103.425781 1757366395.8191
MEM 103.550781 1757366395.9194
MEM 103.550781 1757366396.0198
MEM 103.550781 1757366396.1201
MEM 103.550781 1757366396.2204
MEM 103.550781 1757366396.3208
MEM 103.550781 1757366396.4211
MEM 103.550781 1757366396.5215
MEM 103.550781 1757366396.6218
MEM 103.550781 1757366396.7222
MEM 103.550781 1757366396.8225
MEM 103.550781 1757366396.9228
MEM 103.550781 1757366397.0232
MEM 103.550781 1757366397.1236
MEM 103.675781 1757366397.2239
MEM 103.675781 1757366397.3242
MEM 103.675781 1757366397.4246
MEM 103.675781 1757366397.5249
MEM 103.675781 1757366397.6253
MEM 103.675781 1757366397.7257
MEM 103.675781 1757366397.8260
MEM 103.675781 1757366397.9263
MEM 103.675781 1757366398.0267
MEM 103.675781 1757366398.1270
MEM 103.675781 1757366398.2274
MEM 103.675781 1757366398.3277
MEM 103.675781 1757366398.4281
MEM 103.675781 1757366398.5284
MEM 103.675781 1757366398.6288
MEM 103.800781 1757366398.7291
MEM 103.800781 1757366398.8295
MEM 103.800781 1757366398.9298
MEM 103.800781 1757366399.0302
MEM 103.800781 1757366399.1305
MEM 103.800781 1757366399.2308
MEM 103.800781 1757366399.3312
MEM 103.800781 1757366399.4315
MEM 103.800781 1757366399.5319
MEM 103.800781 1757366399.6322
MEM 103.800781 1757366399.7326
MEM 103.800781 1757366399.8329
MEM 103.800781 1757366399.9333
MEM 103.800781 1757366400.0336
MEM 103.925781 1757366400.1339
MEM 103.925781 1757366400.2343
MEM 103.925781 1757366400.3346
MEM 103.925781 1757366400.4349
MEM 103.925781 1757366400.5353
MEM 103.925781 1757366400.6356
MEM 103.925781 1757366400.7360
