CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_heterodimerization_small.py
MEM 0.281250 1757516634.8699
MEM 25.382812 1757516634.9702
MEM 35.765625 1757516635.0712
MEM 38.218750 1757516635.1716
MEM 42.042969 1757516635.2719
MEM 51.980469 1757516635.3722
MEM 63.222656 1757516635.4725
MEM 63.558594 1757516635.5729
MEM 64.109375 1757516635.6732
MEM 65.671875 1757516635.7735
MEM 75.886719 1757516635.8738
MEM 76.757812 1757516635.9741
MEM 76.757812 1757516636.0744
MEM 78.886719 1757516636.1747
MEM 80.296875 1757516636.2751
MEM 80.707031 1757516636.3754
MEM 82.972656 1757516636.4772
MEM 85.984375 1757516636.5775
MEM 88.652344 1757516636.6778
MEM 95.820312 1757516636.7781
MEM 100.820312 1757516636.8784
MEM 100.273438 1757516636.9787
MEM 100.808594 1757516637.0790
MEM 100.933594 1757516637.1794
MEM 100.933594 1757516637.2796
MEM 100.933594 1757516637.3799
MEM 100.933594 1757516637.4802
MEM 100.933594 1757516637.5805
MEM 100.933594 1757516637.6808
MEM 101.328125 1757516637.7811
MEM 101.328125 1757516637.8814
MEM 103.964844 1757516637.9818
MEM 104.144531 1757516638.0821
MEM 106.644531 1757516638.1824
MEM 113.144531 1757516638.2827
MEM 114.269531 1757516638.3830
MEM 114.269531 1757516638.4834
MEM 114.769531 1757516638.5837
MEM 115.019531 1757516638.6841
MEM 118.519531 1757516638.7844
MEM 118.644531 1757516638.8847
MEM 118.769531 1757516638.9851
MEM 118.769531 1757516639.0856
MEM 118.894531 1757516639.1859
MEM 117.074219 1757516639.2863
