CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_uni_bi_small.py
MEM 0.281250 1757516661.8236
MEM 32.929688 1757516661.9252
MEM 52.343750 1757516662.0255
MEM 69.472656 1757516662.1258
MEM 84.585938 1757516662.2262
MEM 92.035156 1757516662.3264
MEM 97.285156 1757516662.4268
MEM 102.035156 1757516662.5272
MEM 102.660156 1757516662.6275
MEM 105.785156 1757516662.7279
MEM 105.910156 1757516662.8282
MEM 106.035156 1757516662.9285
MEM 106.160156 1757516663.0289
MEM 106.160156 1757516663.1292
MEM 106.160156 1757516663.2295
MEM 106.160156 1757516663.3298
MEM 106.160156 1757516663.4301
MEM 106.160156 1757516663.5304
MEM 106.160156 1757516663.6307
MEM 106.160156 1757516663.7310
MEM 106.160156 1757516663.8312
MEM 106.160156 1757516663.9315
MEM 106.160156 1757516664.0317
MEM 106.160156 1757516664.1320
MEM 106.160156 1757516664.2323
MEM 106.160156 1757516664.3326
MEM 106.160156 1757516664.4328
MEM 106.160156 1757516664.5331
MEM 106.160156 1757516664.6334
MEM 106.160156 1757516664.7336
MEM 106.160156 1757516664.8340
MEM 106.160156 1757516664.9343
MEM 106.160156 1757516665.0371
MEM 106.160156 1757516665.1374
MEM 106.160156 1757516665.2378
MEM 106.160156 1757516665.3381
MEM 106.160156 1757516665.4402
MEM 106.160156 1757516665.5405
MEM 106.160156 1757516665.6408
MEM 106.160156 1757516665.7411
MEM 106.285156 1757516665.8414
MEM 106.285156 1757516665.9418
MEM 106.285156 1757516666.0421
MEM 106.285156 1757516666.1446
MEM 106.285156 1757516666.2448
MEM 106.285156 1757516666.3451
MEM 106.285156 1757516666.4454
MEM 106.285156 1757516666.5457
MEM 106.285156 1757516666.6459
MEM 106.285156 1757516666.7462
MEM 106.285156 1757516666.8464
MEM 106.285156 1757516666.9468
MEM 106.285156 1757516667.0471
MEM 106.285156 1757516667.1475
MEM 106.285156 1757516667.2478
MEM 106.285156 1757516667.3481
MEM 106.285156 1757516667.4484
MEM 106.285156 1757516667.5487
MEM 106.285156 1757516667.6489
MEM 106.285156 1757516667.7492
MEM 106.285156 1757516667.8495
MEM 106.285156 1757516667.9497
MEM 106.285156 1757516668.0501
MEM 106.285156 1757516668.1504
MEM 106.285156 1757516668.2506
MEM 106.285156 1757516668.3509
MEM 106.285156 1757516668.4511
MEM 106.285156 1757516668.5514
MEM 106.285156 1757516668.6517
MEM 106.285156 1757516668.7520
MEM 106.285156 1757516668.8523
MEM 106.285156 1757516668.9526
MEM 106.285156 1757516669.0529
MEM 106.285156 1757516669.1532
MEM 106.285156 1757516669.2535
MEM 106.285156 1757516669.3538
MEM 106.285156 1757516669.4541
MEM 106.285156 1757516669.5544
MEM 106.285156 1757516669.6547
MEM 106.285156 1757516669.7550
MEM 106.285156 1757516669.8553
MEM 106.285156 1757516669.9557
MEM 106.285156 1757516670.0560
MEM 106.285156 1757516670.1562
MEM 106.285156 1757516670.2565
MEM 106.285156 1757516670.3568
MEM 106.285156 1757516670.4570
MEM 106.285156 1757516670.5573
MEM 106.285156 1757516670.6575
MEM 106.285156 1757516670.7578
MEM 106.285156 1757516670.8581
MEM 106.285156 1757516670.9584
MEM 106.285156 1757516671.0587
MEM 106.285156 1757516671.1589
MEM 106.285156 1757516671.2592
MEM 106.285156 1757516671.3594
MEM 106.285156 1757516671.4596
MEM 106.285156 1757516671.5599
MEM 106.285156 1757516671.6602
MEM 106.285156 1757516671.7604
MEM 106.285156 1757516671.8606
MEM 106.285156 1757516671.9609
MEM 106.285156 1757516672.0612
MEM 106.285156 1757516672.1615
MEM 106.285156 1757516672.2618
MEM 106.285156 1757516672.3621
MEM 106.285156 1757516672.4624
MEM 106.285156 1757516672.5627
