CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_ktam.py
MEM 0.281250 1757528233.6093
MEM 32.929688 1757528233.7102
MEM 52.382812 1757528233.8104
MEM 69.750000 1757528233.9107
MEM 85.847656 1757528234.0109
MEM 92.289062 1757528234.1111
MEM 97.539062 1757528234.2114
MEM 102.398438 1757528234.3116
MEM 103.273438 1757528234.4119
MEM 103.398438 1757528234.5122
MEM 103.398438 1757528234.6124
MEM 103.398438 1757528234.7126
MEM 103.398438 1757528234.8128
MEM 103.398438 1757528234.9130
MEM 103.398438 1757528235.0132
MEM 103.398438 1757528235.1134
MEM 103.398438 1757528235.2136
MEM 103.398438 1757528235.3138
MEM 103.398438 1757528235.4140
MEM 103.398438 1757528235.5142
MEM 103.398438 1757528235.6144
MEM 103.398438 1757528235.7146
MEM 103.398438 1757528235.8148
MEM 103.398438 1757528235.9150
MEM 103.398438 1757528236.0152
MEM 103.398438 1757528236.1154
MEM 103.398438 1757528236.2157
MEM 103.398438 1757528236.3159
MEM 103.398438 1757528236.4161
MEM 103.398438 1757528236.5163
MEM 103.398438 1757528236.6165
MEM 103.398438 1757528236.7167
MEM 103.398438 1757528236.8169
MEM 103.398438 1757528236.9171
MEM 103.398438 1757528237.0173
MEM 103.398438 1757528237.1175
MEM 103.398438 1757528237.2177
MEM 103.398438 1757528237.3179
MEM 103.523438 1757528237.4181
MEM 103.523438 1757528237.5183
MEM 103.523438 1757528237.6185
MEM 103.523438 1757528237.7187
MEM 103.523438 1757528237.8189
MEM 103.523438 1757528237.9191
MEM 103.523438 1757528238.0193
MEM 103.523438 1757528238.1195
MEM 103.523438 1757528238.2197
MEM 103.523438 1757528238.3199
MEM 103.523438 1757528238.4201
MEM 103.523438 1757528238.5203
MEM 103.523438 1757528238.6205
MEM 103.523438 1757528238.7208
MEM 103.523438 1757528238.8210
MEM 103.648438 1757528238.9212
MEM 103.648438 1757528239.0214
MEM 103.648438 1757528239.1216
MEM 103.648438 1757528239.2218
MEM 103.648438 1757528239.3221
MEM 103.648438 1757528239.4223
MEM 103.648438 1757528239.5225
MEM 103.648438 1757528239.6227
MEM 103.648438 1757528239.7229
MEM 103.648438 1757528239.8231
MEM 103.648438 1757528239.9233
MEM 103.648438 1757528240.0235
MEM 103.648438 1757528240.1237
MEM 103.648438 1757528240.2239
MEM 103.648438 1757528240.3241
MEM 103.773438 1757528240.4243
MEM 103.773438 1757528240.5245
MEM 103.773438 1757528240.6247
MEM 103.773438 1757528240.7249
MEM 103.773438 1757528240.8251
MEM 103.773438 1757528240.9253
MEM 103.773438 1757528241.0258
MEM 103.773438 1757528241.1260
MEM 103.773438 1757528241.2262
MEM 103.773438 1757528241.3264
MEM 103.773438 1757528241.4268
MEM 103.773438 1757528241.5270
MEM 103.773438 1757528241.6272
MEM 103.773438 1757528241.7274
MEM 103.898438 1757528241.8276
MEM 103.898438 1757528241.9278
MEM 103.898438 1757528242.0280
MEM 103.898438 1757528242.1282
MEM 103.898438 1757528242.2284
MEM 103.898438 1757528242.3286
MEM 103.898438 1757528242.4290
