CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_uni_bi_small.py
MEM 0.281250 1757528252.6555
MEM 32.855469 1757528252.7557
MEM 52.332031 1757528252.8560
MEM 69.843750 1757528252.9562
MEM 85.867188 1757528253.0565
MEM 92.425781 1757528253.1567
MEM 97.675781 1757528253.2569
MEM 102.292969 1757528253.3571
MEM 105.792969 1757528253.4574
MEM 105.792969 1757528253.5577
MEM 106.042969 1757528253.6579
MEM 106.167969 1757528253.7581
MEM 106.167969 1757528253.8583
MEM 106.167969 1757528253.9585
MEM 106.167969 1757528254.0587
MEM 106.167969 1757528254.1589
MEM 106.167969 1757528254.2591
MEM 106.167969 1757528254.3593
MEM 106.167969 1757528254.4595
MEM 106.167969 1757528254.5597
MEM 106.167969 1757528254.6599
MEM 106.292969 1757528254.7601
MEM 106.292969 1757528254.8603
MEM 106.292969 1757528254.9605
MEM 106.292969 1757528255.0607
MEM 106.292969 1757528255.1609
MEM 106.292969 1757528255.2611
MEM 106.292969 1757528255.3613
MEM 106.292969 1757528255.4615
MEM 106.292969 1757528255.5617
MEM 106.292969 1757528255.6619
MEM 106.292969 1757528255.7621
MEM 106.292969 1757528255.8624
MEM 106.292969 1757528255.9626
MEM 106.292969 1757528256.0628
MEM 106.292969 1757528256.1630
MEM 106.292969 1757528256.2632
MEM 106.292969 1757528256.3634
MEM 106.292969 1757528256.4636
MEM 106.292969 1757528256.5638
MEM 106.292969 1757528256.6640
MEM 106.292969 1757528256.7642
MEM 106.292969 1757528256.8644
MEM 106.292969 1757528256.9646
MEM 106.292969 1757528257.0648
MEM 106.292969 1757528257.1650
MEM 106.292969 1757528257.2652
MEM 106.292969 1757528257.3654
MEM 106.292969 1757528257.4656
MEM 106.292969 1757528257.5658
MEM 106.292969 1757528257.6661
MEM 106.292969 1757528257.7663
MEM 106.292969 1757528257.8665
MEM 106.292969 1757528257.9667
MEM 106.292969 1757528258.0669
MEM 106.292969 1757528258.1671
MEM 106.292969 1757528258.2673
MEM 106.292969 1757528258.3675
MEM 106.292969 1757528258.4677
MEM 106.292969 1757528258.5679
MEM 106.292969 1757528258.6681
MEM 106.292969 1757528258.7683
MEM 106.292969 1757528258.8687
MEM 106.292969 1757528258.9689
MEM 106.292969 1757528259.0691
MEM 106.292969 1757528259.1693
MEM 106.292969 1757528259.2695
MEM 106.292969 1757528259.3697
MEM 106.292969 1757528259.4699
MEM 106.292969 1757528259.5701
MEM 106.292969 1757528259.6703
MEM 106.292969 1757528259.7705
MEM 106.292969 1757528259.8707
MEM 106.292969 1757528259.9709
