CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_heterodimerization_small.py
MEM 0.441406 1759167824.2297
MEM 25.269531 1759167824.3300
MEM 35.433594 1759167824.4303
MEM 41.089844 1759167824.5307
MEM 42.128906 1759167824.6317
MEM 48.503906 1759167824.7320
MEM 54.410156 1759167824.8324
MEM 63.078125 1759167824.9327
MEM 63.546875 1759167825.0330
MEM 64.968750 1759167825.1333
MEM 76.855469 1759167825.2337
MEM 76.539062 1759167825.3340
MEM 76.539062 1759167825.4343
MEM 78.738281 1759167825.5346
MEM 80.031250 1759167825.6350
MEM 80.605469 1759167825.7352
MEM 83.886719 1759167825.8356
MEM 85.894531 1759167825.9359
MEM 88.613281 1759167826.0362
MEM 91.050781 1759167826.1365
MEM 97.605469 1759167826.2368
MEM 100.207031 1759167826.3371
MEM 100.343750 1759167826.4374
MEM 100.769531 1759167826.5377
MEM 100.769531 1759167826.6380
MEM 100.769531 1759167826.7383
MEM 100.769531 1759167826.8386
MEM 100.769531 1759167826.9390
MEM 100.769531 1759167827.0392
MEM 100.769531 1759167827.1396
MEM 100.769531 1759167827.2398
MEM 100.769531 1759167827.3401
MEM 100.769531 1759167827.4404
MEM 101.234375 1759167827.5407
MEM 101.234375 1759167827.6410
MEM 101.234375 1759167827.7412
MEM 101.234375 1759167827.8416
MEM 103.539062 1759167827.9418
MEM 105.289062 1759167828.0421
MEM 107.039062 1759167828.1424
MEM 111.414062 1759167828.2428
MEM 114.289062 1759167828.3431
MEM 114.289062 1759167828.4434
MEM 114.789062 1759167828.5437
MEM 115.164062 1759167828.6441
MEM 118.414062 1759167828.7444
MEM 118.664062 1759167828.8448
MEM 118.789062 1759167828.9451
MEM 118.789062 1759167829.0455
MEM 118.914062 1759167829.1458
MEM 117.105469 1759167829.2461
