CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_ktam.py
MEM 0.441406 1759167832.2102
MEM 31.996094 1759167832.3117
MEM 50.734375 1759167832.4121
MEM 67.753906 1759167832.5129
MEM 82.425781 1759167832.6132
MEM 90.218750 1759167832.7135
MEM 96.355469 1759167832.8138
MEM 101.652344 1759167832.9141
MEM 102.550781 1759167833.0145
MEM 103.175781 1759167833.1148
MEM 103.300781 1759167833.2152
MEM 103.300781 1759167833.3156
MEM 103.300781 1759167833.4159
MEM 103.300781 1759167833.5163
MEM 103.300781 1759167833.6166
MEM 103.300781 1759167833.7170
MEM 103.300781 1759167833.8173
MEM 103.300781 1759167833.9176
MEM 103.300781 1759167834.0179
MEM 103.300781 1759167834.1182
MEM 103.300781 1759167834.2186
MEM 103.300781 1759167834.3189
MEM 103.300781 1759167834.4192
MEM 103.300781 1759167834.5196
MEM 103.300781 1759167834.6199
MEM 103.300781 1759167834.7203
MEM 103.300781 1759167834.8206
MEM 103.300781 1759167834.9209
MEM 103.300781 1759167835.0212
MEM 103.300781 1759167835.1216
MEM 103.300781 1759167835.2219
MEM 103.300781 1759167835.3223
MEM 103.300781 1759167835.4226
MEM 103.300781 1759167835.5230
MEM 103.300781 1759167835.6233
MEM 103.300781 1759167835.7237
MEM 103.300781 1759167835.8240
MEM 103.300781 1759167835.9243
MEM 103.300781 1759167836.0247
MEM 103.300781 1759167836.1250
MEM 103.425781 1759167836.2253
MEM 103.425781 1759167836.3256
MEM 103.425781 1759167836.4259
MEM 103.425781 1759167836.5262
MEM 103.425781 1759167836.6266
MEM 103.425781 1759167836.7269
MEM 103.425781 1759167836.8273
MEM 103.425781 1759167836.9277
MEM 103.425781 1759167837.0280
MEM 103.425781 1759167837.1283
MEM 103.425781 1759167837.2287
MEM 103.425781 1759167837.3291
MEM 103.425781 1759167837.4294
MEM 103.425781 1759167837.5298
MEM 103.425781 1759167837.6301
MEM 103.550781 1759167837.7304
MEM 103.550781 1759167837.8308
MEM 103.550781 1759167837.9311
MEM 103.550781 1759167838.0314
MEM 103.550781 1759167838.1318
MEM 103.550781 1759167838.2321
MEM 103.550781 1759167838.3325
MEM 103.550781 1759167838.4328
MEM 103.550781 1759167838.5331
MEM 103.550781 1759167838.6334
MEM 103.550781 1759167838.7338
MEM 103.550781 1759167838.8341
MEM 103.550781 1759167838.9344
MEM 103.675781 1759167839.0348
MEM 103.675781 1759167839.1351
MEM 103.675781 1759167839.2355
MEM 103.675781 1759167839.3358
MEM 103.675781 1759167839.4361
MEM 103.675781 1759167839.5365
MEM 103.675781 1759167839.6368
MEM 103.675781 1759167839.7372
MEM 103.675781 1759167839.8375
MEM 103.675781 1759167839.9379
MEM 103.675781 1759167840.0382
MEM 103.675781 1759167840.1386
MEM 103.675781 1759167840.2389
MEM 103.675781 1759167840.3392
MEM 103.800781 1759167840.4396
MEM 103.800781 1759167840.5400
MEM 103.800781 1759167840.6403
MEM 103.800781 1759167840.7406
MEM 103.800781 1759167840.8410
MEM 103.800781 1759167840.9413
MEM 103.800781 1759167841.0417
MEM 0.000000 1759167841.1420
