CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_uni_bi_small.py
MEM 0.441406 1759167851.9079
MEM 31.851562 1759167852.0088
MEM 50.667969 1759167852.1091
MEM 67.777344 1759167852.2107
MEM 81.695312 1759167852.3110
MEM 89.578125 1759167852.4113
MEM 96.378906 1759167852.5117
MEM 101.757812 1759167852.6120
MEM 102.632812 1759167852.7124
MEM 105.882812 1759167852.8127
MEM 105.882812 1759167852.9131
MEM 106.007812 1759167853.0134
MEM 106.132812 1759167853.1138
MEM 106.132812 1759167853.2141
MEM 106.132812 1759167853.3145
MEM 106.132812 1759167853.4148
MEM 106.132812 1759167853.5151
MEM 106.132812 1759167853.6155
MEM 106.132812 1759167853.7158
MEM 106.257812 1759167853.8161
MEM 106.257812 1759167853.9164
MEM 106.257812 1759167854.0168
MEM 106.257812 1759167854.1171
MEM 106.257812 1759167854.2175
MEM 106.257812 1759167854.3196
MEM 106.257812 1759167854.4199
MEM 106.257812 1759167854.5203
MEM 106.257812 1759167854.6206
MEM 106.257812 1759167854.7209
MEM 106.257812 1759167854.8213
MEM 106.257812 1759167854.9216
MEM 106.257812 1759167855.0220
MEM 106.257812 1759167855.1223
MEM 106.257812 1759167855.2227
MEM 106.257812 1759167855.3230
MEM 106.257812 1759167855.4234
MEM 106.257812 1759167855.5237
MEM 106.257812 1759167855.6241
MEM 106.257812 1759167855.7244
MEM 106.257812 1759167855.8247
MEM 106.257812 1759167855.9251
MEM 106.257812 1759167856.0254
MEM 106.257812 1759167856.1258
MEM 106.257812 1759167856.2261
MEM 106.257812 1759167856.3265
MEM 106.257812 1759167856.4269
MEM 106.257812 1759167856.5272
MEM 106.257812 1759167856.6276
MEM 106.257812 1759167856.7279
MEM 106.257812 1759167856.8283
MEM 106.257812 1759167856.9286
MEM 106.257812 1759167857.0290
MEM 106.257812 1759167857.1294
MEM 106.257812 1759167857.2297
MEM 106.257812 1759167857.3301
MEM 106.257812 1759167857.4304
MEM 106.257812 1759167857.5307
MEM 106.257812 1759167857.6311
MEM 106.257812 1759167857.7314
MEM 106.257812 1759167857.8318
MEM 106.257812 1759167857.9321
MEM 106.257812 1759167858.0324
MEM 106.257812 1759167858.1328
MEM 106.257812 1759167858.2331
MEM 106.257812 1759167858.3334
MEM 106.257812 1759167858.4338
MEM 106.257812 1759167858.5342
MEM 106.257812 1759167858.6346
MEM 106.257812 1759167858.7349
MEM 106.257812 1759167858.8352
MEM 106.257812 1759167858.9356
MEM 106.257812 1759167859.0360
MEM 106.257812 1759167859.1363
MEM 106.257812 1759167859.2367
MEM 106.257812 1759167859.3370
MEM 106.257812 1759167859.4373
MEM 106.257812 1759167859.5377
MEM 106.257812 1759167859.6380
MEM 106.257812 1759167859.7384
MEM 106.257812 1759167859.8388
MEM 106.257812 1759167859.9391
MEM 106.257812 1759167860.0394
MEM 106.257812 1759167860.1398
MEM 106.257812 1759167860.2401
MEM 106.257812 1759167860.3405
MEM 106.257812 1759167860.4408
MEM 106.257812 1759167860.5411
MEM 106.257812 1759167860.6415
MEM 106.257812 1759167860.7418
MEM 106.257812 1759167860.8422
MEM 106.257812 1759167860.9425
MEM 106.257812 1759167861.0429
MEM 106.257812 1759167861.1432
MEM 106.257812 1759167861.2436
MEM 106.257812 1759167861.3440
MEM 106.257812 1759167861.4443
MEM 106.257812 1759167861.5447
MEM 106.257812 1759167861.6451
MEM 106.257812 1759167861.7454
MEM 106.257812 1759167861.8457
MEM 106.257812 1759167861.9461
MEM 106.257812 1759167862.0464
MEM 106.257812 1759167862.1468
MEM 106.257812 1759167862.2471
MEM 106.257812 1759167862.3475
MEM 106.257812 1759167862.4479
MEM 106.257812 1759167862.5482
MEM 106.257812 1759167862.6486
MEM 106.257812 1759167862.7489
MEM 106.257812 1759167862.8493
MEM 106.257812 1759167862.9496
MEM 106.257812 1759167863.0500
MEM 106.257812 1759167863.1503
MEM 106.257812 1759167863.2507
MEM 106.257812 1759167863.3511
MEM 106.257812 1759167863.4514
MEM 106.257812 1759167863.5518
MEM 106.257812 1759167863.6521
MEM 106.257812 1759167863.7525
MEM 106.257812 1759167863.8528
MEM 106.257812 1759167863.9531
MEM 106.257812 1759167864.0535
MEM 106.257812 1759167864.1538
MEM 106.257812 1759167864.2542
MEM 106.257812 1759167864.3545
MEM 106.382812 1759167864.4549
MEM 106.382812 1759167864.5552
MEM 106.382812 1759167864.6556
MEM 106.382812 1759167864.7559
MEM 106.382812 1759167864.8563
MEM 106.382812 1759167864.9566
MEM 106.382812 1759167865.0570
MEM 106.382812 1759167865.1573
MEM 106.382812 1759167865.2577
MEM 106.382812 1759167865.3580
MEM 106.382812 1759167865.4584
MEM 106.382812 1759167865.5587
MEM 106.382812 1759167865.6591
MEM 106.382812 1759167865.7594
MEM 106.382812 1759167865.8598
MEM 106.382812 1759167865.9601
MEM 106.382812 1759167866.0605
MEM 106.382812 1759167866.1608
MEM 106.382812 1759167866.2611
MEM 106.382812 1759167866.3615
MEM 106.382812 1759167866.4618
MEM 106.382812 1759167866.5622
MEM 106.382812 1759167866.6625
MEM 106.382812 1759167866.7628
MEM 106.382812 1759167866.8632
MEM 106.382812 1759167866.9635
MEM 106.382812 1759167867.0639
MEM 106.382812 1759167867.1643
MEM 106.382812 1759167867.2647
MEM 106.382812 1759167867.3650
MEM 106.382812 1759167867.4654
MEM 106.382812 1759167867.5657
MEM 106.382812 1759167867.6660
MEM 106.382812 1759167867.7664
MEM 106.382812 1759167867.8668
MEM 106.382812 1759167867.9671
MEM 106.382812 1759167868.0674
MEM 106.382812 1759167868.1678
MEM 106.382812 1759167868.2681
MEM 106.382812 1759167868.3685
MEM 106.382812 1759167868.4688
MEM 106.382812 1759167868.5691
MEM 106.382812 1759167868.6695
MEM 106.382812 1759167868.7698
MEM 106.382812 1759167868.8702
MEM 106.382812 1759167868.9705
MEM 106.382812 1759167869.0709
MEM 106.382812 1759167869.1712
MEM 106.382812 1759167869.2716
MEM 106.382812 1759167869.3719
