CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_heterodimerization_small.py
MEM 0.281250 1759189332.0155
MEM 23.503906 1759189332.1158
MEM 32.531250 1759189332.2160
MEM 35.894531 1759189332.3163
MEM 38.542969 1759189332.4166
MEM 42.109375 1759189332.5168
MEM 48.437500 1759189332.6171
MEM 49.722656 1759189332.7174
MEM 54.644531 1759189332.8177
MEM 63.351562 1759189332.9180
MEM 64.503906 1759189333.0183
MEM 65.695312 1759189333.1186
MEM 72.378906 1759189333.2190
MEM 75.867188 1759189333.3194
MEM 76.855469 1759189333.4197
MEM 76.855469 1759189333.5199
MEM 77.437500 1759189333.6203
MEM 80.359375 1759189333.7206
MEM 80.484375 1759189333.8209
MEM 82.812500 1759189333.9212
MEM 85.851562 1759189334.0215
MEM 87.371094 1759189334.1218
MEM 89.414062 1759189334.2222
MEM 96.031250 1759189334.3226
MEM 99.773438 1759189334.4229
MEM 100.523438 1759189334.5232
MEM 100.523438 1759189334.6234
MEM 101.128906 1759189334.7237
MEM 101.128906 1759189334.8240
MEM 101.128906 1759189334.9243
MEM 101.128906 1759189335.0246
MEM 101.128906 1759189335.1249
MEM 101.128906 1759189335.2252
MEM 101.128906 1759189335.3254
MEM 101.128906 1759189335.4257
MEM 101.128906 1759189335.5260
MEM 101.128906 1759189335.6263
MEM 101.128906 1759189335.7265
MEM 101.128906 1759189335.8269
MEM 101.128906 1759189335.9272
MEM 101.128906 1759189336.0274
MEM 101.128906 1759189336.1277
MEM 101.128906 1759189336.2280
MEM 101.128906 1759189336.3283
MEM 101.128906 1759189336.4286
MEM 101.128906 1759189336.5288
MEM 101.128906 1759189336.6291
MEM 101.128906 1759189336.7294
MEM 101.441406 1759189336.8297
MEM 101.441406 1759189336.9300
MEM 101.625000 1759189337.0303
MEM 105.375000 1759189337.1306
MEM 104.273438 1759189337.2309
MEM 107.023438 1759189337.3313
MEM 112.421875 1759189337.4316
MEM 113.546875 1759189337.5319
MEM 113.671875 1759189337.6322
MEM 114.046875 1759189337.7325
MEM 114.546875 1759189337.8328
MEM 117.796875 1759189337.9331
MEM 117.921875 1759189338.0334
MEM 118.046875 1759189338.1338
MEM 118.171875 1759189338.2341
MEM 118.171875 1759189338.3344
