CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_heterodimerization_small.py
MEM 0.441406 1759189424.9773
MEM 23.503906 1759189425.0776
MEM 34.531250 1759189425.1779
MEM 35.894531 1759189425.2782
MEM 41.187500 1759189425.3785
MEM 42.222656 1759189425.4788
MEM 48.546875 1759189425.5790
MEM 51.789062 1759189425.6793
MEM 62.851562 1759189425.7796
MEM 64.320312 1759189425.8799
MEM 64.976562 1759189425.9803
MEM 68.531250 1759189426.0806
MEM 75.898438 1759189426.1809
MEM 76.921875 1759189426.2812
MEM 76.921875 1759189426.3815
MEM 77.476562 1759189426.4818
MEM 80.554688 1759189426.5821
MEM 80.554688 1759189426.6824
MEM 83.023438 1759189426.7827
MEM 85.792969 1759189426.8831
MEM 88.894531 1759189426.9834
MEM 90.500000 1759189427.0837
MEM 96.507812 1759189427.1839
MEM 100.660156 1759189427.2843
MEM 100.660156 1759189427.3846
MEM 100.941406 1759189427.4848
MEM 101.101562 1759189427.5851
MEM 101.101562 1759189427.6854
MEM 101.402344 1759189427.7857
MEM 101.402344 1759189427.8860
MEM 103.585938 1759189427.9863
MEM 104.246094 1759189428.0866
MEM 106.746094 1759189428.1869
MEM 111.371094 1759189428.2872
MEM 112.398438 1759189428.3875
MEM 113.523438 1759189428.4878
MEM 113.898438 1759189428.5881
MEM 114.398438 1759189428.6884
MEM 117.398438 1759189428.7888
MEM 117.898438 1759189428.8891
MEM 118.023438 1759189428.9894
MEM 118.023438 1759189429.0897
MEM 118.148438 1759189429.1900
MEM 116.289062 1759189429.2903
