CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_heterodimerization_small.py
MEM 0.281250 1759188837.2642
MEM 23.503906 1759188837.3644
MEM 32.531250 1759188837.4646
MEM 35.796875 1759188837.5648
MEM 40.554688 1759188837.6651
MEM 41.960938 1759188837.7653
MEM 48.441406 1759188837.8656
MEM 50.699219 1759188837.9658
MEM 56.058594 1759188838.0661
MEM 64.312500 1759188838.1668
MEM 64.640625 1759188838.2671
MEM 65.523438 1759188838.3673
MEM 74.890625 1759188838.4677
MEM 76.890625 1759188838.5680
MEM 76.890625 1759188838.6682
MEM 77.015625 1759188838.7684
MEM 78.808594 1759188838.8688
MEM 80.335938 1759188838.9691
MEM 80.921875 1759188839.0693
MEM 82.937500 1759188839.1696
MEM 85.902344 1759188839.2699
MEM 88.695312 1759188839.3701
MEM 90.492188 1759188839.4704
MEM 96.546875 1759188839.5707
MEM 100.417969 1759188839.6710
MEM 100.417969 1759188839.7712
MEM 101.023438 1759188839.8715
MEM 101.023438 1759188839.9718
MEM 101.023438 1759188840.0720
MEM 101.023438 1759188840.1723
MEM 101.468750 1759188840.2725
MEM 104.269531 1759188840.3727
MEM 104.367188 1759188840.4730
MEM 106.867188 1759188840.5732
MEM 111.492188 1759188840.6735
MEM 112.457031 1759188840.7738
MEM 113.582031 1759188840.8741
MEM 113.582031 1759188840.9743
MEM 113.832031 1759188841.0746
MEM 114.332031 1759188841.1749
MEM 115.957031 1759188841.2752
