CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_ktam.py
MEM 0.441406 1759243915.8272
MEM 31.523438 1759243915.9283
MEM 50.203125 1759243916.0286
MEM 67.398438 1759243916.1290
MEM 81.675781 1759243916.2293
MEM 89.429688 1759243916.3297
MEM 95.816406 1759243916.4300
MEM 101.449219 1759243916.5303
MEM 102.632812 1759243916.6307
MEM 103.382812 1759243916.7311
MEM 103.382812 1759243916.8315
MEM 103.382812 1759243916.9318
MEM 103.382812 1759243917.0322
MEM 103.382812 1759243917.1326
MEM 103.382812 1759243917.2329
MEM 103.382812 1759243917.3334
MEM 103.382812 1759243917.4337
MEM 103.382812 1759243917.5341
MEM 103.382812 1759243917.6345
MEM 103.382812 1759243917.7348
MEM 103.382812 1759243917.8352
MEM 103.382812 1759243917.9356
MEM 103.382812 1759243918.0360
MEM 103.382812 1759243918.1363
MEM 103.382812 1759243918.2367
MEM 103.382812 1759243918.3371
MEM 103.382812 1759243918.4374
MEM 103.382812 1759243918.5378
MEM 103.382812 1759243918.6382
MEM 103.382812 1759243918.7385
MEM 103.382812 1759243918.8389
MEM 103.382812 1759243918.9393
MEM 103.382812 1759243919.0397
MEM 103.382812 1759243919.1401
MEM 103.382812 1759243919.2404
MEM 103.382812 1759243919.3408
MEM 103.382812 1759243919.4412
MEM 103.382812 1759243919.5416
MEM 103.382812 1759243919.6419
MEM 103.382812 1759243919.7423
MEM 103.382812 1759243919.8427
MEM 103.382812 1759243919.9430
MEM 103.382812 1759243920.0434
MEM 103.507812 1759243920.1437
MEM 103.507812 1759243920.2442
MEM 103.507812 1759243920.3445
MEM 103.507812 1759243920.4449
MEM 103.507812 1759243920.5453
MEM 103.507812 1759243920.6456
MEM 103.507812 1759243920.7460
MEM 103.507812 1759243920.8464
MEM 103.507812 1759243920.9468
MEM 103.507812 1759243921.0472
MEM 103.507812 1759243921.1476
MEM 103.507812 1759243921.2480
MEM 103.507812 1759243921.3483
MEM 103.632812 1759243921.4487
MEM 103.632812 1759243921.5490
MEM 103.632812 1759243921.6494
MEM 103.632812 1759243921.7497
MEM 103.632812 1759243921.8501
MEM 103.632812 1759243921.9505
MEM 103.632812 1759243922.0509
MEM 103.632812 1759243922.1512
MEM 103.632812 1759243922.2516
MEM 103.632812 1759243922.3520
MEM 103.632812 1759243922.4523
MEM 103.632812 1759243922.5529
MEM 103.632812 1759243922.6533
MEM 103.632812 1759243922.7536
MEM 103.757812 1759243922.8540
MEM 103.757812 1759243922.9543
MEM 103.757812 1759243923.0547
MEM 103.757812 1759243923.1551
MEM 103.757812 1759243923.2555
MEM 103.757812 1759243923.3559
MEM 103.757812 1759243923.4563
MEM 103.757812 1759243923.5566
MEM 103.757812 1759243923.6570
MEM 103.757812 1759243923.7574
MEM 103.757812 1759243923.8577
MEM 103.757812 1759243923.9581
MEM 103.757812 1759243924.0584
MEM 103.757812 1759243924.1588
MEM 103.882812 1759243924.2592
MEM 103.882812 1759243924.3596
MEM 103.882812 1759243924.4600
MEM 103.882812 1759243924.5603
MEM 103.882812 1759243924.6607
MEM 103.882812 1759243924.7610
MEM 103.882812 1759243924.8614
MEM 103.882812 1759243924.9618
