CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_ktam.py
MEM 0.281250 1759253784.8691
MEM 31.804688 1759253784.9700
MEM 50.582031 1759253785.0703
MEM 67.457031 1759253785.1705
MEM 81.773438 1759253785.2709
MEM 89.558594 1759253785.3711
MEM 95.730469 1759253785.4714
MEM 101.250000 1759253785.5717
MEM 102.773438 1759253785.6719
MEM 103.398438 1759253785.7722
MEM 103.523438 1759253785.8725
MEM 103.523438 1759253785.9727
MEM 103.523438 1759253786.0729
MEM 103.523438 1759253786.1732
MEM 103.523438 1759253786.2734
MEM 103.523438 1759253786.3736
MEM 103.523438 1759253786.4738
MEM 103.523438 1759253786.5741
MEM 103.523438 1759253786.6743
MEM 103.523438 1759253786.7745
MEM 103.523438 1759253786.8747
MEM 103.523438 1759253786.9749
MEM 103.523438 1759253787.0752
MEM 103.523438 1759253787.1754
MEM 103.523438 1759253787.2756
MEM 103.523438 1759253787.3759
MEM 103.523438 1759253787.4761
MEM 103.523438 1759253787.5763
MEM 103.523438 1759253787.6765
MEM 103.523438 1759253787.7768
MEM 103.523438 1759253787.8779
MEM 103.523438 1759253787.9782
MEM 103.523438 1759253788.0784
MEM 103.523438 1759253788.1787
MEM 103.523438 1759253788.2789
MEM 103.523438 1759253788.3791
MEM 103.523438 1759253788.4793
MEM 103.523438 1759253788.5796
MEM 103.523438 1759253788.6798
MEM 103.523438 1759253788.7800
MEM 103.523438 1759253788.8802
MEM 103.523438 1759253788.9804
MEM 103.523438 1759253789.0807
MEM 103.523438 1759253789.1809
MEM 103.523438 1759253789.2811
MEM 103.523438 1759253789.3814
MEM 103.648438 1759253789.4816
MEM 103.648438 1759253789.5819
MEM 103.648438 1759253789.6822
MEM 103.648438 1759253789.7824
MEM 103.648438 1759253789.8826
MEM 103.648438 1759253789.9829
MEM 103.648438 1759253790.0832
MEM 103.648438 1759253790.1834
MEM 103.648438 1759253790.2837
MEM 103.648438 1759253790.3839
MEM 103.648438 1759253790.4841
MEM 103.648438 1759253790.5843
MEM 103.648438 1759253790.6845
MEM 103.648438 1759253790.7847
MEM 103.648438 1759253790.8849
MEM 103.773438 1759253790.9851
MEM 103.773438 1759253791.0854
MEM 103.773438 1759253791.1857
MEM 103.773438 1759253791.2859
MEM 103.773438 1759253791.3861
MEM 103.773438 1759253791.4863
MEM 103.773438 1759253791.5865
MEM 103.773438 1759253791.6868
MEM 103.773438 1759253791.7870
MEM 103.773438 1759253791.8872
MEM 103.773438 1759253791.9874
MEM 103.898438 1759253792.0876
MEM 103.898438 1759253792.1878
MEM 103.898438 1759253792.2880
MEM 103.898438 1759253792.3882
MEM 103.898438 1759253792.4884
MEM 104.023438 1759253792.5886
MEM 104.023438 1759253792.6889
MEM 104.023438 1759253792.7891
MEM 104.023438 1759253792.8893
MEM 104.023438 1759253792.9895
MEM 104.023438 1759253793.0898
MEM 104.023438 1759253793.1900
MEM 104.023438 1759253793.2902
MEM 104.023438 1759253793.3904
MEM 104.023438 1759253793.4906
MEM 104.023438 1759253793.5908
MEM 103.160156 1759253793.6912
