CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_heterodimerization_small.py
MEM 0.281250 1759253463.5084
MEM 23.500000 1759253463.6086
MEM 34.921875 1759253463.7102
MEM 35.871094 1759253463.8103
MEM 41.246094 1759253463.9105
MEM 42.851562 1759253464.0107
MEM 48.324219 1759253464.1109
MEM 49.484375 1759253464.2110
MEM 55.875000 1759253464.3113
MEM 64.359375 1759253464.4115
MEM 64.964844 1759253464.5117
MEM 66.386719 1759253464.6119
MEM 75.925781 1759253464.7121
MEM 77.027344 1759253464.8123
MEM 77.027344 1759253464.9126
MEM 77.792969 1759253465.0128
MEM 80.335938 1759253465.1130
MEM 80.785156 1759253465.2132
MEM 82.941406 1759253465.3134
MEM 85.968750 1759253465.4136
MEM 89.562500 1759253465.5138
MEM 94.238281 1759253465.6140
MEM 98.207031 1759253465.7142
MEM 100.203125 1759253465.8144
MEM 100.203125 1759253465.9147
MEM 100.753906 1759253466.0149
MEM 100.753906 1759253466.1151
MEM 100.914062 1759253466.2153
MEM 101.199219 1759253466.3155
MEM 103.347656 1759253466.4157
MEM 104.019531 1759253466.5159
MEM 106.519531 1759253466.6161
MEM 111.144531 1759253466.7163
MEM 112.152344 1759253466.8165
MEM 113.277344 1759253466.9167
MEM 113.652344 1759253467.0169
MEM 114.027344 1759253467.1172
MEM 117.277344 1759253467.2174
MEM 117.527344 1759253467.3177
MEM 117.652344 1759253467.4179
MEM 117.652344 1759253467.5182
MEM 117.777344 1759253467.6184
