CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_heterodimerization_small.py
MEM 0.441406 1759245953.9113
MEM 25.187500 1759245954.0116
MEM 35.667969 1759245954.1131
MEM 41.089844 1759245954.2133
MEM 44.433594 1759245954.3136
MEM 48.394531 1759245954.4139
MEM 49.558594 1759245954.5142
MEM 49.558594 1759245954.6145
MEM 54.210938 1759245954.7148
MEM 62.937500 1759245954.8151
MEM 64.578125 1759245954.9154
MEM 65.843750 1759245955.0157
MEM 75.546875 1759245955.1160
MEM 76.871094 1759245955.2163
MEM 76.871094 1759245955.3166
MEM 77.277344 1759245955.4170
MEM 79.597656 1759245955.5173
MEM 80.347656 1759245955.6176
MEM 82.812500 1759245955.7179
MEM 85.562500 1759245955.8182
MEM 88.531250 1759245955.9185
MEM 89.757812 1759245956.0188
MEM 96.152344 1759245956.1190
MEM 100.300781 1759245956.2193
MEM 100.300781 1759245956.3196
MEM 100.578125 1759245956.4199
MEM 100.578125 1759245956.5202
MEM 100.980469 1759245956.6205
MEM 100.980469 1759245956.7208
MEM 100.980469 1759245956.8210
MEM 100.980469 1759245956.9213
MEM 100.980469 1759245957.0216
MEM 100.980469 1759245957.1219
MEM 100.980469 1759245957.2221
MEM 100.980469 1759245957.3224
MEM 100.980469 1759245957.4226
MEM 100.980469 1759245957.5230
MEM 100.980469 1759245957.6232
MEM 100.980469 1759245957.7235
MEM 100.980469 1759245957.8238
MEM 100.980469 1759245957.9241
MEM 100.980469 1759245958.0243
MEM 100.980469 1759245958.1246
MEM 100.980469 1759245958.2249
MEM 101.425781 1759245958.3252
MEM 103.437500 1759245958.4255
MEM 105.687500 1759245958.5258
MEM 107.062500 1759245958.6260
MEM 110.738281 1759245958.7263
MEM 112.609375 1759245958.8266
MEM 112.609375 1759245958.9269
MEM 113.109375 1759245959.0273
MEM 113.484375 1759245959.1276
MEM 116.859375 1759245959.2280
MEM 116.984375 1759245959.3283
MEM 117.109375 1759245959.4286
MEM 117.109375 1759245959.5289
MEM 117.234375 1759245959.6292
MEM 114.328125 1759245959.7296
