CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_ktam.py
MEM 0.437500 1759419519.7678
MEM 32.792969 1759419519.8701
MEM 52.089844 1759419519.9704
MEM 69.312500 1759419520.0707
MEM 84.171875 1759419520.1710
MEM 91.640625 1759419520.2713
MEM 97.265625 1759419520.3716
MEM 102.046875 1759419520.4719
MEM 103.296875 1759419520.5723
MEM 103.421875 1759419520.6726
MEM 103.421875 1759419520.7728
MEM 103.421875 1759419520.8731
MEM 103.421875 1759419520.9734
MEM 103.421875 1759419521.0738
MEM 103.421875 1759419521.1741
MEM 103.421875 1759419521.2744
MEM 103.421875 1759419521.3747
MEM 103.421875 1759419521.4751
MEM 103.421875 1759419521.5754
MEM 103.421875 1759419521.6757
MEM 103.421875 1759419521.7760
MEM 103.421875 1759419521.8763
MEM 103.421875 1759419521.9767
MEM 103.421875 1759419522.0770
MEM 103.421875 1759419522.1773
MEM 103.421875 1759419522.2776
MEM 103.421875 1759419522.3779
MEM 103.421875 1759419522.4783
MEM 103.421875 1759419522.5786
MEM 103.421875 1759419522.6789
MEM 103.421875 1759419522.7792
MEM 103.421875 1759419522.8795
MEM 103.421875 1759419522.9798
MEM 103.421875 1759419523.0802
MEM 103.421875 1759419523.1805
MEM 103.421875 1759419523.2809
MEM 103.421875 1759419523.3812
MEM 103.421875 1759419523.4816
MEM 103.421875 1759419523.5818
MEM 103.421875 1759419523.6820
MEM 103.421875 1759419523.7822
MEM 103.421875 1759419523.8824
MEM 103.421875 1759419523.9827
MEM 103.421875 1759419524.0830
MEM 103.546875 1759419524.1833
MEM 103.546875 1759419524.2836
MEM 103.546875 1759419524.3839
MEM 103.546875 1759419524.4841
MEM 103.546875 1759419524.5844
MEM 103.546875 1759419524.6846
MEM 103.546875 1759419524.7849
MEM 103.546875 1759419524.8852
MEM 103.546875 1759419524.9854
MEM 103.546875 1759419525.0857
MEM 103.546875 1759419525.1860
MEM 103.546875 1759419525.2862
MEM 103.546875 1759419525.3865
MEM 103.546875 1759419525.4867
MEM 103.671875 1759419525.5870
MEM 103.671875 1759419525.6872
MEM 103.671875 1759419525.7874
MEM 103.671875 1759419525.8876
MEM 103.671875 1759419525.9879
MEM 103.671875 1759419526.0882
MEM 103.671875 1759419526.1885
MEM 103.671875 1759419526.2888
MEM 103.671875 1759419526.3892
MEM 103.671875 1759419526.4894
MEM 103.671875 1759419526.5897
MEM 103.671875 1759419526.6900
MEM 103.671875 1759419526.7903
MEM 103.671875 1759419526.8906
MEM 103.796875 1759419526.9908
MEM 103.796875 1759419527.0912
MEM 103.796875 1759419527.1915
MEM 103.796875 1759419527.2918
MEM 103.796875 1759419527.3921
MEM 103.796875 1759419527.4924
MEM 103.796875 1759419527.5926
MEM 103.796875 1759419527.6929
MEM 103.796875 1759419527.7932
MEM 103.796875 1759419527.8936
MEM 103.796875 1759419527.9939
MEM 103.796875 1759419528.0942
MEM 103.796875 1759419528.1945
MEM 103.796875 1759419528.2948
MEM 103.796875 1759419528.3951
MEM 103.796875 1759419528.4962
MEM 103.921875 1759419528.5965
MEM 103.921875 1759419528.6968
MEM 103.921875 1759419528.7972
MEM 103.921875 1759419528.8975
MEM 103.921875 1759419528.9978
MEM 103.921875 1759419529.0981
