CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_heterodimerization_small.py
MEM 0.281250 1759945977.5510
MEM 23.160156 1759945977.6514
MEM 32.316406 1759945977.7528
MEM 35.652344 1759945977.8531
MEM 35.546875 1759945977.9534
MEM 41.023438 1759945978.0537
MEM 42.535156 1759945978.1540
MEM 48.445312 1759945978.2543
MEM 49.320312 1759945978.3547
MEM 49.609375 1759945978.4550
MEM 54.894531 1759945978.5554
MEM 63.269531 1759945978.6558
MEM 63.746094 1759945978.7561
MEM 64.636719 1759945978.8565
MEM 75.082031 1759945978.9569
MEM 75.921875 1759945979.0573
MEM 76.675781 1759945979.1576
MEM 76.675781 1759945979.2580
MEM 76.800781 1759945979.3583
MEM 77.222656 1759945979.4587
MEM 80.292969 1759945979.5590
MEM 80.292969 1759945979.6593
MEM 82.742188 1759945979.7597
MEM 86.898438 1759945979.8601
MEM 86.031250 1759945979.9605
MEM 89.625000 1759945980.0609
MEM 89.750000 1759945980.1614
MEM 89.875000 1759945980.2619
MEM 95.687500 1759945980.3623
MEM 96.187500 1759945980.4627
MEM 100.355469 1759945980.5630
MEM 100.355469 1759945980.6636
MEM 100.355469 1759945980.7640
MEM 100.917969 1759945980.8643
MEM 100.917969 1759945980.9647
MEM 100.917969 1759945981.0651
MEM 100.917969 1759945981.1656
MEM 100.917969 1759945981.2659
MEM 100.917969 1759945981.3663
MEM 100.917969 1759945981.4667
MEM 100.917969 1759945981.5671
MEM 100.917969 1759945981.6676
MEM 101.367188 1759945981.7679
MEM 101.367188 1759945981.8683
MEM 101.367188 1759945981.9687
MEM 101.367188 1759945982.0692
MEM 101.367188 1759945982.1696
MEM 101.367188 1759945982.2700
MEM 101.367188 1759945982.3704
MEM 101.367188 1759945982.4708
MEM 101.367188 1759945982.5712
MEM 101.367188 1759945982.6716
MEM 101.367188 1759945982.7720
MEM 101.367188 1759945982.8724
MEM 101.367188 1759945982.9728
MEM 102.492188 1759945983.0732
MEM 105.367188 1759945983.1737
MEM 104.589844 1759945983.2741
MEM 106.714844 1759945983.3745
MEM 111.339844 1759945983.4748
MEM 114.339844 1759945983.5752
MEM 114.339844 1759945983.6758
MEM 114.714844 1759945983.7762
MEM 115.089844 1759945983.8767
MEM 115.214844 1759945983.9772
MEM 118.464844 1759945984.0776
MEM 118.589844 1759945984.1780
MEM 118.714844 1759945984.2784
MEM 118.714844 1759945984.3789
MEM 118.839844 1759945984.4793
MEM 117.906250 1759945984.5798
MEM 117.011719 1759945984.6803
