CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_ktam.py
MEM 0.152344 1759945988.7412
MEM 31.027344 1759945988.8438
MEM 46.460938 1759945988.9441
MEM 65.828125 1759945989.0445
MEM 75.246094 1759945989.1449
MEM 86.988281 1759945989.2453
MEM 93.511719 1759945989.3457
MEM 98.136719 1759945989.4460
MEM 102.218750 1759945989.5465
MEM 103.218750 1759945989.6469
MEM 103.343750 1759945989.7474
MEM 103.343750 1759945989.8478
MEM 103.343750 1759945989.9482
MEM 103.343750 1759945990.0487
MEM 103.343750 1759945990.1492
MEM 103.343750 1759945990.2496
MEM 103.343750 1759945990.3501
MEM 103.343750 1759945990.4506
MEM 103.343750 1759945990.5511
MEM 103.343750 1759945990.6516
MEM 103.343750 1759945990.7521
MEM 103.343750 1759945990.8526
MEM 103.343750 1759945990.9530
MEM 103.343750 1759945991.0536
MEM 103.343750 1759945991.1539
MEM 103.343750 1759945991.2543
MEM 103.343750 1759945991.3547
MEM 103.343750 1759945991.4551
MEM 103.343750 1759945991.5555
MEM 103.343750 1759945991.6560
MEM 103.343750 1759945991.7565
MEM 103.343750 1759945991.8569
MEM 103.343750 1759945991.9574
MEM 103.343750 1759945992.0579
MEM 103.343750 1759945992.1584
MEM 103.343750 1759945992.2588
MEM 103.343750 1759945992.3593
MEM 103.343750 1759945992.4598
MEM 103.343750 1759945992.5602
MEM 103.343750 1759945992.6607
MEM 103.343750 1759945992.7611
MEM 103.343750 1759945992.8616
MEM 103.343750 1759945992.9621
MEM 103.343750 1759945993.0626
MEM 103.343750 1759945993.1630
MEM 103.343750 1759945993.2634
MEM 103.343750 1759945993.3639
MEM 103.343750 1759945993.4644
MEM 103.343750 1759945993.5648
MEM 103.343750 1759945993.6652
MEM 103.468750 1759945993.7656
MEM 103.468750 1759945993.8661
MEM 103.468750 1759945993.9665
MEM 103.468750 1759945994.0669
MEM 103.468750 1759945994.1673
MEM 103.468750 1759945994.2677
MEM 103.468750 1759945994.3682
MEM 103.468750 1759945994.4687
MEM 103.468750 1759945994.5692
MEM 103.468750 1759945994.6697
MEM 103.468750 1759945994.7702
MEM 103.468750 1759945994.8707
MEM 103.468750 1759945994.9712
MEM 103.468750 1759945995.0717
MEM 103.593750 1759945995.1722
MEM 103.593750 1759945995.2727
MEM 103.593750 1759945995.3732
MEM 103.593750 1759945995.4737
MEM 103.593750 1759945995.5741
MEM 103.593750 1759945995.6747
MEM 103.593750 1759945995.7751
MEM 103.593750 1759945995.8756
MEM 103.593750 1759945995.9761
MEM 103.593750 1759945996.0765
MEM 103.593750 1759945996.1769
MEM 103.593750 1759945996.2774
MEM 103.593750 1759945996.3779
MEM 103.593750 1759945996.4783
MEM 103.718750 1759945996.5787
MEM 103.718750 1759945996.6791
MEM 103.718750 1759945996.7796
MEM 103.718750 1759945996.8800
MEM 103.718750 1759945996.9804
MEM 103.718750 1759945997.0809
MEM 103.718750 1759945997.1814
MEM 103.718750 1759945997.2819
MEM 103.718750 1759945997.3823
MEM 103.718750 1759945997.4828
MEM 103.718750 1759945997.5834
MEM 103.718750 1759945997.6839
MEM 103.718750 1759945997.7844
MEM 103.718750 1759945997.8849
MEM 103.718750 1759945997.9853
MEM 103.843750 1759945998.0859
MEM 103.843750 1759945998.1864
