CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_uni_bi_small.py
MEM 0.441406 1759946009.8893
MEM 31.289062 1759946009.9909
MEM 45.613281 1759946010.0913
MEM 64.613281 1759946010.1917
MEM 73.582031 1759946010.2920
MEM 86.792969 1759946010.3925
MEM 92.222656 1759946010.4929
MEM 97.347656 1759946010.5933
MEM 102.156250 1759946010.6937
MEM 102.781250 1759946010.7942
MEM 105.906250 1759946010.8947
MEM 106.031250 1759946010.9952
MEM 106.156250 1759946011.0956
MEM 106.281250 1759946011.1961
MEM 106.281250 1759946011.2965
MEM 106.281250 1759946011.3970
MEM 106.281250 1759946011.4975
MEM 106.281250 1759946011.5980
MEM 106.406250 1759946011.6984
MEM 106.406250 1759946011.7989
MEM 106.406250 1759946011.8992
MEM 106.406250 1759946011.9997
MEM 106.406250 1759946012.1001
MEM 106.406250 1759946012.2006
MEM 106.406250 1759946012.3011
MEM 106.406250 1759946012.4016
MEM 106.406250 1759946012.5020
MEM 106.406250 1759946012.6026
MEM 106.406250 1759946012.7030
MEM 106.406250 1759946012.8036
MEM 106.406250 1759946012.9040
MEM 106.406250 1759946013.0045
MEM 106.406250 1759946013.1051
MEM 106.406250 1759946013.2056
MEM 106.406250 1759946013.3061
MEM 106.406250 1759946013.4066
MEM 106.406250 1759946013.5070
MEM 106.406250 1759946013.6074
MEM 106.406250 1759946013.7079
MEM 106.406250 1759946013.8084
MEM 106.406250 1759946013.9088
MEM 106.406250 1759946014.0092
MEM 106.406250 1759946014.1097
MEM 106.406250 1759946014.2102
MEM 106.406250 1759946014.3106
MEM 106.406250 1759946014.4111
MEM 106.406250 1759946014.5116
MEM 106.406250 1759946014.6120
MEM 106.406250 1759946014.7125
MEM 106.406250 1759946014.8130
MEM 106.406250 1759946014.9135
MEM 106.406250 1759946015.0140
MEM 106.406250 1759946015.1145
MEM 106.406250 1759946015.2149
MEM 106.406250 1759946015.3154
MEM 106.406250 1759946015.4158
MEM 106.406250 1759946015.5162
MEM 106.406250 1759946015.6167
MEM 106.406250 1759946015.7171
MEM 106.406250 1759946015.8176
MEM 106.406250 1759946015.9181
MEM 106.406250 1759946016.0185
MEM 106.406250 1759946016.1190
MEM 106.406250 1759946016.2194
MEM 106.406250 1759946016.3199
MEM 106.406250 1759946016.4203
MEM 106.406250 1759946016.5208
MEM 106.406250 1759946016.6212
MEM 106.406250 1759946016.7216
MEM 106.406250 1759946016.8220
MEM 106.406250 1759946016.9223
MEM 106.406250 1759946017.0228
MEM 106.406250 1759946017.1231
MEM 106.406250 1759946017.2235
MEM 106.406250 1759946017.3240
