CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_uni_bi_small.py
MEM 0.152344 1760029392.7929
MEM 32.265625 1760029392.8953
MEM 51.453125 1760029392.9956
MEM 67.964844 1760029393.0959
MEM 82.441406 1760029393.1961
MEM 90.218750 1760029393.2965
MEM 96.480469 1760029393.3968
MEM 101.753906 1760029393.4971
MEM 102.628906 1760029393.5974
MEM 105.878906 1760029393.6978
MEM 105.878906 1760029393.7982
MEM 106.128906 1760029393.8985
MEM 106.128906 1760029393.9988
MEM 106.128906 1760029394.0991
MEM 106.128906 1760029394.1994
MEM 106.128906 1760029394.2998
MEM 106.128906 1760029394.4001
MEM 106.128906 1760029394.5004
MEM 106.128906 1760029394.6007
MEM 106.128906 1760029394.7010
MEM 106.253906 1760029394.8014
MEM 106.253906 1760029394.9017
MEM 106.253906 1760029395.0020
MEM 106.253906 1760029395.1024
MEM 106.253906 1760029395.2027
MEM 106.253906 1760029395.3030
MEM 106.253906 1760029395.4034
MEM 106.253906 1760029395.5036
MEM 106.253906 1760029395.6040
MEM 106.253906 1760029395.7043
MEM 106.253906 1760029395.8047
MEM 106.253906 1760029395.9050
MEM 106.253906 1760029396.0053
MEM 106.253906 1760029396.1057
MEM 106.253906 1760029396.2060
MEM 106.253906 1760029396.3064
MEM 106.253906 1760029396.4067
MEM 106.253906 1760029396.5070
MEM 106.253906 1760029396.6073
MEM 106.253906 1760029396.7076
MEM 106.253906 1760029396.8080
MEM 106.253906 1760029396.9083
MEM 106.253906 1760029397.0086
MEM 106.253906 1760029397.1089
MEM 106.253906 1760029397.2093
MEM 106.253906 1760029397.3096
MEM 106.253906 1760029397.4099
MEM 106.253906 1760029397.5103
MEM 106.253906 1760029397.6106
MEM 106.253906 1760029397.7109
MEM 106.253906 1760029397.8113
MEM 106.253906 1760029397.9117
MEM 106.253906 1760029398.0120
MEM 106.253906 1760029398.1123
MEM 106.253906 1760029398.2127
MEM 106.253906 1760029398.3130
MEM 106.253906 1760029398.4133
MEM 106.253906 1760029398.5136
MEM 106.253906 1760029398.6140
MEM 106.253906 1760029398.7143
MEM 106.253906 1760029398.8146
MEM 106.253906 1760029398.9149
MEM 106.253906 1760029399.0153
MEM 106.253906 1760029399.1156
MEM 106.253906 1760029399.2159
MEM 106.253906 1760029399.3163
MEM 106.253906 1760029399.4166
MEM 106.253906 1760029399.5169
MEM 106.253906 1760029399.6172
MEM 106.253906 1760029399.7175
MEM 106.253906 1760029399.8179
MEM 106.378906 1760029399.9182
MEM 106.378906 1760029400.0185
MEM 106.378906 1760029400.1189
MEM 106.378906 1760029400.2192
MEM 106.378906 1760029400.3196
MEM 106.378906 1760029400.4199
MEM 106.378906 1760029400.5203
MEM 106.378906 1760029400.6206
MEM 106.378906 1760029400.7209
MEM 106.378906 1760029400.8213
MEM 106.378906 1760029400.9216
MEM 106.378906 1760029401.0219
MEM 106.378906 1760029401.1223
MEM 106.378906 1760029401.2226
MEM 106.378906 1760029401.3229
MEM 106.378906 1760029401.4233
MEM 106.378906 1760029401.5237
MEM 106.378906 1760029401.6240
MEM 106.378906 1760029401.7243
MEM 106.378906 1760029401.8247
MEM 106.378906 1760029401.9250
MEM 106.378906 1760029402.0254
MEM 106.378906 1760029402.1257
MEM 106.378906 1760029402.2260
MEM 106.378906 1760029402.3263
MEM 106.378906 1760029402.4267
MEM 106.378906 1760029402.5270
MEM 106.378906 1760029402.6273
MEM 106.378906 1760029402.7276
MEM 106.378906 1760029402.8280
MEM 106.378906 1760029402.9283
MEM 106.378906 1760029403.0287
MEM 106.378906 1760029403.1290
MEM 106.378906 1760029403.2293
MEM 106.378906 1760029403.3296
MEM 106.378906 1760029403.4299
MEM 106.378906 1760029403.5303
MEM 106.378906 1760029403.6306
MEM 106.378906 1760029403.7309
MEM 106.378906 1760029403.8313
MEM 106.378906 1760029403.9316
MEM 106.378906 1760029404.0320
MEM 106.378906 1760029404.1323
MEM 106.378906 1760029404.2326
MEM 106.378906 1760029404.3330
MEM 106.378906 1760029404.4333
MEM 106.503906 1760029404.5337
MEM 106.503906 1760029404.6340
MEM 106.503906 1760029404.7343
MEM 106.503906 1760029404.8347
MEM 106.503906 1760029404.9350
MEM 106.503906 1760029405.0353
MEM 106.503906 1760029405.1357
MEM 106.503906 1760029405.2360
MEM 106.503906 1760029405.3363
MEM 106.503906 1760029405.4366
MEM 106.503906 1760029405.5369
MEM 106.503906 1760029405.6373
MEM 106.503906 1760029405.7376
MEM 106.503906 1760029405.8379
MEM 106.503906 1760029405.9383
MEM 106.503906 1760029406.0386
MEM 106.503906 1760029406.1390
MEM 106.503906 1760029406.2393
MEM 106.503906 1760029406.3396
MEM 106.503906 1760029406.4400
MEM 106.503906 1760029406.5403
MEM 106.503906 1760029406.6406
MEM 106.503906 1760029406.7409
MEM 106.503906 1760029406.8413
MEM 106.503906 1760029406.9416
MEM 106.503906 1760029407.0419
MEM 106.503906 1760029407.1423
MEM 106.503906 1760029407.2426
MEM 106.503906 1760029407.3429
MEM 106.503906 1760029407.4433
MEM 106.503906 1760029407.5436
MEM 106.503906 1760029407.6439
MEM 106.503906 1760029407.7443
MEM 106.503906 1760029407.8446
MEM 106.503906 1760029407.9449
MEM 106.503906 1760029408.0453
MEM 106.503906 1760029408.1457
MEM 106.503906 1760029408.2460
MEM 106.503906 1760029408.3464
MEM 106.503906 1760029408.4467
MEM 106.503906 1760029408.5470
MEM 106.503906 1760029408.6474
MEM 106.503906 1760029408.7477
MEM 106.503906 1760029408.8480
MEM 106.503906 1760029408.9484
MEM 106.503906 1760029409.0487
MEM 106.503906 1760029409.1490
MEM 106.503906 1760029409.2494
MEM 106.503906 1760029409.3497
MEM 106.503906 1760029409.4500
MEM 106.503906 1760029409.5504
MEM 106.503906 1760029409.6507
