CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_heterodimerization_small.py
MEM 0.128906 1760036196.2869
MEM 26.761719 1760036196.3872
MEM 28.386719 1760036196.4875
MEM 29.308594 1760036196.5878
MEM 30.339844 1760036196.6881
MEM 30.339844 1760036196.7883
MEM 30.839844 1760036196.8886
MEM 32.765625 1760036196.9888
MEM 33.015625 1760036197.0891
MEM 35.847656 1760036197.1893
MEM 43.878906 1760036197.2923
MEM 44.214844 1760036197.3926
MEM 50.562500 1760036197.4928
MEM 51.988281 1760036197.5931
MEM 58.226562 1760036197.6933
MEM 63.648438 1760036197.7936
MEM 72.437500 1760036197.8938
MEM 73.500000 1760036197.9941
MEM 83.035156 1760036198.0944
MEM 83.988281 1760036198.1947
MEM 84.843750 1760036198.2950
MEM 85.421875 1760036198.3953
MEM 87.460938 1760036198.4955
MEM 88.058594 1760036198.5957
MEM 89.574219 1760036198.6960
MEM 92.726562 1760036198.7963
MEM 95.242188 1760036198.8965
MEM 97.226562 1760036198.9968
MEM 103.757812 1760036199.0970
MEM 106.976562 1760036199.1973
MEM 106.976562 1760036199.2976
MEM 107.414062 1760036199.3979
MEM 107.414062 1760036199.4982
MEM 107.414062 1760036199.5985
MEM 107.414062 1760036199.6987
MEM 107.414062 1760036199.7990
MEM 107.414062 1760036199.8993
MEM 107.414062 1760036199.9997
MEM 107.414062 1760036200.1001
MEM 107.550781 1760036200.2004
MEM 107.550781 1760036200.3007
MEM 107.550781 1760036200.4010
MEM 107.550781 1760036200.5013
MEM 107.550781 1760036200.6016
MEM 107.550781 1760036200.7019
MEM 107.550781 1760036200.8022
MEM 107.820312 1760036200.9025
MEM 107.820312 1760036201.0028
MEM 107.820312 1760036201.1031
MEM 107.820312 1760036201.2034
MEM 107.820312 1760036201.3037
MEM 107.820312 1760036201.4040
MEM 107.820312 1760036201.5043
MEM 107.820312 1760036201.6046
MEM 107.820312 1760036201.7048
MEM 107.820312 1760036201.8052
MEM 107.820312 1760036201.9055
MEM 107.820312 1760036202.0057
MEM 107.820312 1760036202.1060
MEM 111.039062 1760036202.2063
MEM 112.789062 1760036202.3065
MEM 118.664062 1760036202.4068
MEM 119.164062 1760036202.5071
MEM 119.914062 1760036202.6073
MEM 120.164062 1760036202.7076
MEM 120.539062 1760036202.8079
MEM 124.039062 1760036202.9082
MEM 124.414062 1760036203.0085
MEM 124.539062 1760036203.1089
MEM 124.539062 1760036203.2092
MEM 124.664062 1760036203.3095
MEM 123.246094 1760036203.4098
