CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_uni_bi_small.py
MEM 0.128906 1760458387.8893
MEM 32.468750 1760458387.9906
MEM 52.042969 1760458388.0909
MEM 69.242188 1760458388.1911
MEM 84.464844 1760458388.2914
MEM 91.781250 1760458388.3917
MEM 97.156250 1760458388.4919
MEM 102.019531 1760458388.5922
MEM 104.144531 1760458388.6926
MEM 105.894531 1760458388.7928
MEM 106.019531 1760458388.8931
MEM 106.144531 1760458388.9935
MEM 106.269531 1760458389.0938
MEM 106.269531 1760458389.1940
MEM 106.269531 1760458389.2942
MEM 106.269531 1760458389.3944
MEM 106.269531 1760458389.4947
MEM 106.269531 1760458389.5949
MEM 106.269531 1760458389.6952
MEM 106.269531 1760458389.7955
MEM 106.269531 1760458389.8957
MEM 106.269531 1760458389.9960
MEM 106.269531 1760458390.0963
MEM 106.269531 1760458390.1965
MEM 106.269531 1760458390.2968
MEM 106.269531 1760458390.3970
MEM 106.269531 1760458390.4972
MEM 106.269531 1760458390.5976
MEM 106.269531 1760458390.6978
MEM 106.269531 1760458390.7981
MEM 106.269531 1760458390.8983
MEM 106.269531 1760458390.9985
MEM 106.269531 1760458391.0987
MEM 106.269531 1760458391.1990
MEM 106.269531 1760458391.2992
MEM 106.269531 1760458391.3995
MEM 106.269531 1760458391.4997
MEM 106.269531 1760458391.6000
MEM 106.269531 1760458391.7002
MEM 106.269531 1760458391.8005
MEM 106.269531 1760458391.9008
MEM 106.269531 1760458392.0010
MEM 106.269531 1760458392.1013
MEM 106.394531 1760458392.2016
MEM 106.394531 1760458392.3018
MEM 106.394531 1760458392.4020
MEM 106.394531 1760458392.5022
MEM 106.394531 1760458392.6026
MEM 106.394531 1760458392.7029
MEM 106.394531 1760458392.8031
MEM 106.394531 1760458392.9034
MEM 106.394531 1760458393.0037
MEM 106.394531 1760458393.1039
MEM 106.394531 1760458393.2042
MEM 106.394531 1760458393.3045
MEM 106.394531 1760458393.4048
MEM 106.394531 1760458393.5050
MEM 106.394531 1760458393.6053
MEM 106.394531 1760458393.7056
MEM 106.394531 1760458393.8058
MEM 106.394531 1760458393.9060
MEM 106.394531 1760458394.0062
MEM 106.394531 1760458394.1065
MEM 106.394531 1760458394.2067
MEM 106.394531 1760458394.3069
MEM 106.394531 1760458394.4071
MEM 106.394531 1760458394.5073
MEM 106.394531 1760458394.6076
MEM 106.394531 1760458394.7079
MEM 106.394531 1760458394.8081
MEM 106.394531 1760458394.9083
MEM 106.394531 1760458395.0086
MEM 106.394531 1760458395.1088
MEM 106.394531 1760458395.2091
MEM 106.394531 1760458395.3093
MEM 106.394531 1760458395.4095
MEM 106.394531 1760458395.5098
MEM 106.394531 1760458395.6101
MEM 106.394531 1760458395.7103
MEM 106.394531 1760458395.8106
MEM 106.394531 1760458395.9108
MEM 106.394531 1760458396.0110
MEM 106.394531 1760458396.1113
MEM 106.394531 1760458396.2115
MEM 106.394531 1760458396.3117
MEM 106.394531 1760458396.4120
MEM 106.394531 1760458396.5122
MEM 106.394531 1760458396.6125
MEM 106.394531 1760458396.7127
MEM 106.394531 1760458396.8130
MEM 106.394531 1760458396.9132
MEM 106.394531 1760458397.0135
MEM 106.394531 1760458397.1137
MEM 106.394531 1760458397.2140
MEM 106.394531 1760458397.3142
MEM 106.394531 1760458397.4144
MEM 106.394531 1760458397.5146
MEM 106.394531 1760458397.6149
MEM 106.394531 1760458397.7152
MEM 106.394531 1760458397.8155
MEM 106.394531 1760458397.9157
MEM 106.394531 1760458398.0160
MEM 106.394531 1760458398.1163
MEM 106.394531 1760458398.2165
MEM 106.394531 1760458398.3169
MEM 106.394531 1760458398.4172
MEM 106.394531 1760458398.5175
MEM 106.394531 1760458398.6177
MEM 106.394531 1760458398.7180
MEM 106.394531 1760458398.8182
MEM 106.394531 1760458398.9185
MEM 106.394531 1760458399.0187
MEM 106.394531 1760458399.1190
MEM 106.394531 1760458399.2192
MEM 106.394531 1760458399.3195
MEM 106.394531 1760458399.4197
MEM 106.394531 1760458399.5199
MEM 106.394531 1760458399.6202
MEM 106.394531 1760458399.7205
MEM 106.394531 1760458399.8207
MEM 106.394531 1760458399.9209
MEM 106.394531 1760458400.0212
MEM 106.394531 1760458400.1215
MEM 106.394531 1760458400.2217
MEM 106.394531 1760458400.3219
MEM 106.394531 1760458400.4221
MEM 106.394531 1760458400.5224
MEM 106.394531 1760458400.6227
MEM 106.394531 1760458400.7230
MEM 106.394531 1760458400.8233
MEM 106.394531 1760458400.9236
MEM 106.394531 1760458401.0238
MEM 106.394531 1760458401.1240
MEM 106.394531 1760458401.2243
MEM 106.394531 1760458401.3246
MEM 106.394531 1760458401.4248
MEM 106.394531 1760458401.5250
MEM 106.394531 1760458401.6253
MEM 106.394531 1760458401.7255
MEM 106.394531 1760458401.8257
MEM 106.394531 1760458401.9260
MEM 106.394531 1760458402.0262
MEM 106.394531 1760458402.1265
MEM 106.394531 1760458402.2267
MEM 106.394531 1760458402.3270
MEM 106.394531 1760458402.4272
MEM 106.394531 1760458402.5275
MEM 106.394531 1760458402.6277
MEM 106.394531 1760458402.7279
MEM 106.394531 1760458402.8282
MEM 106.394531 1760458402.9285
MEM 106.394531 1760458403.0287
MEM 106.394531 1760458403.1289
MEM 106.394531 1760458403.2292
MEM 106.394531 1760458403.3296
MEM 106.394531 1760458403.4299
MEM 106.394531 1760458403.5302
MEM 106.394531 1760458403.6305
MEM 106.394531 1760458403.7307
MEM 106.394531 1760458403.8310
MEM 106.394531 1760458403.9312
MEM 106.394531 1760458404.0315
MEM 106.394531 1760458404.1318
MEM 106.394531 1760458404.2320
MEM 106.394531 1760458404.3322
MEM 106.394531 1760458404.4325
MEM 106.519531 1760458404.5328
MEM 105.535156 1760458404.6331
