CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_heterodimerization_small.py
MEM 0.441406 1760642357.6580
MEM 26.324219 1760642357.7583
MEM 28.996094 1760642357.8586
MEM 30.230469 1760642357.9588
MEM 30.230469 1760642358.0591
MEM 30.855469 1760642358.1594
MEM 33.105469 1760642358.2597
MEM 33.964844 1760642358.3599
MEM 41.562500 1760642358.4621
MEM 43.937500 1760642358.5624
MEM 49.242188 1760642358.6626
MEM 51.152344 1760642358.7629
MEM 57.730469 1760642358.8631
MEM 64.007812 1760642358.9634
MEM 70.832031 1760642359.0637
MEM 71.316406 1760642359.1640
MEM 72.984375 1760642359.2643
MEM 85.058594 1760642359.3645
MEM 84.656250 1760642359.4648
MEM 85.281250 1760642359.5651
MEM 85.753906 1760642359.6654
MEM 87.175781 1760642359.7657
MEM 87.746094 1760642359.8660
MEM 93.136719 1760642359.9663
MEM 93.261719 1760642360.0666
MEM 95.292969 1760642360.1668
MEM 102.125000 1760642360.2671
MEM 104.773438 1760642360.3674
MEM 106.515625 1760642360.4677
MEM 106.515625 1760642360.5680
MEM 107.171875 1760642360.6683
MEM 107.171875 1760642360.7686
MEM 107.171875 1760642360.8689
MEM 107.171875 1760642360.9691
MEM 107.171875 1760642361.0695
MEM 107.171875 1760642361.1697
MEM 107.171875 1760642361.2700
MEM 107.171875 1760642361.3702
MEM 107.171875 1760642361.4705
MEM 107.171875 1760642361.5707
MEM 107.171875 1760642361.6710
MEM 107.171875 1760642361.7713
MEM 107.171875 1760642361.8716
MEM 107.171875 1760642361.9719
MEM 107.171875 1760642362.0721
MEM 107.437500 1760642362.1724
MEM 107.437500 1760642362.2727
MEM 111.421875 1760642362.3730
MEM 112.421875 1760642362.4733
MEM 118.296875 1760642362.5736
MEM 118.796875 1760642362.6739
MEM 119.546875 1760642362.7742
MEM 119.671875 1760642362.8745
MEM 120.046875 1760642362.9748
MEM 123.546875 1760642363.0751
MEM 124.046875 1760642363.1754
MEM 124.171875 1760642363.2757
MEM 124.296875 1760642363.3759
MEM 124.296875 1760642363.4762
MEM 121.425781 1760642363.5765
