CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_ktam.py
MEM 0.281250 1760638208.2019
MEM 32.273438 1760638208.3034
MEM 52.289062 1760638208.4036
MEM 69.660156 1760638208.5039
MEM 85.316406 1760638208.6041
MEM 92.117188 1760638208.7044
MEM 97.367188 1760638208.8046
MEM 102.109375 1760638208.9049
MEM 103.109375 1760638209.0052
MEM 103.234375 1760638209.1054
MEM 103.234375 1760638209.2057
MEM 103.234375 1760638209.3059
MEM 103.234375 1760638209.4062
MEM 103.234375 1760638209.5064
MEM 103.234375 1760638209.6066
MEM 103.234375 1760638209.7068
MEM 103.234375 1760638209.8070
MEM 103.234375 1760638209.9073
MEM 103.234375 1760638210.0075
MEM 103.234375 1760638210.1077
MEM 103.234375 1760638210.2080
MEM 103.234375 1760638210.3082
MEM 103.234375 1760638210.4084
MEM 103.234375 1760638210.5086
MEM 103.234375 1760638210.6088
MEM 103.234375 1760638210.7090
MEM 103.234375 1760638210.8093
MEM 103.234375 1760638210.9095
MEM 103.234375 1760638211.0097
MEM 103.234375 1760638211.1099
MEM 103.234375 1760638211.2101
MEM 103.234375 1760638211.3103
MEM 103.234375 1760638211.4106
MEM 103.234375 1760638211.5108
MEM 103.234375 1760638211.6110
MEM 103.234375 1760638211.7112
MEM 103.234375 1760638211.8114
MEM 103.234375 1760638211.9117
MEM 103.234375 1760638212.0119
MEM 103.234375 1760638212.1121
MEM 103.234375 1760638212.2123
MEM 103.234375 1760638212.3126
MEM 103.234375 1760638212.4128
MEM 103.359375 1760638212.5131
MEM 103.359375 1760638212.6133
MEM 103.359375 1760638212.7135
MEM 103.359375 1760638212.8138
MEM 103.359375 1760638212.9140
MEM 103.359375 1760638213.0142
MEM 103.359375 1760638213.1144
MEM 103.359375 1760638213.2147
MEM 103.359375 1760638213.3150
MEM 103.359375 1760638213.4152
MEM 103.359375 1760638213.5154
MEM 103.359375 1760638213.6157
MEM 103.359375 1760638213.7159
MEM 103.359375 1760638213.8161
MEM 103.484375 1760638213.9164
MEM 103.484375 1760638214.0166
MEM 103.484375 1760638214.1168
MEM 103.484375 1760638214.2170
MEM 103.484375 1760638214.3172
MEM 103.484375 1760638214.4175
MEM 103.484375 1760638214.5177
MEM 103.484375 1760638214.6179
MEM 103.484375 1760638214.7181
MEM 103.484375 1760638214.8184
MEM 103.484375 1760638214.9186
MEM 103.484375 1760638215.0188
MEM 103.484375 1760638215.1191
MEM 103.484375 1760638215.2193
MEM 103.609375 1760638215.3196
MEM 103.609375 1760638215.4198
MEM 103.609375 1760638215.5200
MEM 103.609375 1760638215.6203
MEM 103.609375 1760638215.7205
MEM 103.609375 1760638215.8207
MEM 103.609375 1760638215.9209
MEM 103.609375 1760638216.0212
MEM 103.609375 1760638216.1214
MEM 103.609375 1760638216.2216
MEM 103.609375 1760638216.3218
MEM 103.609375 1760638216.4220
MEM 103.609375 1760638216.5222
MEM 103.609375 1760638216.6225
MEM 103.734375 1760638216.7227
MEM 103.734375 1760638216.8229
