CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_heterodimerization_small.py
MEM 0.441406 1760706331.7596
MEM 26.625000 1760706331.8599
MEM 29.148438 1760706331.9601
MEM 30.378906 1760706332.0603
MEM 30.378906 1760706332.1605
MEM 30.878906 1760706332.2607
MEM 32.859375 1760706332.3610
MEM 33.109375 1760706332.4612
MEM 36.105469 1760706332.5614
MEM 43.886719 1760706332.6618
MEM 44.339844 1760706332.7620
MEM 49.722656 1760706332.8622
MEM 51.425781 1760706332.9624
MEM 57.304688 1760706333.0626
MEM 62.726562 1760706333.1629
MEM 71.328125 1760706333.2632
MEM 72.242188 1760706333.3634
MEM 73.800781 1760706333.4637
MEM 84.738281 1760706333.5640
MEM 84.468750 1760706333.6643
MEM 85.093750 1760706333.7647
MEM 85.671875 1760706333.8649
MEM 87.085938 1760706333.9652
MEM 89.308594 1760706334.0655
MEM 92.070312 1760706334.1658
MEM 93.894531 1760706334.2661
MEM 95.621094 1760706334.3664
MEM 101.363281 1760706334.4667
MEM 105.500000 1760706334.5669
MEM 106.320312 1760706334.6672
MEM 106.457031 1760706334.7675
MEM 107.023438 1760706334.8677
MEM 107.023438 1760706334.9679
MEM 107.023438 1760706335.0682
MEM 107.023438 1760706335.1684
MEM 107.023438 1760706335.2687
MEM 107.023438 1760706335.3689
MEM 107.023438 1760706335.4691
MEM 107.023438 1760706335.5693
MEM 107.437500 1760706335.6696
MEM 107.437500 1760706335.7698
MEM 107.437500 1760706335.8700
MEM 107.437500 1760706335.9702
MEM 107.437500 1760706336.0705
MEM 107.437500 1760706336.1707
MEM 107.437500 1760706336.2709
MEM 107.437500 1760706336.3712
MEM 107.437500 1760706336.4714
MEM 111.160156 1760706336.5717
MEM 112.410156 1760706336.6719
MEM 118.285156 1760706336.7722
MEM 118.785156 1760706336.8724
MEM 119.535156 1760706336.9727
MEM 119.660156 1760706337.0730
MEM 120.035156 1760706337.1733
MEM 123.535156 1760706337.2736
MEM 123.910156 1760706337.3738
MEM 124.035156 1760706337.4740
MEM 124.160156 1760706337.5743
MEM 124.160156 1760706337.6746
MEM 121.347656 1760706337.7750
