CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_ktam.py
MEM 0.144531 1760706340.5017
MEM 32.507812 1760706340.6026
MEM 52.253906 1760706340.7029
MEM 69.796875 1760706340.8031
MEM 84.785156 1760706340.9034
MEM 92.125000 1760706341.0037
MEM 97.500000 1760706341.1039
MEM 102.148438 1760706341.2042
MEM 103.273438 1760706341.3045
MEM 103.398438 1760706341.4048
MEM 103.398438 1760706341.5050
MEM 103.398438 1760706341.6054
MEM 103.398438 1760706341.7056
MEM 103.398438 1760706341.8059
MEM 103.398438 1760706341.9062
MEM 103.398438 1760706342.0064
MEM 103.398438 1760706342.1066
MEM 103.398438 1760706342.2069
MEM 103.398438 1760706342.3071
MEM 103.398438 1760706342.4073
MEM 103.398438 1760706342.5075
MEM 103.398438 1760706342.6078
MEM 103.398438 1760706342.7080
MEM 103.398438 1760706342.8082
MEM 103.398438 1760706342.9084
MEM 103.398438 1760706343.0087
MEM 103.398438 1760706343.1089
MEM 103.398438 1760706343.2091
MEM 103.398438 1760706343.3093
MEM 103.398438 1760706343.4095
MEM 103.398438 1760706343.5098
MEM 103.398438 1760706343.6101
MEM 103.398438 1760706343.7103
MEM 103.398438 1760706343.8106
MEM 103.398438 1760706343.9108
MEM 103.398438 1760706344.0110
MEM 103.398438 1760706344.1113
MEM 103.398438 1760706344.2115
MEM 103.398438 1760706344.3118
MEM 103.398438 1760706344.4120
MEM 103.523438 1760706344.5122
MEM 103.523438 1760706344.6124
MEM 103.523438 1760706344.7127
MEM 103.523438 1760706344.8129
MEM 103.523438 1760706344.9131
MEM 103.523438 1760706345.0133
MEM 103.523438 1760706345.1136
MEM 103.523438 1760706345.2138
MEM 103.523438 1760706345.3141
MEM 103.523438 1760706345.4144
MEM 103.523438 1760706345.5147
MEM 103.523438 1760706345.6150
MEM 103.523438 1760706345.7153
MEM 103.648438 1760706345.8156
MEM 103.648438 1760706345.9159
MEM 103.648438 1760706346.0162
MEM 103.648438 1760706346.1164
MEM 103.648438 1760706346.2166
MEM 103.648438 1760706346.3169
MEM 103.648438 1760706346.4171
MEM 103.648438 1760706346.5174
MEM 103.648438 1760706346.6176
MEM 103.648438 1760706346.7178
MEM 103.648438 1760706346.8180
MEM 103.648438 1760706346.9184
MEM 103.648438 1760706347.0187
MEM 103.648438 1760706347.1189
MEM 103.773438 1760706347.2191
MEM 103.773438 1760706347.3194
MEM 103.773438 1760706347.4196
MEM 103.773438 1760706347.5199
MEM 103.773438 1760706347.6202
MEM 103.773438 1760706347.7204
MEM 103.773438 1760706347.8207
MEM 103.773438 1760706347.9210
MEM 103.773438 1760706348.0212
MEM 103.773438 1760706348.1215
MEM 103.773438 1760706348.2218
MEM 103.773438 1760706348.3221
MEM 103.773438 1760706348.4223
MEM 103.773438 1760706348.5227
MEM 103.773438 1760706348.6229
MEM 103.898438 1760706348.7231
MEM 103.898438 1760706348.8234
MEM 103.898438 1760706348.9237
MEM 103.898438 1760706349.0240
MEM 103.898438 1760706349.1242
MEM 103.898438 1760706349.2245
MEM 103.898438 1760706349.3247
MEM 103.898438 1760706349.4250
