CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_heterodimerization_small.py
MEM 0.128906 1760706689.2655
MEM 26.617188 1760706689.3657
MEM 29.039062 1760706689.4659
MEM 30.269531 1760706689.5661
MEM 30.269531 1760706689.6663
MEM 30.769531 1760706689.7666
MEM 33.144531 1760706689.8668
MEM 33.144531 1760706689.9670
MEM 35.957031 1760706690.0672
MEM 43.488281 1760706690.1701
MEM 44.093750 1760706690.2703
MEM 49.546875 1760706690.3705
MEM 56.882812 1760706690.4707
MEM 58.160156 1760706690.5709
MEM 63.203125 1760706690.6712
MEM 71.695312 1760706690.7714
MEM 72.359375 1760706690.8716
MEM 74.199219 1760706690.9719
MEM 83.582031 1760706691.0722
MEM 85.187500 1760706691.1724
MEM 85.187500 1760706691.2727
MEM 85.890625 1760706691.3730
MEM 87.179688 1760706691.4732
MEM 89.027344 1760706691.5735
MEM 91.914062 1760706691.6738
MEM 93.738281 1760706691.7741
MEM 95.265625 1760706691.8743
MEM 97.742188 1760706691.9745
MEM 104.117188 1760706692.0748
MEM 106.679688 1760706692.1751
MEM 106.679688 1760706692.2753
MEM 107.238281 1760706692.3756
MEM 107.238281 1760706692.4758
MEM 107.238281 1760706692.5760
MEM 107.238281 1760706692.6762
MEM 107.238281 1760706692.7764
MEM 107.238281 1760706692.8766
MEM 107.363281 1760706692.9769
MEM 107.363281 1760706693.0770
MEM 107.363281 1760706693.1772
MEM 107.363281 1760706693.2774
MEM 107.363281 1760706693.3777
MEM 107.363281 1760706693.4779
MEM 107.363281 1760706693.5781
MEM 107.363281 1760706693.6783
MEM 107.363281 1760706693.7785
MEM 107.628906 1760706693.8787
MEM 107.628906 1760706693.9789
MEM 107.628906 1760706694.0791
MEM 107.628906 1760706694.1793
MEM 107.628906 1760706694.2795
MEM 107.628906 1760706694.3798
MEM 107.628906 1760706694.4800
MEM 110.804688 1760706694.5802
MEM 112.679688 1760706694.6804
MEM 113.929688 1760706694.7807
MEM 118.929688 1760706694.8809
MEM 119.679688 1760706694.9812
MEM 119.679688 1760706695.0814
MEM 120.054688 1760706695.1817
MEM 123.554688 1760706695.2819
MEM 124.179688 1760706695.3821
MEM 124.179688 1760706695.4823
MEM 124.304688 1760706695.5825
MEM 124.304688 1760706695.6827
MEM 121.515625 1760706695.7831
