CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_ktam.py
MEM 0.128906 1760706698.5426
MEM 32.425781 1760706698.6429
MEM 52.121094 1760706698.7431
MEM 69.414062 1760706698.8433
MEM 84.539062 1760706698.9436
MEM 92.007812 1760706699.0438
MEM 97.382812 1760706699.1441
MEM 102.144531 1760706699.2444
MEM 103.269531 1760706699.3447
MEM 103.394531 1760706699.4449
MEM 103.394531 1760706699.5451
MEM 103.394531 1760706699.6454
MEM 103.394531 1760706699.7457
MEM 103.394531 1760706699.8460
MEM 103.394531 1760706699.9463
MEM 103.394531 1760706700.0466
MEM 103.394531 1760706700.1469
MEM 103.394531 1760706700.2471
MEM 103.394531 1760706700.3474
MEM 103.394531 1760706700.4477
MEM 103.394531 1760706700.5480
MEM 103.394531 1760706700.6482
MEM 103.394531 1760706700.7484
MEM 103.394531 1760706700.8486
MEM 103.394531 1760706700.9488
MEM 103.394531 1760706701.0490
MEM 103.394531 1760706701.1493
MEM 103.394531 1760706701.2495
MEM 103.394531 1760706701.3498
MEM 103.394531 1760706701.4501
MEM 103.394531 1760706701.5504
MEM 103.394531 1760706701.6507
MEM 103.394531 1760706701.7511
MEM 103.394531 1760706701.8514
MEM 103.394531 1760706701.9516
MEM 103.519531 1760706702.0519
MEM 103.519531 1760706702.1521
MEM 103.519531 1760706702.2524
MEM 103.519531 1760706702.3527
MEM 103.519531 1760706702.4530
MEM 103.519531 1760706702.5533
MEM 103.519531 1760706702.6536
MEM 103.519531 1760706702.7538
MEM 103.519531 1760706702.8541
MEM 103.519531 1760706702.9544
MEM 103.519531 1760706703.0546
MEM 103.519531 1760706703.1549
MEM 103.519531 1760706703.2552
MEM 103.519531 1760706703.3554
MEM 103.644531 1760706703.4556
MEM 103.644531 1760706703.5558
MEM 103.644531 1760706703.6561
MEM 103.644531 1760706703.7563
MEM 103.644531 1760706703.8565
MEM 103.644531 1760706703.9568
MEM 103.644531 1760706704.0571
MEM 103.644531 1760706704.1573
MEM 103.644531 1760706704.2575
MEM 103.644531 1760706704.3577
MEM 103.644531 1760706704.4579
MEM 103.644531 1760706704.5581
MEM 103.644531 1760706704.6583
MEM 103.644531 1760706704.7585
MEM 103.769531 1760706704.8588
MEM 103.769531 1760706704.9592
MEM 103.769531 1760706705.0594
MEM 103.769531 1760706705.1597
MEM 103.769531 1760706705.2600
MEM 103.769531 1760706705.3603
MEM 103.769531 1760706705.4605
MEM 103.769531 1760706705.5608
MEM 103.769531 1760706705.6611
MEM 103.769531 1760706705.7614
MEM 103.769531 1760706705.8617
MEM 103.769531 1760706705.9620
MEM 103.769531 1760706706.0623
MEM 103.894531 1760706706.1625
MEM 103.894531 1760706706.2627
MEM 103.894531 1760706706.3630
MEM 103.894531 1760706706.4633
MEM 103.894531 1760706706.5635
MEM 103.894531 1760706706.6638
MEM 103.894531 1760706706.7641
MEM 103.894531 1760706706.8645
MEM 103.894531 1760706706.9647
MEM 103.894531 1760706707.0650
MEM 103.894531 1760706707.1653
MEM 103.894531 1760706707.2655
MEM 103.894531 1760706707.3657
