CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_uni_bi_small.py
MEM 0.281250 1760706997.6208
MEM 32.000000 1760706997.7211
MEM 50.949219 1760706997.8214
MEM 67.871094 1760706997.9216
MEM 82.406250 1760706998.0219
MEM 90.488281 1760706998.1222
MEM 96.488281 1760706998.2225
MEM 101.890625 1760706998.3228
MEM 102.781250 1760706998.4231
MEM 106.031250 1760706998.5234
MEM 106.031250 1760706998.6237
MEM 106.281250 1760706998.7240
MEM 106.281250 1760706998.8243
MEM 106.281250 1760706998.9246
MEM 106.281250 1760706999.0249
MEM 106.281250 1760706999.1252
MEM 106.281250 1760706999.2255
MEM 106.281250 1760706999.3258
MEM 106.281250 1760706999.4261
MEM 106.281250 1760706999.5264
MEM 106.406250 1760706999.6267
MEM 106.406250 1760706999.7270
MEM 106.406250 1760706999.8274
MEM 106.406250 1760706999.9277
MEM 106.406250 1760707000.0280
MEM 106.406250 1760707000.1284
MEM 106.406250 1760707000.2287
MEM 106.406250 1760707000.3290
MEM 106.406250 1760707000.4293
MEM 106.406250 1760707000.5296
MEM 106.406250 1760707000.6299
MEM 106.406250 1760707000.7302
MEM 106.406250 1760707000.8305
MEM 106.406250 1760707000.9309
MEM 106.406250 1760707001.0312
MEM 106.406250 1760707001.1316
MEM 106.406250 1760707001.2319
MEM 106.406250 1760707001.3323
MEM 106.406250 1760707001.4326
MEM 106.406250 1760707001.5328
MEM 106.406250 1760707001.6331
MEM 106.406250 1760707001.7334
MEM 106.406250 1760707001.8336
MEM 106.406250 1760707001.9340
MEM 106.406250 1760707002.0343
MEM 106.406250 1760707002.1346
MEM 106.406250 1760707002.2350
MEM 106.406250 1760707002.3353
MEM 106.406250 1760707002.4356
MEM 106.406250 1760707002.5359
MEM 106.406250 1760707002.6363
MEM 106.406250 1760707002.7367
MEM 106.406250 1760707002.8370
MEM 106.406250 1760707002.9374
MEM 106.406250 1760707003.0377
MEM 106.406250 1760707003.1380
MEM 106.406250 1760707003.2384
MEM 106.406250 1760707003.3387
MEM 106.406250 1760707003.4390
MEM 106.406250 1760707003.5393
MEM 106.406250 1760707003.6396
MEM 106.406250 1760707003.7399
MEM 106.406250 1760707003.8403
MEM 106.406250 1760707003.9406
MEM 106.406250 1760707004.0409
MEM 106.406250 1760707004.1413
MEM 106.406250 1760707004.2416
MEM 106.406250 1760707004.3419
MEM 106.406250 1760707004.4423
MEM 106.406250 1760707004.5426
MEM 106.406250 1760707004.6429
MEM 106.406250 1760707004.7433
MEM 106.406250 1760707004.8436
MEM 106.406250 1760707004.9439
MEM 106.406250 1760707005.0442
MEM 106.406250 1760707005.1445
MEM 106.406250 1760707005.2448
MEM 106.406250 1760707005.3451
MEM 106.406250 1760707005.4454
MEM 106.406250 1760707005.5457
MEM 106.406250 1760707005.6460
MEM 106.406250 1760707005.7464
MEM 106.406250 1760707005.8467
MEM 106.406250 1760707005.9470
MEM 106.406250 1760707006.0474
MEM 106.406250 1760707006.1477
MEM 106.406250 1760707006.2480
MEM 106.406250 1760707006.3484
MEM 106.406250 1760707006.4487
MEM 106.406250 1760707006.5489
MEM 106.406250 1760707006.6493
MEM 106.406250 1760707006.7497
MEM 106.406250 1760707006.8500
MEM 106.406250 1760707006.9503
MEM 106.406250 1760707007.0507
MEM 106.406250 1760707007.1510
MEM 106.406250 1760707007.2513
MEM 106.406250 1760707007.3516
MEM 106.406250 1760707007.4520
MEM 106.406250 1760707007.5523
MEM 106.406250 1760707007.6526
MEM 106.406250 1760707007.7529
MEM 106.406250 1760707007.8533
MEM 106.406250 1760707007.9536
MEM 106.406250 1760707008.0539
MEM 106.406250 1760707008.1543
MEM 106.406250 1760707008.2546
MEM 106.406250 1760707008.3549
MEM 106.406250 1760707008.4553
MEM 106.406250 1760707008.5556
MEM 106.406250 1760707008.6559
MEM 106.406250 1760707008.7563
MEM 106.406250 1760707008.8566
MEM 106.406250 1760707008.9570
MEM 106.406250 1760707009.0573
MEM 106.406250 1760707009.1577
MEM 106.406250 1760707009.2580
MEM 106.406250 1760707009.3583
MEM 106.406250 1760707009.4586
MEM 106.406250 1760707009.5589
MEM 106.406250 1760707009.6592
MEM 106.406250 1760707009.7595
MEM 106.406250 1760707009.8598
MEM 106.406250 1760707009.9602
MEM 106.406250 1760707010.0605
MEM 106.406250 1760707010.1609
MEM 106.406250 1760707010.2612
MEM 106.406250 1760707010.3615
MEM 106.406250 1760707010.4619
MEM 106.406250 1760707010.5622
MEM 106.406250 1760707010.6625
MEM 106.406250 1760707010.7629
MEM 106.406250 1760707010.8633
MEM 106.406250 1760707010.9636
MEM 106.406250 1760707011.0639
MEM 106.406250 1760707011.1642
MEM 106.406250 1760707011.2646
MEM 106.406250 1760707011.3649
MEM 106.406250 1760707011.4653
MEM 106.406250 1760707011.5656
MEM 106.406250 1760707011.6659
MEM 106.406250 1760707011.7663
MEM 106.406250 1760707011.8665
MEM 106.406250 1760707011.9669
