CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_uni_bi_small.py
MEM 0.128906 1760995013.2174
MEM 33.054688 1760995013.3197
MEM 52.328125 1760995013.4200
MEM 69.925781 1760995013.5202
MEM 84.890625 1760995013.6205
MEM 92.195312 1760995013.7208
MEM 97.570312 1760995013.8210
MEM 102.265625 1760995013.9213
MEM 102.890625 1760995014.0216
MEM 106.140625 1760995014.1218
MEM 106.265625 1760995014.2221
MEM 106.390625 1760995014.3223
MEM 106.515625 1760995014.4225
MEM 106.515625 1760995014.5228
MEM 106.515625 1760995014.6230
MEM 106.515625 1760995014.7232
MEM 106.515625 1760995014.8235
MEM 106.515625 1760995014.9237
MEM 106.515625 1760995015.0239
MEM 106.515625 1760995015.1242
MEM 106.515625 1760995015.2244
MEM 106.640625 1760995015.3247
MEM 106.640625 1760995015.4249
MEM 106.640625 1760995015.5251
MEM 106.640625 1760995015.6254
MEM 106.640625 1760995015.7256
MEM 106.640625 1760995015.8259
MEM 106.640625 1760995015.9262
MEM 106.640625 1760995016.0264
MEM 106.640625 1760995016.1268
MEM 106.640625 1760995016.2271
MEM 106.640625 1760995016.3274
MEM 106.640625 1760995016.4277
MEM 106.640625 1760995016.5280
MEM 106.640625 1760995016.6283
MEM 106.640625 1760995016.7285
MEM 106.640625 1760995016.8288
MEM 106.640625 1760995016.9290
MEM 106.640625 1760995017.0292
MEM 106.640625 1760995017.1294
MEM 106.640625 1760995017.2297
MEM 106.640625 1760995017.3299
MEM 106.640625 1760995017.4301
MEM 106.640625 1760995017.5303
MEM 106.640625 1760995017.6305
MEM 106.640625 1760995017.7308
MEM 106.640625 1760995017.8310
MEM 106.640625 1760995017.9313
MEM 106.640625 1760995018.0316
MEM 106.640625 1760995018.1319
MEM 106.640625 1760995018.2321
MEM 106.640625 1760995018.3324
MEM 106.640625 1760995018.4327
MEM 106.640625 1760995018.5329
MEM 106.640625 1760995018.6331
MEM 106.640625 1760995018.7333
MEM 106.640625 1760995018.8335
MEM 106.640625 1760995018.9338
MEM 106.640625 1760995019.0341
MEM 106.640625 1760995019.1343
MEM 106.640625 1760995019.2346
MEM 106.640625 1760995019.3349
MEM 106.640625 1760995019.4351
MEM 106.640625 1760995019.5353
MEM 106.640625 1760995019.6356
MEM 106.640625 1760995019.7358
MEM 106.640625 1760995019.8360
MEM 106.640625 1760995019.9362
MEM 106.640625 1760995020.0364
MEM 106.640625 1760995020.1367
MEM 106.640625 1760995020.2369
MEM 106.640625 1760995020.3371
MEM 106.640625 1760995020.4373
MEM 106.640625 1760995020.5375
MEM 106.640625 1760995020.6378
MEM 106.640625 1760995020.7380
MEM 106.640625 1760995020.8382
MEM 106.640625 1760995020.9384
MEM 106.640625 1760995021.0387
MEM 106.640625 1760995021.1389
MEM 106.640625 1760995021.2391
MEM 106.640625 1760995021.3394
MEM 106.640625 1760995021.4397
MEM 106.640625 1760995021.5399
MEM 106.640625 1760995021.6402
MEM 106.640625 1760995021.7405
MEM 106.640625 1760995021.8408
MEM 106.640625 1760995021.9411
MEM 106.640625 1760995022.0414
MEM 106.640625 1760995022.1417
MEM 106.640625 1760995022.2420
MEM 106.640625 1760995022.3423
