CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_ktam.py
MEM 0.281250 1761003802.3383
MEM 32.164062 1761003802.4386
MEM 51.855469 1761003802.5389
MEM 69.117188 1761003802.6391
MEM 84.457031 1761003802.7393
MEM 91.738281 1761003802.8397
MEM 96.988281 1761003802.9399
MEM 101.636719 1761003803.0402
MEM 102.261719 1761003803.1405
MEM 102.886719 1761003803.2408
MEM 103.011719 1761003803.3410
MEM 103.011719 1761003803.4413
MEM 103.011719 1761003803.5415
MEM 103.011719 1761003803.6418
MEM 103.011719 1761003803.7420
MEM 103.011719 1761003803.8422
MEM 103.011719 1761003803.9424
MEM 103.011719 1761003804.0427
MEM 103.011719 1761003804.1429
MEM 103.011719 1761003804.2432
MEM 103.011719 1761003804.3434
MEM 103.011719 1761003804.4437
MEM 103.011719 1761003804.5439
MEM 103.011719 1761003804.6441
MEM 103.011719 1761003804.7443
MEM 103.011719 1761003804.8446
MEM 103.011719 1761003804.9449
MEM 103.011719 1761003805.0451
MEM 103.011719 1761003805.1454
MEM 103.011719 1761003805.2457
MEM 103.011719 1761003805.3459
MEM 103.011719 1761003805.4461
MEM 103.011719 1761003805.5464
MEM 103.011719 1761003805.6465
MEM 103.011719 1761003805.7467
MEM 103.011719 1761003805.8470
MEM 103.011719 1761003805.9472
MEM 103.011719 1761003806.0474
MEM 103.011719 1761003806.1477
MEM 103.011719 1761003806.2479
MEM 103.011719 1761003806.3481
MEM 103.011719 1761003806.4483
MEM 103.136719 1761003806.5486
MEM 103.136719 1761003806.6488
MEM 103.136719 1761003806.7490
MEM 103.136719 1761003806.8493
MEM 103.136719 1761003806.9495
MEM 103.136719 1761003807.0498
MEM 103.136719 1761003807.1500
MEM 103.136719 1761003807.2502
MEM 103.136719 1761003807.3504
MEM 103.136719 1761003807.4507
MEM 103.136719 1761003807.5509
MEM 103.136719 1761003807.6512
MEM 103.136719 1761003807.7514
MEM 103.261719 1761003807.8516
MEM 103.261719 1761003807.9518
MEM 103.261719 1761003808.0520
MEM 103.261719 1761003808.1523
MEM 103.261719 1761003808.2525
MEM 103.261719 1761003808.3527
MEM 103.261719 1761003808.4529
MEM 103.261719 1761003808.5531
MEM 103.261719 1761003808.6534
MEM 103.261719 1761003808.7537
MEM 103.261719 1761003808.8539
MEM 103.261719 1761003808.9541
MEM 103.261719 1761003809.0544
MEM 103.261719 1761003809.1547
MEM 103.261719 1761003809.2549
MEM 103.261719 1761003809.3552
MEM 103.386719 1761003809.4554
MEM 103.386719 1761003809.5556
MEM 103.386719 1761003809.6558
MEM 103.386719 1761003809.7561
MEM 103.386719 1761003809.8563
MEM 103.386719 1761003809.9565
MEM 103.386719 1761003810.0567
MEM 103.386719 1761003810.1569
MEM 103.386719 1761003810.2572
MEM 103.386719 1761003810.3574
MEM 103.386719 1761003810.4576
MEM 103.386719 1761003810.5578
MEM 103.386719 1761003810.6580
MEM 103.386719 1761003810.7583
MEM 103.511719 1761003810.8585
MEM 103.511719 1761003810.9587
MEM 103.511719 1761003811.0590
MEM 102.574219 1761003811.1592
