CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_heterodimerization_small.py
MEM 0.128906 1761059285.2392
MEM 26.546875 1761059285.3394
MEM 29.964844 1761059285.4397
MEM 32.410156 1761059285.5399
MEM 32.804688 1761059285.6401
MEM 35.667969 1761059285.7403
MEM 44.058594 1761059285.8405
MEM 49.273438 1761059285.9407
MEM 56.437500 1761059286.0409
MEM 60.105469 1761059286.1411
MEM 70.847656 1761059286.2413
MEM 71.882812 1761059286.3416
MEM 72.804688 1761059286.4418
MEM 82.730469 1761059286.5420
MEM 84.050781 1761059286.6423
MEM 84.675781 1761059286.7425
MEM 85.242188 1761059286.8428
MEM 86.652344 1761059286.9430
MEM 88.875000 1761059287.0432
MEM 91.648438 1761059287.1434
MEM 93.472656 1761059287.2437
MEM 95.304688 1761059287.3439
MEM 101.957031 1761059287.4441
MEM 105.496094 1761059287.5443
MEM 106.343750 1761059287.6445
MEM 106.781250 1761059287.7447
MEM 106.781250 1761059287.8450
MEM 106.964844 1761059287.9452
MEM 107.253906 1761059288.0454
MEM 107.253906 1761059288.1455
MEM 107.253906 1761059288.2458
MEM 107.253906 1761059288.3460
MEM 110.488281 1761059288.4462
MEM 112.238281 1761059288.5464
MEM 113.738281 1761059288.6466
MEM 118.238281 1761059288.7469
MEM 119.363281 1761059288.8471
MEM 119.363281 1761059288.9473
MEM 119.738281 1761059289.0476
MEM 120.988281 1761059289.1478
MEM 123.738281 1761059289.2480
MEM 123.863281 1761059289.3482
MEM 123.988281 1761059289.4484
MEM 123.988281 1761059289.5487
MEM 123.988281 1761059289.6489
MEM 124.113281 1761059289.7492
