CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_ktam.py
MEM 0.441406 1761072650.7900
MEM 32.898438 1761072650.8928
MEM 52.078125 1761072650.9930
MEM 69.531250 1761072651.0932
MEM 83.039062 1761072651.1935
MEM 92.312500 1761072651.2940
MEM 97.812500 1761072651.3942
MEM 102.710938 1761072651.4946
MEM 103.085938 1761072651.5949
MEM 103.960938 1761072651.6953
MEM 103.960938 1761072651.7957
MEM 103.960938 1761072651.8959
MEM 103.960938 1761072651.9963
MEM 103.960938 1761072652.0966
MEM 103.960938 1761072652.1969
MEM 103.960938 1761072652.2972
MEM 103.960938 1761072652.3976
MEM 103.960938 1761072652.4979
MEM 103.960938 1761072652.5983
MEM 103.960938 1761072652.6986
MEM 103.960938 1761072652.7992
MEM 103.960938 1761072652.8995
MEM 103.960938 1761072652.9999
MEM 103.960938 1761072653.1003
MEM 103.960938 1761072653.2006
MEM 103.960938 1761072653.3009
MEM 103.960938 1761072653.4012
MEM 103.960938 1761072653.5015
MEM 103.960938 1761072653.6018
MEM 103.960938 1761072653.7021
MEM 103.960938 1761072653.8024
MEM 103.960938 1761072653.9027
MEM 103.960938 1761072654.0030
MEM 103.960938 1761072654.1034
MEM 103.960938 1761072654.2038
MEM 103.960938 1761072654.3041
MEM 103.960938 1761072654.4045
MEM 103.960938 1761072654.5048
MEM 103.960938 1761072654.6051
MEM 103.960938 1761072654.7054
MEM 103.960938 1761072654.8058
MEM 103.960938 1761072654.9061
MEM 103.960938 1761072655.0064
MEM 103.960938 1761072655.1068
MEM 103.960938 1761072655.2071
MEM 103.960938 1761072655.3075
MEM 103.960938 1761072655.4079
MEM 103.960938 1761072655.5083
MEM 103.960938 1761072655.6087
MEM 103.960938 1761072655.7090
MEM 103.960938 1761072655.8095
MEM 104.085938 1761072655.9100
MEM 104.085938 1761072656.0103
MEM 104.085938 1761072656.1107
MEM 104.085938 1761072656.2110
MEM 104.085938 1761072656.3113
MEM 104.085938 1761072656.4118
MEM 104.085938 1761072656.5121
MEM 104.085938 1761072656.6125
MEM 104.085938 1761072656.7129
MEM 104.085938 1761072656.8132
MEM 104.085938 1761072656.9136
MEM 104.085938 1761072657.0139
MEM 104.085938 1761072657.1143
MEM 104.210938 1761072657.2146
MEM 104.210938 1761072657.3150
MEM 104.210938 1761072657.4154
MEM 104.210938 1761072657.5157
MEM 104.210938 1761072657.6161
MEM 104.210938 1761072657.7165
MEM 104.210938 1761072657.8168
MEM 104.210938 1761072657.9172
MEM 104.210938 1761072658.0177
MEM 104.210938 1761072658.1180
MEM 104.210938 1761072658.2184
MEM 104.210938 1761072658.3187
MEM 104.335938 1761072658.4192
MEM 104.335938 1761072658.5196
MEM 104.335938 1761072658.6201
MEM 104.335938 1761072658.7205
MEM 104.335938 1761072658.8209
MEM 103.429688 1761072658.9212
MEM 103.429688 1761072659.0217
