CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_heterodimerization_small.py
MEM 0.128906 1761058938.9002
MEM 26.500000 1761058939.0004
MEM 29.113281 1761058939.1006
MEM 30.066406 1761058939.2008
MEM 30.066406 1761058939.3011
MEM 30.691406 1761058939.4013
MEM 32.941406 1761058939.5016
MEM 33.191406 1761058939.6018
MEM 35.769531 1761058939.7020
MEM 43.496094 1761058939.8037
MEM 46.171875 1761058939.9039
MEM 50.023438 1761058940.0041
MEM 53.070312 1761058940.1043
MEM 57.980469 1761058940.2045
MEM 64.289062 1761058940.3048
MEM 71.527344 1761058940.4050
MEM 72.710938 1761058940.5053
MEM 82.199219 1761058940.6056
MEM 83.214844 1761058940.7059
MEM 84.683594 1761058940.8062
MEM 85.250000 1761058940.9064
MEM 86.660156 1761058941.0067
MEM 87.132812 1761058941.1070
MEM 88.898438 1761058941.2072
MEM 91.429688 1761058941.3075
MEM 94.640625 1761058941.4078
MEM 94.960938 1761058941.5081
MEM 101.738281 1761058941.6084
MEM 102.953125 1761058941.7087
MEM 106.066406 1761058941.8090
MEM 106.066406 1761058941.9093
MEM 106.664062 1761058942.0095
MEM 106.664062 1761058942.1098
MEM 106.664062 1761058942.2101
MEM 107.125000 1761058942.3103
MEM 107.125000 1761058942.4106
MEM 107.125000 1761058942.5109
MEM 107.125000 1761058942.6112
MEM 108.234375 1761058942.7114
MEM 111.359375 1761058942.8117
MEM 113.484375 1761058942.9120
MEM 118.109375 1761058943.0123
MEM 118.609375 1761058943.1126
MEM 119.234375 1761058943.2129
MEM 119.234375 1761058943.3131
MEM 119.609375 1761058943.4134
MEM 121.859375 1761058943.5137
MEM 123.609375 1761058943.6139
MEM 123.734375 1761058943.7142
MEM 123.734375 1761058943.8144
MEM 123.859375 1761058943.9147
MEM 123.859375 1761058944.0149
MEM 123.984375 1761058944.1152
MEM 120.203125 1761058944.2156
