CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_heterodimerization_small.py
MEM 0.441406 1761601333.6957
MEM 26.277344 1761601333.7959
MEM 29.203125 1761601333.8962
MEM 29.937500 1761601333.9965
MEM 29.937500 1761601334.0968
MEM 30.562500 1761601334.1970
MEM 32.527344 1761601334.2973
MEM 34.179688 1761601334.3976
MEM 40.617188 1761601334.4979
MEM 44.011719 1761601334.5992
MEM 49.121094 1761601334.6995
MEM 50.750000 1761601334.7997
MEM 57.113281 1761601334.9000
MEM 63.093750 1761601335.0002
MEM 71.589844 1761601335.1005
MEM 72.238281 1761601335.2008
MEM 74.343750 1761601335.3011
MEM 83.468750 1761601335.4015
MEM 84.347656 1761601335.5018
MEM 85.097656 1761601335.6021
MEM 85.828125 1761601335.7024
MEM 87.121094 1761601335.8026
MEM 88.910156 1761601335.9029
MEM 91.769531 1761601336.0032
MEM 93.593750 1761601336.1035
MEM 95.511719 1761601336.2038
MEM 102.109375 1761601336.3041
MEM 105.996094 1761601336.4044
MEM 106.449219 1761601336.5047
MEM 106.730469 1761601336.6050
MEM 107.007812 1761601336.7053
MEM 107.007812 1761601336.8056
MEM 107.007812 1761601336.9058
MEM 107.007812 1761601337.0062
MEM 107.140625 1761601337.1065
MEM 107.140625 1761601337.2068
MEM 107.140625 1761601337.3071
MEM 107.410156 1761601337.4073
MEM 107.410156 1761601337.5076
MEM 107.410156 1761601337.6079
MEM 107.410156 1761601337.7082
MEM 107.410156 1761601337.8086
MEM 107.410156 1761601337.9088
MEM 107.410156 1761601338.0091
MEM 107.410156 1761601338.1094
MEM 107.410156 1761601338.2097
MEM 107.410156 1761601338.3100
MEM 110.632812 1761601338.4103
MEM 112.382812 1761601338.5106
MEM 113.757812 1761601338.6109
MEM 118.382812 1761601338.7111
MEM 119.507812 1761601338.8115
MEM 119.507812 1761601338.9118
MEM 119.757812 1761601339.0121
MEM 120.507812 1761601339.1124
MEM 123.757812 1761601339.2127
MEM 124.007812 1761601339.3130
MEM 124.132812 1761601339.4133
MEM 124.132812 1761601339.5136
MEM 124.257812 1761601339.6139
MEM 123.332031 1761601339.7143
