CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_ktam.py
MEM 0.437500 1761675529.0916
MEM 31.300781 1761675529.1935
MEM 47.074219 1761675529.2937
MEM 65.531250 1761675529.3940
MEM 76.968750 1761675529.4943
MEM 88.593750 1761675529.5946
MEM 94.878906 1761675529.6949
MEM 99.984375 1761675529.7953
MEM 102.382812 1761675529.8956
MEM 103.257812 1761675529.9959
MEM 103.507812 1761675530.0963
MEM 103.507812 1761675530.1967
MEM 103.507812 1761675530.2970
MEM 103.507812 1761675530.3974
MEM 103.507812 1761675530.4977
MEM 103.507812 1761675530.5981
MEM 103.507812 1761675530.6984
MEM 103.507812 1761675530.7988
MEM 103.507812 1761675530.8992
MEM 103.507812 1761675530.9995
MEM 103.507812 1761675531.0999
MEM 103.507812 1761675531.2003
MEM 103.507812 1761675531.3006
MEM 103.507812 1761675531.4010
MEM 103.507812 1761675531.5013
MEM 103.507812 1761675531.6016
MEM 103.507812 1761675531.7020
MEM 103.507812 1761675531.8023
MEM 103.507812 1761675531.9026
MEM 103.507812 1761675532.0029
MEM 103.507812 1761675532.1033
MEM 103.507812 1761675532.2037
MEM 103.507812 1761675532.3040
MEM 103.507812 1761675532.4044
MEM 103.507812 1761675532.5047
MEM 103.507812 1761675532.6050
MEM 103.507812 1761675532.7054
MEM 103.507812 1761675532.8058
MEM 103.507812 1761675532.9061
MEM 103.507812 1761675533.0064
MEM 103.507812 1761675533.1067
MEM 103.507812 1761675533.2071
MEM 103.507812 1761675533.3074
MEM 103.507812 1761675533.4078
MEM 103.507812 1761675533.5082
MEM 103.507812 1761675533.6085
MEM 103.507812 1761675533.7088
MEM 103.507812 1761675533.8092
MEM 103.507812 1761675533.9096
MEM 103.507812 1761675534.0099
MEM 103.507812 1761675534.1103
MEM 103.507812 1761675534.2107
MEM 103.507812 1761675534.3111
MEM 103.507812 1761675534.4114
MEM 103.507812 1761675534.5118
MEM 103.632812 1761675534.6121
MEM 103.632812 1761675534.7125
MEM 103.632812 1761675534.8129
MEM 103.632812 1761675534.9133
MEM 103.632812 1761675535.0136
MEM 103.632812 1761675535.1139
MEM 103.632812 1761675535.2144
MEM 103.632812 1761675535.3147
MEM 103.632812 1761675535.4151
MEM 103.632812 1761675535.5154
MEM 103.632812 1761675535.6158
MEM 103.632812 1761675535.7161
MEM 103.632812 1761675535.8165
MEM 103.757812 1761675535.9168
MEM 103.757812 1761675536.0172
MEM 103.757812 1761675536.1175
MEM 103.757812 1761675536.2179
MEM 103.757812 1761675536.3182
MEM 103.757812 1761675536.4186
MEM 103.757812 1761675536.5189
MEM 103.757812 1761675536.6192
MEM 103.757812 1761675536.7196
MEM 103.757812 1761675536.8199
MEM 103.757812 1761675536.9203
MEM 103.757812 1761675537.0206
MEM 103.757812 1761675537.1209
MEM 103.757812 1761675537.2214
MEM 103.757812 1761675537.3217
MEM 103.757812 1761675537.4220
MEM 103.757812 1761675537.5224
MEM 103.757812 1761675537.6228
MEM 103.757812 1761675537.7231
MEM 103.757812 1761675537.8235
MEM 103.757812 1761675537.9238
MEM 102.976562 1761675538.0242
