CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_heterodimerization_small.py
MEM 0.128906 1761678050.3831
MEM 26.511719 1761678050.4834
MEM 28.222656 1761678050.5836
MEM 30.531250 1761678050.6839
MEM 29.847656 1761678050.7841
MEM 29.972656 1761678050.8843
MEM 32.437500 1761678050.9846
MEM 32.738281 1761678051.0848
MEM 35.589844 1761678051.1851
MEM 43.339844 1761678051.2853
MEM 44.066406 1761678051.3856
MEM 49.566406 1761678051.4858
MEM 51.070312 1761678051.5861
MEM 56.957031 1761678051.6863
MEM 63.066406 1761678051.7866
MEM 71.562500 1761678051.8868
MEM 71.960938 1761678051.9871
MEM 73.777344 1761678052.0874
MEM 84.921875 1761678052.1877
MEM 84.250000 1761678052.2880
MEM 84.250000 1761678052.3883
MEM 85.730469 1761678052.4885
MEM 87.023438 1761678052.5888
MEM 88.812500 1761678052.6891
MEM 91.949219 1761678052.7893
MEM 93.523438 1761678052.8896
MEM 95.843750 1761678052.9899
MEM 102.652344 1761678053.0902
MEM 106.246094 1761678053.1904
MEM 106.246094 1761678053.2907
MEM 106.519531 1761678053.3910
MEM 106.902344 1761678053.4912
MEM 106.902344 1761678053.5914
MEM 106.902344 1761678053.6916
MEM 106.902344 1761678053.7917
MEM 106.902344 1761678053.8920
MEM 106.902344 1761678053.9922
MEM 106.902344 1761678054.0924
MEM 106.902344 1761678054.1926
MEM 106.902344 1761678054.2929
MEM 106.902344 1761678054.3931
MEM 106.902344 1761678054.4933
MEM 106.902344 1761678054.5936
MEM 106.902344 1761678054.6938
MEM 106.902344 1761678054.7940
MEM 106.902344 1761678054.8942
MEM 106.902344 1761678054.9945
MEM 107.218750 1761678055.0948
MEM 108.308594 1761678055.1950
MEM 110.933594 1761678055.2952
MEM 113.683594 1761678055.3955
MEM 118.183594 1761678055.4958
MEM 118.683594 1761678055.5960
MEM 119.308594 1761678055.6963
MEM 119.683594 1761678055.7966
MEM 120.183594 1761678055.8969
MEM 123.433594 1761678055.9971
MEM 123.933594 1761678056.0973
MEM 124.058594 1761678056.1976
MEM 124.183594 1761678056.2979
MEM 124.183594 1761678056.3982
MEM 121.855469 1761678056.4985
