CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_ktam.py
MEM 0.128906 1761678227.0434
MEM 32.410156 1761678227.1437
MEM 51.960938 1761678227.2439
MEM 69.421875 1761678227.3442
MEM 84.300781 1761678227.4445
MEM 91.730469 1761678227.5448
MEM 97.355469 1761678227.6451
MEM 102.156250 1761678227.7454
MEM 102.781250 1761678227.8457
MEM 103.781250 1761678227.9460
MEM 103.781250 1761678228.0462
MEM 103.781250 1761678228.1465
MEM 103.781250 1761678228.2468
MEM 103.781250 1761678228.3471
MEM 103.781250 1761678228.4474
MEM 103.781250 1761678228.5477
MEM 103.781250 1761678228.6481
MEM 103.781250 1761678228.7484
MEM 103.781250 1761678228.8487
MEM 103.781250 1761678228.9491
MEM 103.781250 1761678229.0494
MEM 103.781250 1761678229.1496
MEM 103.781250 1761678229.2499
MEM 103.781250 1761678229.3502
MEM 103.781250 1761678229.4505
MEM 103.781250 1761678229.5508
MEM 103.781250 1761678229.6512
MEM 103.781250 1761678229.7515
MEM 103.781250 1761678229.8518
MEM 103.781250 1761678229.9520
MEM 103.781250 1761678230.0522
MEM 103.781250 1761678230.1526
MEM 103.781250 1761678230.2528
MEM 103.781250 1761678230.3531
MEM 103.781250 1761678230.4534
MEM 103.781250 1761678230.5536
MEM 103.781250 1761678230.6540
MEM 103.781250 1761678230.7543
MEM 103.781250 1761678230.8546
MEM 103.781250 1761678230.9550
MEM 103.906250 1761678231.0553
MEM 103.906250 1761678231.1556
MEM 103.906250 1761678231.2560
MEM 103.906250 1761678231.3562
MEM 103.906250 1761678231.4564
MEM 103.906250 1761678231.5566
MEM 103.906250 1761678231.6569
MEM 103.906250 1761678231.7572
MEM 103.906250 1761678231.8575
MEM 103.906250 1761678231.9578
MEM 103.906250 1761678232.0581
MEM 103.906250 1761678232.1583
MEM 103.906250 1761678232.2586
MEM 103.906250 1761678232.3588
MEM 103.906250 1761678232.4591
MEM 103.906250 1761678232.5594
MEM 103.906250 1761678232.6596
MEM 104.031250 1761678232.7599
MEM 104.031250 1761678232.8602
MEM 104.031250 1761678232.9604
MEM 104.031250 1761678233.0607
MEM 104.031250 1761678233.1610
MEM 104.031250 1761678233.2613
MEM 104.031250 1761678233.3615
MEM 104.031250 1761678233.4618
MEM 104.031250 1761678233.5620
MEM 104.031250 1761678233.6622
MEM 104.031250 1761678233.7625
MEM 104.031250 1761678233.8627
MEM 104.031250 1761678233.9630
MEM 104.031250 1761678234.0633
MEM 104.156250 1761678234.1636
MEM 104.156250 1761678234.2639
MEM 104.156250 1761678234.3643
MEM 104.156250 1761678234.4646
MEM 104.156250 1761678234.5649
MEM 104.156250 1761678234.6652
MEM 104.156250 1761678234.7655
MEM 104.156250 1761678234.8658
MEM 104.156250 1761678234.9661
MEM 104.156250 1761678235.0664
MEM 104.156250 1761678235.1667
MEM 104.156250 1761678235.2671
MEM 104.156250 1761678235.3675
MEM 104.156250 1761678235.4678
MEM 104.281250 1761678235.5681
MEM 104.281250 1761678235.6684
MEM 104.281250 1761678235.7686
MEM 104.281250 1761678235.8690
MEM 104.281250 1761678235.9693
MEM 0.000000 1761678236.0696
